age_CE,KAP01A_raw,KAP01B_raw,KAP02A_raw,KAP02B_raw,KAP02C_raw,KAP02D_raw,KAP02E_raw,KAP02F_raw,KAP01A_raw_outlier_flag,KAP01B_raw_outlier_flag,KAP02A_raw_outlier_flag,KAP02B_raw_outlier_flag,KAP02C_raw_outlier_flag,KAP02D_raw_outlier_flag,KAP02E_raw_outlier_flag,KAP02F_raw_outlier_flag
1780,5.96,6.99,9.34,8.81,4.93,4.87,1.73,1.31,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1781,4.79,5.39,7.74,6.96,4.1,3.9,1.78,1.45,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1782,4.81,5.13,7.72,6.34,3.88,3.62,1.73,1.57,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1783,4.54,5.01,9.62,8.88,7.19,7.19,5.19,5.45,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
1784,3.31,3.88,5.48,4.61,5.08,5.03,3.41,3.23,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1785,5.61,6.01,10.49,9.72,7,6.85,3.84,4.19,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1786,4.93,5.86,5.76,7.32,5.15,5.05,3.18,3.44,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1787,3.28,3.65,3.57,3.75,2.37,2.39,1.52,1.79,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1788,3.79,3.98,4.22,4.8,2.74,2.78,1.72,1.51,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1789,3.72,4.04,4.5,4.47,3.11,2.94,1.18,1.22,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1790,3.35,3.03,4.2,4.56,3.67,3.57,1.58,1.86,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1791,2.46,2.51,1.38,1.79,1.68,1.59,0.85,0.98,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1792,3.17,3.44,1.36,1.74,1.36,1.38,0.54,0.66,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
