"","years","Tag","Ring_width(mm)","LongW","LongE","LatN","LatS"
"350",1633,"LSWL1",NA,-113.1207,-112.9285,44.9181,44.7155
"351",1634,"LSWL1",NA,-113.1207,-112.9285,44.9181,44.7155
"352",1635,"LSWL1",NA,-113.1207,-112.9285,44.9181,44.7155
"353",1636,"LSWL1",NA,-113.1207,-112.9285,44.9181,44.7155
"354",1637,"LSWL1",NA,-113.1207,-112.9285,44.9181,44.7155
"355",1638,"LSWL1",NA,-113.1207,-112.9285,44.9181,44.7155
"356",1639,"LSWL1",NA,-113.1207,-112.9285,44.9181,44.7155
"357",1640,"LSWL1",NA,-113.1207,-112.9285,44.9181,44.7155
"358",1641,"LSWL1",NA,-113.1207,-112.9285,44.9181,44.7155
"359",1642,"LSWL1",NA,-113.1207,-112.9285,44.9181,44.7155
"360",1643,"LSWL1",NA,-113.1207,-112.9285,44.9181,44.7155
"361",1644,"LSWL1",NA,-113.1207,-112.9285,44.9181,44.7155
"362",1645,"LSWL1",NA,-113.1207,-112.9285,44.9181,44.7155
"363",1646,"LSWL1",NA,-113.1207,-112.9285,44.9181,44.7155
