"","Transect","Species","Elev","Tree","Tag","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004","2003","2002","2001","2000","1999","1998","1997","1996","1995","1994","1993","1992","1991","1990","1989","1988","1987","1986","1985","1984","1983","1982","1981","1980","1979","1978","1977","1976","1975","1974","1973","1972","1971","1970","1969","1968","1967","1966","1965","1964","1963","1962","1961","1960","1959","1958","1957","1956","1955","1954","1953","1952","1951","1950","1949","1948","1947","1946","1945","1944","1943","1942","1941","1940","1939","1938","1937","1936","1935","1934","1933","1932","1931","1930","1929","1928","1927","1926","1925","1924","1923","1922","1921","1920","1919","1918","1917","1916","1915","1914","1913","1912","1911","1910","1909","1908","1907","1906","1905","1904","1903","1902","1901","1900","1899","1898","1897","1896","1895","1894","1893","1892","1891","1890","1889","1888","1887","1886","1885","1884","1883","1882","1881","1880","1879","1878","1877"
"20","MT","PSME","L","10N","PSME-L-10N",0.269,0.2265,0.344,0.3775,0.294,0.2945,0.327,0.432,0.475,0.3485,0.5065,0.569,0.4735,0.536,0.544,0.4505,0.4405,0.504,0.483,0.6515,0.41,0.379,0.547,0.7155,0.5055,0.4425,0.432,0.4435,0.391,0.8025,0.6645,0.6025,0.7085,0.423,0.4125,0.444,0.391,0.3915,0.391,0.412,0.444,0.4225,0.4865,0.7075,0.676,0.77,0.8245,0.878,0.909,0.8455,0.7715,0.74,0.8355,0.7655,0.9305,1.116,1.31,0.8785,1.227,1.097,1.5485,1.293,1.4785,1.882,1.1415,1.1815,0.897,0.9615,0.8975,0.8245,1.0555,1.0355,0.8865,0.842,0.605,0.8115,0.737,0.5375,0.6535,0.6525,0.728,0.686,0.563,0.587,0.804,0.676,0.8115,0.518,0.6115,0.8455,0.8955,0.6705,0.661,0.5575,0.5825,0.5605,0.9255,1.152,0.919,0.9285,0.8895,0.6285,0.7875,0.9265,1.318,1.3145,0.895,0.65,1.0965,1.4145,1.642,1.842,2.692,2.992,2.717,1.722,0.787,1.21,1.227,0.661,0.877,0.858,1.0155,1.265,1.707,1.693,1.4685,1.4945,1.7585,1.2165,1.362,1.678,1.574,1.7705,1.876,1.947,1.828
"21","MT","PSME","L","11C","PSME-L-11C",0.399,0.53,0.7255,1.1695,1.26,1.1575,1.4155,1.464,1.708,1.4685,1.207,1.0185,1.614,1.347,1.355,2.3105,1.6625,1.5515,1.3865,1.5555,1.8825,2.186,2.173,2.011,1.5655,1.363,1.158,0.92,0.811,1.0735,1.1605,1.0115,1.083,0.7465,0.611,0.8535,0.663,0.862,0.672,0.756,0.705,0.6605,0.615,0.6515,0.6815,0.504,0.6195,0.652,0.559,0.646,0.7385,0.69,0.691,0.736,0.846,0.7435,0.779,0.868,0.969,1.0605,1.1725,1.236,1.047,1.338,1.3365,1.2105,1.1325,1.1955,1.08,1.0655,1.2695,1.5655,1.506,1.129,1.1695,1.2065,0.9655,0.521,0.8965,0.97,0.9245,0.9555,0.8315,0.849,1.001,1.0045,0.817,0.683,0.7065,0.9095,1.0725,0.502,0.809,0.8645,0.982,0.492,1.0065,1.215,1.464,1.1515,1.3755,1.421,1.329,1.6455,1.4655,1.5975,1.599,1.4595,0.9025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","MT","PSME","L","11N","PSME-L-11N",0.2215,0.348,0.8475,1.241,1.202,1.057,1.0415,1.245,1.443,0.829,0.992,0.9985,0.9535,1.106,1.1955,1.9755,1.9225,1.9335,1.9525,2.024,1.961,1.7815,2.4885,3.0075,2.4705,2.047,1.4695,1.9005,1.284,1.5035,2.382,1.6175,2.0605,1.1165,1.032,1.287,0.9295,1.1175,0.8215,0.9435,0.923,0.9625,1.151,1.3155,1.1445,1.1105,0.9895,1.3615,1.5215,1.3485,1.54,1.2035,1.0705,1.35,1.3945,1.657,2.582,2.87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","MT","PSME","L","12C","PSME-L-12C",0.3005,0.3075,0.511,0.6595,0.462,0.463,0.442,0.5165,0.5265,0.4425,0.475,0.78,0.718,1.114,1.277,1.301,1.1515,1.1625,1.2335,1.1785,0.9555,0.8065,0.9425,0.9995,0.6885,0.5955,0.669,0.931,0.7595,1.051,1.1575,1.16,1.1885,0.749,0.695,0.885,0.582,0.688,0.5315,0.586,0.6595,0.651,0.872,0.9255,0.935,1.1455,0.945,1.404,1.279,1.2035,1.4005,1.2385,1.138,1.2645,1.406,1.216,1.361,1.16,1.3855,1.3565,1.6655,1.705,1.568,1.7645,1.303,1.6265,1.5295,1.46,1.2425,1.1365,1.7365,1.728,1.312,0.9965,1.1425,1.239,1.0875,1.004,1.321,1.342,1.3095,1.363,1.151,1.3965,1.465,1.845,1.1125,0.9435,1.193,1.2805,1.446,1.299,1.6825,1.329,1.5925,1.7505,2.239,3.065,2.713,1.566,1.862,1.205,1.417,1.501,1.628,1.665,1.581,0.924,1.328,0.922,0.757,0.822,0.948,1.248,1.23,1.053,0.949,0.732,1.005,0.744,0.618,0.519,0.826,0.722,0.951,1.44,0.721,1.113,1.153,0.169,NA,NA,NA,NA,NA,NA,NA
"24","MT","PSME","L","12N","PSME-L-12N",0.8875,0.9695,1.36,1.4245,1.1765,0.9665,1.038,1.187,1.5155,1.21,1.063,1.347,1.19,1.5485,1.4615,1.022,1.052,1.618,1.6825,1.7545,1.4145,1.6605,1.819,1.849,1.1115,1.1865,1.243,1.4165,0.929,1.472,1.792,1.597,1.524,1.053,1.168,1.283,1.145,1.315,1.064,1.085,1.2555,1.269,1.469,1.568,1.347,1.472,1.2345,1.7595,1.5905,1.557,1.707,1.2355,1.2415,1.4345,1.3655,1.3495,1.6195,1.4675,1.8105,1.496,1.6635,1.49,1.8555,1.6215,1.8075,1.7395,1.223,1.139,1.223,1.181,1.687,1.689,1.753,1.353,1.353,1.227,1.27,0.889,0.846,1.206,1.162,1.115,0.883,1.22,1.475,2.248,1.283,1.195,1.855,1.402,2.074,1.17,1.628,1.446,2.144,1.425,1.585,0.799,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","MT","PSME","L","13C","PSME-L-13C",1.033,1.1435,1.273,1.16,1.036,0.814,0.9625,1.1525,1.1955,0.899,1.026,1.1,0.951,1.257,1.2095,1.2855,1.066,1.2145,1.5815,1.494,0.9985,1.0295,1.2805,1.5545,1.114,1.1695,1.2005,1.0155,0.671,0.9655,0.9645,0.9805,1.024,0.8095,0.956,0.9105,1.0235,1.2235,0.9535,0.96,1.0195,0.904,1.0655,1.379,1.274,1.241,1.0935,1.368,1.4315,1.3335,1.4095,1.097,1.222,1.1925,1.1315,0.9925,1.1135,0.954,1.2665,1.174,1.268,1.126,1.3295,1.367,1.159,1.27,1.052,1.0195,0.9785,0.8975,1.052,1.164,1.003,1.059,0.808,0.8295,0.798,0.606,0.928,0.974,0.9,0.959,0.861,0.8445,0.864,0.719,0.6795,0.6695,0.869,0.6725,0.946,0.563,0.833,0.5355,0.571,0.6585,1.2815,1.6845,1.8885,2.071,2.1515,1.971,2.1315,1.7245,1.85,1.616,1.525,1.3505,1.3495,1.039,1.391,1.536,2.209,1.9975,1.854,2.139,1.807,1.112,1.543,1.3495,1.2765,1.2105,1.369,1.128,1.803,1.6235,1.8625,1.522,1.602,1.268,0.932,0.94,0.927,1.041,1.469,1.653,1.835
"26","MT","PSME","L","13N","PSME-L-13N",0.8465,0.86,0.9665,0.894,0.8325,0.643,0.632,0.7905,1.063,0.9035,0.7775,1.1555,0.723,1.0485,1.031,1.1255,0.818,1.001,1.0815,0.9535,0.992,1.7265,1.754,2.525,1.873,1.832,2.0205,2.0175,1.2625,2.1075,2.342,2.389,2.7775,1.595,1.363,1.8605,1.4995,1.7495,1.478,1.31,1.354,1.153,1.798,2.114,2.0665,1.859,1.844,2.512,2.1545,1.8375,1.9995,1.587,1.4915,1.597,2.1355,2.22,2.399,1.691,2.1445,1.8375,2.3915,2.1665,2.3445,3.144,2.6905,2.6545,2.1855,2.27,2.036,1.711,2.535,2.703,2.187,1.5835,1.72,2.209,1.968,1.393,1.4875,1.569,1.831,2.0055,1.1825,1.73,1.75,2.497,1.9145,1.357,2.077,2.105,2.4605,1.348,1.931,2.219,2.5555,1.778,1.907,2.24,4.05,1.726,2.673,0.338,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","MT","PSME","M","01C","PSME-M-01C",0.2385,0.3085,0.3775,0.3565,0.3965,0.385,0.4995,0.6185,0.5905,0.423,0.626,0.811,0.686,0.9745,1.107,1.4655,1.062,1.0935,1.0365,1.4025,1.1445,1.1365,1.4985,1.771,0.941,1.458,1.5475,1.464,1.1085,1.659,1.7425,1.943,2.5875,1.931,2.015,2.299,1.8025,2.203,1.3745,1.2985,1.3955,1.3285,1.8135,1.6865,1.701,1.903,1.8495,2.6195,2.225,1.9095,2.394,1.7095,1.825,2.1315,2.152,2.7285,2.758,2.224,2.6485,2.4265,2.355,2.4135,2.09,2.8775,2.8265,3.3315,2.9505,2.8045,2.246,2.1495,2.3495,2.74,2.8325,3.854,2.215,2.299,2.467,1.83,1.748,1.876,2.024,1.539,2.677,3.322,2.857,7.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","MT","PSME","M","01N","PSME-M-01N",0.126,0.2055,0.441,0.4655,0.7195,0.4845,0.709,0.8665,1.2275,0.675,0.8165,0.966,0.5905,0.8395,1.03,1.6095,1.622,1.8015,1.5625,1.983,1.6845,1.7055,2.1355,3.1115,2.446,2.1405,1.804,2.198,1.5675,1.7465,2.6785,2.367,2.449,1.8225,1.4265,1.8185,1.4645,1.4285,1.0615,1.0885,1.215,1.373,2.0985,2.1345,2.1645,1.9535,1.811,2.488,2.684,2.1725,3.017,1.836,1.895,1.9405,1.7405,2.092,1.771,1.695,2.2245,2.1975,2.124,1.9975,2.222,2.342,2.0095,2.572,2.999,3.65,2.697,2.5145,2.8265,3.3375,3.175,2.4535,2.3685,2.9805,3.268,2.695,2.03,2.174,1.807,1.927,1.638,1.577,1.591,2.181,2.221,1.384,1.98,1.687,2.035,1.531,1.899,1.355,1.631,1.287,1.405,1.694,1.993,1.872,1.942,1.955,2.311,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","MT","PSME","M","10C","PSME-M-10C",0.654,1.009,1.0525,0.872,0.873,0.764,0.8215,1.15,1.544,1.2815,1.352,1.4655,1.535,1.5565,1.467,1.6985,1.228,1.229,1.241,1.514,0.9485,1.3135,1.5965,1.8555,0.88,1.413,1.61,1.872,1.387,1.7575,2.2285,1.9855,2.489,2.0905,1.788,2.366,1.907,1.9955,1.2555,1.484,1.388,1.4035,1.6845,1.39,1.8865,2.022,1.9425,2.3595,2.264,1.722,1.6705,1.44,1.518,1.431,1.263,1.2,1.535,1.5,1.902,1.489,1.726,1.648,1.846,2.297,2.092,2.005,1.641,1.615,1.542,1.477,2.112,2.134,1.688,1.204,1.244,1.011,1.123,0.83,1.035,1.181,2.958,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","MT","PSME","M","10N","PSME-M-10N",0.74,0.8925,1.4045,1.2745,1.069,1.3225,1.449,1.7005,1.9485,1.332,1.4165,1.782,1.4005,1.569,1.584,1.7275,1.4835,1.737,2.0575,2.0165,1.9685,2.218,2.196,2.412,1.768,2.0695,2.264,1.962,1.5485,1.957,2.4035,1.9535,1.8695,1.4065,1.24,1.8135,1.697,1.9745,1.179,1.295,1.217,1.505,1.9815,1.8705,1.9725,1.769,1.722,2.136,2.1065,1.5525,1.623,1.2925,1.328,1.35,1.6515,1.7285,1.8835,1.736,1.9915,1.6895,1.759,1.577,1.484,2.3525,2.024,2.688,2.096,1.895,1.49,1.557,1.984,2.546,2.305,1.802,1.593,1.521,1.657,1.013,1.349,1.825,1.7,1.813,1.536,1.704,1.182,1.265,0.99,0.709,0.524,1.342,1.647,1.002,2.075,0.992,0.847,0.397,0.848,0.911,1.824,2.341,1.123,0.93,1.636,1.586,0.919,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","MT","PSME","M","11C","PSME-M-11C",0.929,1.6325,2.036,1.47,1.2545,1.0215,1.0115,1.0545,1.233,0.795,0.8695,1.016,0.9945,1.244,1.292,1.5645,0.8925,1.013,1.149,1.2615,0.883,1.0955,1.223,1.3485,0.9715,1.0335,0.9725,1.0425,0.8675,1.0215,1.013,0.9325,1.0625,0.884,0.669,1.004,0.7455,0.9965,0.7185,0.752,0.825,0.922,1.386,1.4935,1.5895,1.487,1.789,2.1805,1.9865,1.952,2.1605,1.892,1.748,1.9325,2.205,1.8745,1.6735,1.5225,1.726,1.6145,1.915,2.161,1.902,2.4225,1.8235,2.1135,2.192,2.1795,1.8785,1.6475,2.442,2.378,2.127,1.681,1.9685,1.894,1.4225,0.944,1.0885,1.127,1.328,1.065,0.955,0.9215,0.9065,1.738,0.581,0.584,0.963,0.97,2.119,1.895,3.134,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","MT","PSME","M","11N","PSME-M-11N",0.306,0.282,0.4205,0.404,0.7385,0.62,0.7085,0.82,0.871,0.496,0.7255,0.959,0.975,1.3005,1.5185,1.819,0.907,1.188,1.049,1.356,1.2415,1.2775,1.306,1.4915,1.244,1.093,0.989,0.96,0.673,0.994,1.476,1.361,1.303,1.0645,0.9935,1.471,1.051,1.5685,1.014,0.9915,1.1245,1.022,1.511,1.413,1.3795,1.179,1.4025,2.035,1.9715,1.8525,1.7815,1.4055,1.289,1.434,1.5855,1.405,1.5525,1.3005,1.612,1.4005,1.573,1.6845,1.5405,1.871,1.7595,2.046,1.722,1.77,1.418,1.3165,1.6415,1.8845,1.947,1.572,1.5885,1.5735,1.4365,0.9885,1.2045,1.2765,1.0285,1.1855,1.1425,1.1535,1.201,1.67,1.3935,1.069,1.6555,1.6435,1.725,1.426,1.203,0.838,1.356,1.356,1.597,2.001,2.31,1.699,1.464,2.366,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","MT","PSME","M","12C","PSME-M-12C",0.962,0.7755,1.1005,1.2575,1.171,0.941,1.0735,1.355,1.374,1.126,0.9315,1.4165,1.076,1.364,1.9595,2.356,2.164,2.3025,2.938,2.7495,2.3205,1.74,2.0545,2.175,1.652,1.4485,1.2745,1.1795,1.1335,1.3945,1.812,1.708,2.164,1.595,1.435,2.1385,1.4255,1.7985,1.078,1.03,1.1415,1.097,1.704,1.4605,1.7135,1.838,1.5815,2.541,1.9395,1.661,1.797,1.5775,1.567,1.825,2,2.174,2.443,2.7455,1.984,1.5335,1.7465,2.3065,2.585,1.4145,1.327,1.609,1.167,1.502,1.463,1.131,1.526,1.398,1.211,1.024,0.842,1.411,0.918,0.341,0.543,0.514,0.872,0.441,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","MT","PSME","M","12N","PSME-M-12N",0.503,0.619,1.004,1.032,1.035,0.8675,1.142,1.197,1.367,1.011,1.753,1.659,1.6755,2.0415,2.3085,2.3985,2.01,1.882,2.025,2.115,2.0245,1.53,2.596,2.48,1.9465,1.77,1.55,1.66,1.4365,1.9115,2.353,2.0885,2.3695,1.5195,1.5295,1.836,1.323,1.714,1.442,1.587,1.6145,1.6355,1.984,1.381,1.5165,1.7065,1.6275,2.09,1.983,1.7145,1.6665,1.601,1.5015,1.062,1.541,1.8615,2.0485,1.733,1.924,1.6435,2.1945,1.738,1.673,1.486,1.4865,1.746,1.681,1.9235,1.877,1.7315,1.2635,1.7335,2.0515,1.79,1.086,1.898,1.234,1.579,1.637,0.98,0.664,0.626,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","MT","PSME","M","13C","PSME-M-13C",0.523,0.391,0.96,1.2045,1.3,1.1845,1.375,1.3325,1.3935,0.92,1.046,1.363,1.045,1.375,1.327,2.201,1.7415,1.595,1.7105,1.6235,1.274,1.3855,1.539,1.888,1.3975,1.37,1.255,1.2885,1.13,1.511,1.8165,1.7405,1.739,1.349,1.107,1.612,0.9165,1.181,0.8225,0.8335,0.844,0.853,1.37,1.35,1.539,1.3895,1.2045,1.982,1.3855,1.102,1.3335,1.0445,1.16,1.315,1.2635,1.6395,1.8135,1.541,1.6805,1.39,1.3675,1.52,1.4235,2.0365,1.7425,1.9955,1.6055,1.57,1.406,1.4475,1.9575,1.798,1.591,1.2275,1.3075,1.702,1.9625,0.6975,0.984,1.091,1.181,1.127,0.934,1.077,1.2,1.754,1.204,0.814,1.749,1.258,1.679,1.127,1.443,0.052,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","MT","PSME","M","13N","PSME-M-13N",0.326,0.5285,0.9015,0.993,1.025,0.9125,1.2085,1.562,1.9915,1.3065,1.2685,1.294,1.522,1.967,2.186,2.725,2.168,1.753,1.8,1.575,1.1905,1.368,1.525,1.957,1.446,1.4165,1.3205,1.393,1.1665,1.393,1.793,1.5195,1.633,1.122,0.9085,1.343,0.962,0.996,0.687,0.7425,0.842,0.8645,1.055,1.0405,1.0115,0.9765,0.9245,1.578,1.2845,1.186,1.314,1.003,1.09,1.3065,1.282,1.267,1.5765,1.429,1.3115,1.0645,1.239,1.3395,1.468,1.8555,1.6275,1.797,1.51,1.6525,1.4915,1.6195,2.479,1.233,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","MT","PSME","M","2C","PSME-M-2C",0.2335,0.459,0.461,0.397,0.5835,0.803,0.59,0.5105,0.717,0.4985,0.574,0.908,0.8095,1.058,0.8845,1.0195,0.993,1.0775,1.0525,1.68,1.803,1.5925,1.5395,1.957,1.396,1.6765,1.256,1.4465,1.1615,1.8225,2.092,1.8305,1.561,1.225,1.216,1.555,1.439,1.714,1.227,1.1205,1.148,1.366,1.6755,1.3345,1.4175,1.481,1.3915,2.195,2.0885,1.72,1.889,1.5165,1.611,1.59,1.3745,1.4905,1.413,1.286,1.7285,1.5995,1.4715,1.3545,1.238,1.6645,1.469,2.1295,1.9945,1.7435,1.451,1.508,2.016,2.531,2.3695,1.5405,1.94,2.1225,2.0205,1.457,1.419,1.3965,1.4155,1.135,1.3,0.9195,0.8635,1.4145,0.999,0.9965,1.3785,1.048,1.3895,0.927,1.07,1.468,1.9955,1.913,1.5055,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","MT","PSME","M","2N","PSME-M-2N",0.5385,0.51,0.77,0.918,1.399,1.267,1.392,1.2265,1.5685,1.2425,1.6285,1.6545,3.01,3.304,2.8045,3.6415,2.1865,2.2775,1.9245,2.8285,1.8,2.324,2.4125,2.1495,1.995,1.52,0.984,0.9605,0.884,1.319,1.316,1.179,1.411,1.042,1.0425,1.4545,1.232,1.381,0.8485,0.8315,0.894,0.8315,1.079,1.1085,0.906,0.855,0.7835,1.181,1.2745,1.2285,1.23,0.924,0.791,0.854,0.936,0.915,0.944,0.844,1.165,0.969,1.142,1.4995,1.087,1.8145,1.581,1.5605,1.3045,1.586,1.353,1.3165,1.5635,1.7095,1.6405,1.1485,1.193,1.56,1.435,1.165,1.6475,1.6635,1.8045,1.9915,1.9895,1.368,1.133,1.249,1.131,1.008,1.255,1.049,1.399,1.088,1.285,1.063,1.585,1.249,1.974,2.498,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","MT","PSME","M","3C","PSME-M-3C",0.579,0.528,0.6765,0.6745,0.6525,0.547,0.54,0.568,0.6935,0.533,0.592,0.7125,0.569,0.748,0.696,0.803,0.795,0.8235,0.984,0.9485,0.9475,1.047,1.0795,1.355,0.9465,1.1025,1.363,1.6035,1.056,1.0725,1.2145,0.757,1.013,0.8175,0.8915,1.0785,0.771,0.9285,0.614,0.6155,0.636,0.668,0.877,0.998,0.9,1.165,1.08,1.536,1.2065,1.2115,1.206,1.0675,1.0145,1.194,1.224,1.2975,1.2165,1.03,1.4465,1.099,1.561,1.66,1.86,1.5695,1.1215,1.517,1.2715,1.3235,1.08,1.091,1.576,1.5325,1.278,0.83,0.807,0.9775,1.039,0.644,1.0505,1.12,1.1835,0.9855,0.76,0.9425,0.9935,1.106,0.9425,0.7185,0.9875,0.7825,0.6935,0.503,0.5805,0.3725,0.544,0.404,0.536,0.635,0.887,0.7285,0.8455,0.5115,0.62,0.8815,0.7885,0.7315,0.587,0.307,0.166,0.235,1.209,1.257,0.817,0.541,0.384,0.515,0.3,0.264,0.165,0.201,0.27,0.463,0.599,0.657,0.577,1.049,1.097,0.729,0.84,1.137,0.829,0.663,0.806,1.458,0.839,NA,NA
"40","MT","PSME","M","3N","PSME-M-3N",0.095,0.1585,0.17,0.1785,0.148,0.127,0.1375,0.1695,0.1695,0.1375,0.211,0.19,0.1915,0.263,0.1905,0.2645,0.2125,0.443,1.09,1.035,1.0875,0.7805,0.917,1.6615,0.7085,0.7385,1.1405,1.1625,1.1525,1.518,1.363,1.411,1.4955,1,1.1475,1.1685,0.877,1.254,1.004,0.8785,0.9195,0.793,0.8765,1.023,1.067,1.2635,1.286,1.5635,1.426,1.1845,1.6575,1.4355,1.226,1.722,1.649,1.7125,1.5325,1.148,1.353,1.1205,1.4255,1.488,1.6445,1.983,1.5395,1.8355,1.6665,1.2345,1.04,0.9745,1.4555,1.7245,1.11,0.7985,0.671,1.199,1.0375,0.88,1.15,1.101,1.42,1.3525,1.046,1.078,0.961,1.278,1.373,0.8755,0.905,0.8865,1.0515,0.94,1.2375,0.9485,1.1445,0.962,1.5555,2.52,2.339,2.5175,1.7895,1.7655,1.6035,1.4675,1.714,1.326,1.192,1.612,1.426,0.8,1.013,1.016,1.711,1.938,1.48,1.618,0.954,0.411,0.625,0.503,0.987,0.877,0.632,0.476,0.623,0.936,0.629,0.781,0.018,NA,NA,NA,NA,NA,NA,NA,NA
"41","MT","PSME","M","4C","PSME-M-4C",0.6755,0.933,1.1095,1.095,0.988,1.143,1.045,1.0555,1.348,1.0785,1.041,1.3005,1.3215,1.145,0.7835,0.877,0.9815,1.6945,1.609,1.924,1.44,1.6545,1.8725,2.4355,2.054,2.368,1.776,1.8135,1.5105,1.57,2.1475,1.938,2.397,1.631,1.692,2.1145,1.654,1.8045,1.282,1.2715,1.238,1.0535,1.429,1.4985,1.571,1.4375,1.709,1.9085,2.1325,1.651,1.9645,1.486,1.4175,1.482,1.534,1.949,1.9935,1.5285,2.0015,1.545,1.546,1.524,1.9275,1.829,1.9275,2.1865,1.747,1.869,1.2995,1.409,2.167,1.923,1.888,1.181,1.769,2.055,2.13,2.015,1.207,1.312,1.103,1.374,1.326,1.336,0.519,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","MT","PSME","M","4N","PSME-M-4N",0.0935,0.1825,0.4255,0.6895,0.9615,0.821,1.003,1.109,1.1295,0.813,0.7715,1.235,1.1075,1.54,1.57,1.7995,1.277,1.212,0.813,1.2635,1.0595,0.8345,0.9505,1.361,0.792,0.9585,1.2075,1.6975,1.2535,1.863,2.053,1.841,1.732,1.267,1.4335,1.7915,1.5765,1.3785,1.0835,1.082,1.3725,1.2685,1.5535,1.4945,1.1945,1.206,1.4235,1.5635,1.57,1.478,1.3935,1.1185,1.118,1.1235,1.355,1.481,1.477,1.234,1.182,1.0395,1.312,1.0905,1.0435,1.056,1.6315,2.5845,2.272,1.86,1.2675,1.8255,2.9245,1.6465,1.6795,1.007,1.2885,2.605,2.5455,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
