"","Transect","Species","Elev","Tree","Tag","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004","2003","2002","2001","2000","1999","1998","1997","1996","1995","1994","1993","1992","1991","1990","1989","1988","1987","1986","1985","1984","1983","1982","1981","1980","1979","1978","1977","1976","1975","1974","1973","1972","1971","1970","1969","1968","1967","1966","1965","1964","1963","1962","1961","1960","1959","1958","1957","1956","1955","1954","1953","1952","1951","1950","1949","1948","1947","1946","1945","1944","1943","1942","1941","1940","1939","1938","1937","1936","1935","1934","1933","1932","1931","1930","1929","1928","1927","1926","1925","1924","1923","1922","1921","1920","1919","1918","1917","1916","1915","1914","1913","1912","1911","1910"
"31","MT","TSHE","M","03C","TSHE-M-03C",0.809,0.5695,0.5225,0.612,0.5425,0.511,0.871,0.833,0.66,0.3955,0.596,0.643,0.6325,0.713,0.678,0.8435,0.6235,0.9995,1.005,1.453,0.9105,0.9735,0.7175,0.7485,0.2745,0.8835,0.765,0.919,0.7365,0.792,0.9555,0.971,1.2855,1.0865,1.4345,1.2545,1.633,1.737,0.9375,0.9055,0.927,0.938,1.1815,1.5835,1.405,1.331,1.342,1.399,1.8225,1.696,0.99,1.044,1.327,1.3885,1.3605,1.403,1.2735,1.191,1.7315,1.5855,1.985,1.703,1.999,1.6295,1.8625,1.788,1.8515,1.8505,1.724,1.3525,1.563,1.4965,1.35,1.522,1.74,1.6405,1.0845,1.48,1.214,1.3565,1.3675,1.3415,1.2595,1.1785,1.2725,1.558,1.3065,1.054,1.2065,1.341,1.3595,1.353,2.111,1.358,2.508,1.975,3.064,2.996,2.604,3.015,3.219,2.385,2.11,2.504
"32","MT","TSHE","M","03N","TSHE-M-03N",1.1045,0.9385,1.01,1.0925,1.2855,1.34,1.14,0.8245,1.0665,0.897,0.94,1.0195,1.6895,1.894,0.989,1.553,0.823,0.8675,1.751,1.9955,2.1295,1.96,0.758,0.804,0.089,1.5635,1.8025,1.5155,1.0575,1.3245,1.8025,1.5955,2.0915,1.3055,1.67,2.7525,2.217,2.6865,1.077,1.2675,1.542,1.9495,1.894,1.6515,2.1915,1.1735,1.2215,2.0215,1.349,1.452,0.734,0.8635,0.956,1.223,1.5035,1.5795,1.3445,1.16,1.8485,1.8225,1.839,2.13,1.733,0.587,1.439,1.786,2.155,2.444,1.948,2.08,1.91,2.325,2.215,1.999,2.342,1.912,1.923,1.114,1.563,1.469,1.101,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","MT","TSHE","M","04C","TSHE-M-04C",0.614,0.451,0.607,0.535,0.684,0.807,1.061,1.037,1.177,0.896,1.213,0.949,0.744,0.903,0.923,1.104,0.553,0.837,0.612,1.17,0.873,1.114,0.593,1.1,0.592,0.959,0.789,1.086,0.952,1.012,1.151,1.23,1.193,0.896,0.865,1.308,1.099,1.261,0.818,0.753,0.923,0.832,1.191,1.22,0.719,0.642,0.832,0.981,0.852,1.121,1.007,0.995,0.825,0.91,0.974,0.91,0.783,0.74,1.268,0.971,1.248,0.953,0.903,1.163,1.31,0.887,1.046,0.98,0.943,0.712,0.956,0.669,0.544,0.586,0.566,0.43,0.367,0.333,0.246,0.862,0.334,1.12,1.096,0.952,0.872,0.863,0.897,0.655,0.909,1.042,1.146,0.849,1.462,1.249,1.857,1.264,1.734,1.714,1.567,1.37,1.316,1.592,0.081,NA
"34","MT","TSHE","M","04N","TSHE-M-04N",0.5595,0.4655,0.353,0.7055,0.7795,0.9875,1.1875,1.258,1.4065,1.285,1.631,1.4025,1.683,1.9495,2.075,1.971,1.3455,1.6125,1.94,1.968,1.8275,1.938,1.1715,0.966,0.3275,1.8165,1.839,1.707,1.084,1.7345,1.8915,1.8555,2.171,1.5365,1.924,1.9855,1.7375,1.5905,1.221,1.282,1.677,1.2635,1.505,1.532,1.3285,1.468,1.599,1.611,1.481,1.799,1.507,1.1435,1.2425,1.3245,1.507,1.497,1.2965,1.0325,1.4595,1.155,1.782,1.0065,0.0975,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","MT","TSHE","M","05C","TSHE-M-05C",0.165,0.161,0.2335,0.2925,0.259,0.363,0.417,0.451,0.4505,0.502,0.682,0.698,0.747,0.8525,0.9225,1.125,0.9135,0.863,0.8865,1.0155,0.8345,0.963,0.6865,0.8675,0.6795,0.8425,0.771,0.803,0.575,0.764,0.9575,1.0435,1.1815,0.8715,0.932,1.5175,0.9965,1.267,0.762,0.8005,1.069,0.985,1.068,0.986,0.894,0.7915,0.9755,1.1555,0.7265,1.099,0.929,0.7545,1.1315,1.199,1.3835,1.4305,1.0095,0.985,1.6245,1.1685,1.4675,1.427,1.5005,1.162,1.3625,1.184,1.3595,1.3365,1.506,1.4295,0.938,1.3835,1.1195,1.1035,1.2715,1.6075,1.123,1.102,1.016,1.3105,1.1265,0.8635,1.213,1.464,1.523,1.63,1.347,1.6535,1.3945,0.9565,1.088,0.6955,1.1115,1.097,1.622,1.983,2.752,0.9465,0.9465,NA,NA,NA,NA,NA
"36","MT","TSHE","M","05N","TSHE-M-05N",1.752,1.0785,1.1305,1.1125,1.027,1.027,1.546,1.6235,1.3625,1.3345,1.3695,1.2055,1.1955,1.0505,1.5285,1.988,1.7385,1.4725,1.542,1.574,1.401,1.5705,1.638,1.435,0.97,1.4095,1.269,1.4,1.1235,1.5425,1.648,2.1715,2.2545,2.023,1.887,2.062,1.645,1.7715,1.345,1.505,1.616,1.654,1.691,1.6525,1.895,1.594,1.492,1.8065,1.4285,1.0815,1.1965,0.8995,1.09,1.082,1.159,1.16,1.1165,1.055,1.4485,1.082,1.362,1.2075,1.1075,1.242,1.251,1.3025,1.4195,1.799,1.2435,1.735,2.313,1.396,0.845,0.6985,0.5175,0.711,0.9605,0.9175,0.4575,1.5305,0.544,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","MT","TSHE","M","06C","TSHE-M-06C",0.984,0.603,0.6165,0.8015,0.8505,0.851,1.3165,1.852,1.1705,1.4155,1.502,1.479,1.46,1.6475,1.958,2.431,1.7285,1.876,1.3455,2.3555,2.126,2.2505,2.1035,1.2645,0.481,1.9705,1.632,1.719,1.342,2.0095,2.2375,2.0215,2.6695,1.677,1.8525,1.594,1.6095,1.5215,1.266,1.5525,1.8525,1.8245,2.352,2.384,2.253,1.5595,1.859,2.502,2.3875,2.1175,2.098,1.21,1.3535,1.4335,1.558,1.8485,1.737,0.9675,2.2575,2.4785,2.099,3.707,2.9015,1.0505,1.449,1.416,1.052,1.247,1.13,1.108,1.12,0.999,0.521,0.181,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","MT","TSHE","M","06N","TSHE-M-06N",1.159,1.068,0.7665,1.253,1.068,0.9305,1.247,1.4105,1.04,0.9875,1.328,1.112,1.214,1.4425,1.6495,2.364,2.11,2.105,2.0705,2.7365,2.647,3.3075,2.643,2.048,0.949,1.9485,2.0425,1.891,1.272,1.8485,2.8715,2.0665,2.307,1.92,1.6855,1.8535,1.6075,1.849,1.25,1.3355,1.6505,1.497,1.7865,1.679,1.714,1.4025,1.4955,2.4535,1.9445,1.491,2.059,1.0975,1.156,1.234,1.1305,1.056,1.153,0.855,1.4585,1.009,1.02,1.763,1.235,1.647,1.631,1.676,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","MT","TSHE","M","07C","TSHE-M-07C",1.1335,1.0215,1.0525,1.0365,0.9215,0.9365,0.982,1.074,0.6835,0.471,1.2415,1.3495,1.282,1.398,1.4845,1.9795,1.54,1.299,1.346,1.7135,1.3495,1.2165,1.2685,0.975,0.5515,1.414,1.2235,1.0755,0.854,1.2015,1.3595,1.2525,1.6215,1.2535,1.093,1.3315,1.192,1.3915,0.8285,0.9355,1.366,1.1065,1.223,1.3475,1.3595,1.1465,1.0325,1.38,0.9935,1.16,1.2,0.9345,1.151,1.2215,1.248,0.7145,0.905,0.6945,1.671,1.3405,1.681,1.0455,1.46,1.5635,1.674,1.581,1.256,1.2805,1.1175,0.9135,1.2385,1.1245,0.8415,0.7415,0.8675,1.3465,0.874,1.1675,1.321,1.677,0.9275,0.9335,0.732,1.2805,1.3165,1.609,1.1255,0.984,1.967,3.316,0.42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","MT","TSHE","M","07N","TSHE-M-07N",1.483,1.8005,1.2125,1.3925,1.2365,1.278,1.5485,1.65,1.5555,1.5055,1.5625,1.5425,1.41,1.6175,1.6545,1.998,1.5755,1.192,1.413,1.343,1.067,1.144,0.7855,0.44,0.4285,1.7135,1.669,1.6665,1.1375,1.626,2.1405,1.786,1.93,1.8215,1.443,1.592,1.507,2.109,1.772,1.767,1.8575,2.024,2.2835,2.145,1.696,1.785,1.5805,1.9825,1.54,1.7645,1.6455,1.052,1.2825,1.357,1.1285,1.08,0.944,0.9005,1.7855,1.5665,1.9115,1.234,1.309,1.668,1.9335,1.7845,1.4595,1.992,1.6545,2.1175,1.953,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","MT","TSHE","M","08C","TSHE-M-08C",0.473,0.4,0.481,0.706,0.8285,1.0415,1.1505,1.1035,1.25,1.171,1.2565,1.1255,1.258,1.334,1.6915,1.611,1.359,0.9715,1.242,1.2395,1.0895,1.1555,0.8045,0.3855,0.2805,0.987,1.1785,0.862,0.7315,0.9915,1.0985,0.9775,1.0055,1.0505,0.935,0.9065,0.879,0.98,0.6955,0.7185,0.952,0.8645,1.175,1.31,0.9435,0.925,0.7585,0.9765,0.888,0.7145,0.775,0.5265,0.6285,0.7055,0.6565,0.576,0.7775,0.793,0.869,0.7945,1.0895,0.787,0.8785,1.154,1.2895,1.166,0.951,1.0575,0.879,0.999,1.2135,1.1065,0.725,0.6355,1.614,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","MT","TSHE","M","08N","TSHE-M-08N",1.215,0.8035,0.592,1.004,0.896,0.928,1.234,1.384,1.415,1.0985,1.414,1.242,1.2315,1.3545,1.281,2.0025,1.679,1.372,1.5395,2.1085,1.3845,1.9675,1.703,0.909,0.3585,1.3105,1.3325,1.1495,0.951,1.2875,1.502,1.2485,1.7965,1.1465,1.32,1.623,1.393,1.626,1.3225,1.112,1.416,1.2755,1.306,1.4115,0.9385,1.0865,1.2745,1.52,1.0305,1.0865,1.3495,0.7945,1.091,1.1905,1.026,0.617,0.6715,0.6725,1.2215,0.8545,0.8415,0.602,0.799,1.129,0.81,0.505,0.3765,0.313,0.4005,0.3685,1.053,1.3605,0.9385,0.848,0.8175,0.943,0.8835,0.7615,0.8565,0.953,0.5935,0.631,0.765,0.825,0.867,1.277,0.8205,0.631,0.804,0.9305,0.901,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","MT","TSHE","M","09C","TSHE-M-09C",0.774,0.6445,0.5915,0.671,0.65,0.613,1.226,1.374,1.5395,1.696,1.671,1.6895,1.479,1.5445,1.647,1.711,0.7815,0.7335,0.9565,0.875,0.9025,0.8455,0.699,0.5965,0.2345,1.324,1.425,1.119,0.6485,1.039,1.2765,0.9315,1.3065,0.7535,1.102,1.573,1.507,1.7185,1.242,1.385,1.277,1.259,2.0385,1.8475,1.474,1.202,1.0455,1.074,0.92,1.095,0.773,0.9445,1.073,0.9995,1.25,0.886,0.6145,0.611,0.8565,0.755,1.3205,1.0785,1.0435,0.938,1.468,2.0055,2.0065,2.076,1.735,1.0045,1.012,1.1775,1.02,1.0105,1.252,1.3765,0.7815,0.9785,0.9515,1.24,1.078,1.3065,1.2635,1.3495,1.809,1.7865,1.465,1.2085,1.335,1.621,1.97,1.19,1.4775,0.9205,1.2365,0.8765,1.487,1.9205,2.4925,1.723,1.5905,1.485,1.1615,1.0795
"44","MT","TSHE","M","09N","TSHE-M-09N",1,0.8425,0.9245,0.8655,0.839,0.6995,1.172,1.758,1.678,1.169,1.4535,1.13,1.0715,1.103,1.231,1.4215,1.171,1.401,1.521,1.332,1.3,1.2625,1.0295,0.5685,0.3875,1.122,0.9325,0.9975,0.6375,1.0215,1.105,1.1025,1.079,0.735,0.862,1.412,0.9265,1.2565,0.9765,1.0995,1.0425,1.1715,1.047,0.869,0.9925,1.13,0.825,1.2715,1.222,1.2805,1.1535,1.108,1.087,1.0785,1.1555,0.84,0.9715,0.9635,1.268,1.2665,1.6065,1.449,0.776,1.109,1.069,0.99,1.071,1.077,1.179,1.118,1.205,1.861,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","MT","TSHE","M","10C","TSHE-M-10C",0.807,0.456,0.3925,0.558,0.5995,0.5575,0.916,1.0485,0.79,0.5515,0.9805,0.797,0.7125,0.8585,0.795,0.8965,0.697,0.5645,0.643,0.6475,0.516,0.382,0.25,0.1205,0.116,0.907,0.8675,1.13,0.8235,1.077,1.267,1.0225,1.3485,0.633,0.908,1.2375,1.0435,1.089,0.962,0.938,1.0525,0.7445,1.617,1.539,1.14,1.4505,1.321,1.5845,1.449,1.25,1.2915,1.038,1.233,1.2135,1.167,0.8575,0.767,0.7005,1.3065,0.9765,1.2485,1.2065,1.5395,1.436,1.75,1.27,1.257,1.0715,1.24,1.266,1.862,1.644,1.402,1.236,1.524,1.473,0.8815,0.6395,0.517,0.63,0.489,0.673,0.7375,0.712,1.717,0.224,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","MT","TSHE","M","10N","TSHE-M-10N",0.402,0.5605,0.6965,0.591,0.6015,0.7915,0.8655,0.977,0.8835,0.792,0.803,0.695,0.843,0.832,0.873,0.905,0.956,0.8505,0.756,0.695,0.75,0.855,0.9065,0.538,0.388,1.177,0.7775,0.858,0.685,1.195,1.184,1.074,1.3465,1.092,1.1515,1.178,1.267,1.4445,1.0935,0.934,1.3035,1.2115,1.458,1.3755,1.3435,1.243,0.9415,1.381,1.3165,1.1475,1.4945,0.9615,0.829,0.9315,0.902,0.716,0.8405,0.721,1.048,1.06,0.924,0.9315,0.9085,1.2325,0.6995,0.6235,0.5955,0.7045,0.774,0.728,0.881,0.924,0.9375,0.8125,0.765,0.7055,0.8745,0.8025,0.645,0.743,0.68,0.867,0.549,0.9,1.0145,2.0975,1.7975,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","MT","TSHE","M","11C","TSHE-M-11C",1.6,1.09,0.982,0.956,1.032,0.7165,1.228,1.2875,1.0125,0.779,1.0725,0.967,0.962,1.2145,0.879,1.405,1.251,0.993,0.942,1.195,0.996,1.152,0.907,0.555,0.4155,1.1715,0.992,1.296,0.9445,1.338,1.6715,1.408,1.845,1.0255,1.4045,1.7595,1.3115,1.5005,0.9805,1.1865,1.3995,1.09,1.663,1.987,1.7165,1.1555,1.1525,1.2715,1.447,1.7225,1.4475,1.1335,1.3385,1.274,1.466,1.074,1.069,0.7175,1.5135,1.356,1.6485,1.186,1.361,1.0075,1.357,1.639,1.7075,1.599,1.605,1.3695,1.3685,0.9645,0.9425,1.1325,1.485,1.212,0.7295,0.781,0.9045,0.97,1.1945,1.389,1.062,1.7475,2.548,1.044,0.83,0.394,0.994,0.953,0.755,0.796,0.738,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","MT","TSHE","M","11N","TSHE-M-11N",1.033,0.722,0.848,0.982,1.0915,1.1955,1.786,2.411,1.965,1.7495,1.798,1.601,1.6655,1.719,1.8185,2.629,2.209,1.928,2.155,2.1225,2.444,1.9945,1.4675,1.0945,0.5665,1.9765,1.8905,1.9545,1.03,1.378,2.1025,1.774,2.215,2.062,1.6135,2.3625,1.8555,1.9485,1.643,1.449,1.4255,1.5275,1.901,1.7385,1.504,1.132,1.259,1.3945,1.2055,1.267,1.1585,1.118,1.197,0.9565,0.9115,0.855,0.8295,1.027,1.321,1.3725,1.281,1.2855,1.155,1.192,1.19,1.178,1.0955,1.059,1.1745,1.128,1.19,1.064,0.619,0.68,0.715,0.602,0.229,0.287,0.57,0.735,0.732,0.797,1.202,1.202,1.564,1.859,1.341,1.603,1.386,0.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","MT","TSHE","M","12C","TSHE-M-12C",1.23,1.094,1.0515,1.165,0.954,1.0275,1.472,1.56,1.5265,1.265,1.4345,1.383,1.614,1.729,2.0285,2.3765,2.131,1.5565,1.9945,2.0405,2.0315,1.63,1.3595,1.7645,0.5985,2.098,1.964,1.915,1.293,1.7015,2.361,1.9405,2.128,1.6925,1.631,2.384,1.4955,2.069,1.789,1.5795,1.855,1.7195,2.0055,1.833,1.6315,1.2895,1.5165,1.8835,1.725,1.8935,1.7405,1.173,1.554,1.625,1.5035,1.309,1.532,1.0795,1.866,1.529,1.7755,2.0815,2.1925,1.9075,1.818,1.375,1.1965,1.5395,1.6315,1.5185,1.7635,1.6085,1.509,1.346,1.343,1.128,0.9575,0.8385,1.3105,0.859,0.822,1.053,0.785,1.07,0.976,1.157,1.222,1.071,0.697,1.054,1.303,0.989,0.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","MT","TSHE","M","12N","TSHE-M-12N",0.88,0.9895,0.74,0.7545,0.6775,0.7915,1.0845,1.096,0.9975,1.0695,1.4665,1.6955,1.7245,1.8165,1.9045,2.4915,1.922,1.6795,1.7705,1.952,1.704,1.7325,1.6535,0.927,0.4925,1.731,1.337,1.473,1.1395,1.5245,2.289,1.835,1.935,1.64,1.589,2.3875,2.177,2.68,2.3285,1.988,2.201,2.169,2.3865,2.473,2.3075,1.5655,1.4255,1.755,1.585,1.7635,1.63,1.089,1.5245,1.242,1.1745,0.992,1.0645,0.9845,1.9475,1.181,1.5315,1.4785,1.4185,1.5405,1.293,1.281,1.3025,1.3995,1.545,1.4045,1.5145,1.4255,1.2785,0.908,1.033,1.324,0.8565,1.969,1.052,1.215,1.105,1.396,1.394,1.44,1.169,0.633,0.517,0.544,0.195,1.467,2.548,0.895,1.582,0.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","MT","TSHE","M","13C","TSHE-M-13C",1.297,1.288,0.993,1.0955,0.7745,0.693,1.072,1.2305,1.043,0.7695,0.978,1.09,1.191,1.634,2.0745,2.7305,1.4675,1.5505,1.6935,2.406,2.151,1.835,1.2545,0.877,0.5655,2.288,2.0365,1.6,1.105,1.725,2.6475,1.925,2.2865,1.752,1.714,2.043,2.3885,2.515,1.7015,1.501,1.8245,1.7445,1.968,1.8035,2.097,1.9355,1.691,2.195,2.0095,1.554,1.491,1.277,1.6095,1.5535,1.488,1.4525,1.517,1.2785,1.9755,1.891,2.299,1.758,1.583,1.445,1.7115,1.595,1.712,1.6875,1.7815,1.572,1.842,1.6645,1.444,1.4525,1.928,1.6705,1.3565,1.103,1.025,1.467,1.2615,1.7895,1.745,1.578,1.7715,2.036,1.5365,1.023,1.636,1.926,2.0455,1.6055,1.61,1.31,1.399,1.346,1.862,2.154,2.36,1.582,1.684,1.64,1.334,0.909
"52","MT","TSHE","M","13N","TSHE-M-13N",1.1235,1.0655,1.3215,1.248,0.9395,0.769,1.1315,1.5015,1.4265,1.085,1.3825,1.3525,1.6185,1.712,1.3325,1.389,1.2005,1.3205,1.4485,1.497,1.508,1.638,1.5335,1.2495,0.629,1.712,1.5405,1.4735,0.986,1.591,1.82,1.6095,1.8115,1.4785,1.4375,1.973,1.6405,1.7755,1.272,1.154,1.2515,1.222,1.7275,2.0485,1.717,1.7095,1.7825,1.7435,1.429,2.3495,1.5945,1.1715,1.6725,1.75,1.6695,1.7445,1.548,1.2015,2.421,1.88,2,1.9305,2.0635,1.7705,1.8475,1.953,1.5085,1.911,2.695,3.342,2.451,1.604,1.684,1.572,1.838,1.549,1.467,1.191,0.756,0.858,0.771,0.897,0.876,0.879,0.972,0.813,1.228,1.473,1.404,1.071,1.362,0.923,1.039,1.248,2.775,2.562,NA,NA,NA,NA,NA,NA,NA,NA
