age_CE,BC1801A_raw,BC1802A_raw,BC1803A_raw,BC1804B_raw,BC1805B_raw,BC1806A_raw,BC1807A_raw,BC1808A_raw,BC1809A_raw,BC1810B_raw,BC1811A_raw,BC1812A_raw,BC1813A_raw,BC1814A_raw,BC1815B_raw,BC1816A_raw,BC1817A_raw,BC1818A_raw,BC1819A_raw,BC1820A_raw,BC1801A_raw_outlier_flag,BC1802A_raw_outlier_flag,BC1803A_raw_outlier_flag,BC1804B_raw_outlier_flag,BC1805B_raw_outlier_flag,BC1806A_raw_outlier_flag,BC1807A_raw_outlier_flag,BC1808A_raw_outlier_flag,BC1809A_raw_outlier_flag,BC1810B_raw_outlier_flag,BC1811A_raw_outlier_flag,BC1812A_raw_outlier_flag,BC1813A_raw_outlier_flag,BC1814A_raw_outlier_flag,BC1815B_raw_outlier_flag,BC1816A_raw_outlier_flag,BC1817A_raw_outlier_flag,BC1818A_raw_outlier_flag,BC1819A_raw_outlier_flag,BC1820A_raw_outlier_flag
1948,0.83,0.42,0.73,0.42,0.19,0.24,1.01,1.02,0.15,0.45,0.75,1.18,0.65,0.62,0.52,0.6,1.2,0.94,0.7,0.44,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1949,0.73,0.25,0.67,0.32,0.19,0.27,0.85,0.81,0.12,0.29,0.44,0.82,0.38,0.49,0.34,0.45,1.09,0.88,0.46,0.42,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1950,0.84,0.57,0.77,0.39,0.17,0.35,0.81,0.8,0.14,0.36,0.64,0.96,0.32,0.57,0.35,0.41,1.2,1.05,0.42,0.45,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1951,0.39,0.28,0.42,0.18,0.11,0.15,0.45,0.24,0,0.15,0.23,0.65,0.18,0.28,0.15,0.27,0.54,0.53,0.24,0.22,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1952,1.48,0.81,1.12,0.44,0.26,0.36,0.91,0.65,0.18,0.44,0.48,1.6,0.46,0.57,0.29,0.58,1.15,1.38,0.61,0.5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1953,1.61,1.08,0.98,0.46,0.37,0.39,1.2,0.6,0.14,0.46,0.8,1.91,0.7,0.54,0.6,0.95,1,1.22,0.85,0.77,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1954,1.76,0.94,0.82,0.31,0.31,0.44,1,0.86,0.26,0.52,0.52,1.74,0.51,0.78,0.46,0.85,0.99,1.42,0.72,0.74,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1955,1.26,1,0.89,0.41,0.4,0.44,0.97,0.61,0.2,0.45,0.66,1.6,0.48,0.78,0.5,0.85,0.88,1.32,0.75,0.6,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1956,1.79,1.31,1.1,0.34,0.33,0.56,1,0.95,0.21,0.59,0.77,1.89,0.75,1.01,0.67,0.9,1.21,1.46,1.11,0.85,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1957,1.26,0.97,0.9,0.26,0.26,0.38,0.72,0.69,0.19,0.34,0.57,1.13,0.56,1.16,0.65,0.87,1.06,1.47,0.8,0.81,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1958,2.2,1.55,1.86,0.37,0.4,0.5,0.84,1.41,0.14,0.43,0.79,1.98,1.16,1.87,1.26,0.9,1.19,2.2,1.24,1.29,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1959,0.89,0.77,0.57,0.08,0.22,0.15,0.45,0.53,0,0.08,0.43,0.88,0.4,0.44,0.3,0.6,0.35,0.62,0.52,0.39,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1960,1.08,0.58,0.83,0.23,0.37,0.53,0.6,0.63,0.15,0.17,0.2,1.11,0.54,0.61,0.47,0.58,0.7,0.8,0.56,0.47,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1962,0.66,0.28,1.2,0.25,0.27,0.42,0.48,0.5,0,0,0.26,0.61,0.34,0.46,0.35,0.52,0.59,0.99,0.71,0.65,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1963,0.78,0.25,0.62,0.14,0.26,0.26,0.49,0.51,0,0,0.28,0.52,0.37,0.32,0.28,0.4,0.32,0.48,0.38,0.51,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1964,2.38,0.69,1.84,0.4,0.59,0.75,1.05,1.69,0.15,0.09,0.91,1.82,1.26,1.15,0.73,1.08,0.85,1.26,1.56,1.32,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1965,2.27,0.44,1.82,0.3,0.46,0.56,0.81,1.6,0.09,0.12,0.59,1.27,0.67,1.16,0.79,0.78,0.79,1.08,1.47,1.04,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1966,2.06,0.42,1.38,0.28,0.45,0.65,0.75,1.48,0.25,0.32,0.55,1.01,0.8,0.78,0.51,0.58,0.62,0.92,1.28,0.8,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1967,2.8,0.65,1.94,0.32,0.62,0.91,0.85,1.71,0.2,0.27,0.62,1.22,0.64,1.19,0.75,0.51,0.59,1.34,1.3,0.93,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1968,2.46,0.57,0.89,0.16,0.48,0.59,0.29,0.8,0.15,0.13,0.47,1.1,0.21,0.8,0.79,0.43,0.45,0.88,0.91,0.57,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1969,1.99,0.48,0.69,0.23,0.35,0.64,0.45,0.63,0,0.06,0.42,1.31,0.23,1.24,0.44,0.26,0.36,1.22,0.79,0.65,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1970,1.67,0.63,0.35,0.1,0.28,0.47,0.57,0.87,0.13,0.12,0.81,1.44,0.43,0.95,0.25,0.35,0.22,0.97,0.79,0.5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1971,1.18,0.47,0.26,0,0.23,0.51,0.33,0.57,0,0.18,0.46,1.04,0.29,0.71,0.24,0.26,0.53,0.81,0.76,0.57,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1972,0.36,0.09,0.14,0,0,0.08,0.1,0.18,0,0,0.22,0.44,0.06,0.2,0.07,0,0,0.2,0.24,0.12,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1973,2.03,0.61,0.69,0.09,0.46,0.98,0.62,0.53,0,0,0.43,1.85,0.8,1.47,0.44,0.53,0.34,1.52,0.82,1.15,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1974,1.95,0.63,0.28,0.31,0.31,0.7,0.65,0.74,0,0,0.52,1.76,0.21,1.2,0.44,0.4,0.6,0.9,0.54,0.74,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1975,1.71,0.76,0.77,0.22,0.36,0.65,1.02,0.71,0,0,0.87,2.37,0.5,1.45,0.64,1.05,0.3,1.42,1.02,1.03,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1976,1.06,0.37,0.51,0.09,0.26,0.37,0.72,0.44,0,0.07,0.55,1.52,0.27,0.84,0.35,0.72,0.6,0.81,0.63,0.58,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1977,1.84,0.56,0.87,0.17,0.37,0.74,1.19,0.71,0.09,0.07,0.75,2.98,0.68,1.39,0.67,0.86,0.74,1.17,1.16,0.96,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1978,1.89,0.67,1.07,0.24,0.54,0.78,1.24,0.7,0.12,0.08,0.74,2.82,0.76,1.08,0.86,0.76,0.66,1.5,1.13,1.23,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1979,2.05,0.85,1.07,0.38,0.69,0.9,1.56,0.9,0.12,0.21,0.8,2.8,0.83,1.22,1.87,0.74,0.94,1.54,1.2,1.74,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1980,2.72,1.22,1.23,0.4,0.72,1.14,1.81,1.02,0.11,0.29,0.79,3,1.03,1.11,1.95,1.1,0.39,1.55,1.34,2.14,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1981,1.38,0.65,0.66,0.22,0.31,0.4,0.87,0.3,0.13,0,0.45,1.42,0.46,0.78,0.56,0.96,0.78,0.78,0.62,1.02,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1982,2.42,1.07,1.21,0.67,0.53,0.91,1.56,1.09,0.18,0.09,0.68,2.63,1.06,1.54,1.26,1.06,1.01,1.71,1.16,2.13,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1983,3.26,1.22,1.19,0.54,0.94,0.84,1.78,1.88,0.14,0.43,1.83,2.52,1.24,1.84,1.82,1.1,0.32,2.2,1.54,2.41,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1984,1.92,0.75,0.52,0.11,0.48,0.43,1.27,1.68,0.08,0.36,1.02,1.78,0.88,0.99,0.75,0.56,0.22,1.25,1.02,1.4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1985,2.52,1.44,0.8,0.4,0.92,0.97,1.9,1.93,0.11,0.27,1.22,2.68,1.81,1.7,1.26,0.76,1.41,2.36,2.09,2.41,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1986,2.43,1.42,1.21,0.47,0.99,0.79,1.77,2.56,0.14,0.28,1.27,1.67,2.48,1.79,1.36,0.94,1.64,2.73,1.97,2.85,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1987,1.4,1.01,0.85,0.31,0.48,0.4,1.13,1.02,0.12,0.28,0.72,1.14,1.24,0.99,0.84,0.69,0.73,1.52,1.21,1.3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1988,1.01,1.03,0.68,0.34,0.42,0.39,0.94,1.22,0.13,0.33,0.6,0.94,1.71,1.42,0.64,0.82,0.79,1.28,1.17,1.21,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
