age_CE,KLT02A_raw,KLT02B_raw,KLT03A_raw,KLT03B_raw,KLT04A_raw,KLT04B_raw,KLT06A_raw,KLT06B_raw,KLT02A_raw_outlier_flag,KLT02B_raw_outlier_flag,KLT03A_raw_outlier_flag,KLT03B_raw_outlier_flag,KLT04A_raw_outlier_flag,KLT04B_raw_outlier_flag,KLT06A_raw_outlier_flag,KLT06B_raw_outlier_flag
1602,1.07,1.15,0.9,1,1.59,1.56,0.48,0.59,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1603,0.77,0.85,0.61,0.74,0.71,0.72,0.26,0.34,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1604,0.74,0.72,0.65,0.99,0.84,0.84,0.24,0.31,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1605,0.49,0.54,0.72,0.69,0.99,1,0.17,0.3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1606,0.66,0.73,1.14,1.24,1.41,1.42,0.14,0.3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1607,0.92,0.86,1.22,1.14,2.08,2.07,0.23,0.41,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1608,0.87,1.04,2.04,1.71,3.31,3.28,0.21,0.38,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1609,1,1.06,1.56,1.38,2.47,2.48,0.27,0.42,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1610,1.13,1.06,1.28,1.29,1.94,1.96,0.21,0.38,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1611,1.27,1.14,1.66,1.6,2.22,2.16,0.24,0.35,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1612,1.41,1.29,1.7,1.85,2.27,2.17,0.3,0.4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1613,1.18,1.13,1.12,1.03,1.57,1.59,0.32,0.43,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1614,1.12,0.97,1.73,1.53,2.21,2.17,0.31,0.35,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1615,0.81,0.65,1.87,1.85,1.61,1.63,0.28,0.27,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
