age_CE,01C407a_raw,01C409a_raw,01C409b_raw,01C411a_raw,01C411b_raw,01C414a_raw,01C414b_raw,01C415a_raw,01C415b_raw,01C417b_raw,01C419b_raw,01C420b_raw,01C421a_raw,01C421b_raw,01C422a_raw,01C422b_raw,01C424a_raw,01C424b_raw,01C426a_raw,01C427b_raw,01C407a_raw_outlier_flag,01C409a_raw_outlier_flag,01C409b_raw_outlier_flag,01C411a_raw_outlier_flag,01C411b_raw_outlier_flag,01C414a_raw_outlier_flag,01C414b_raw_outlier_flag,01C415a_raw_outlier_flag,01C415b_raw_outlier_flag,01C417b_raw_outlier_flag,01C419b_raw_outlier_flag,01C420b_raw_outlier_flag,01C421a_raw_outlier_flag,01C421b_raw_outlier_flag,01C422a_raw_outlier_flag,01C422b_raw_outlier_flag,01C424a_raw_outlier_flag,01C424b_raw_outlier_flag,01C426a_raw_outlier_flag,01C427b_raw_outlier_flag
1773,NA,NA,NA,0.44,0.74,0.52,NA,0.54,0.52,0.54,0.63,NA,1.93,1.64,0.32,0.38,0.62,0.68,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA
1774,NA,NA,NA,1.14,0.74,0.46,NA,0.44,0.4,0.54,0.7,NA,1.24,1.57,0.7,0.51,0.59,0.65,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA
1775,NA,NA,NA,0.56,0.42,0.47,NA,0.36,0.35,0.52,0.76,NA,1.3,1.39,0.35,0.32,0.35,0.29,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA
1776,NA,NA,NA,0.54,0.53,0.49,NA,0.34,0.41,0.46,0.67,NA,1.65,1.73,0.32,0.41,0.41,0.38,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA
1777,NA,NA,NA,0.68,0.67,0.67,NA,0.51,0.48,0.63,0.86,NA,1.84,2,0.57,0.6,0.63,0.6,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA
1778,NA,NA,NA,0.62,0.61,0.59,NA,0.54,0.41,0.57,0.82,NA,1.62,1.7,0.51,0.51,0.44,0.48,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA
1779,NA,NA,NA,0.68,0.46,0.37,NA,0.38,0.25,0.6,0.6,NA,1.52,1.38,0.41,0.32,0.38,0.44,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA
1780,NA,NA,NA,0.62,0.51,0.57,NA,0.41,0.38,0.76,0.6,NA,1.84,1.83,0.31,0.35,0.51,0.48,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA
1781,NA,1.89,NA,0.56,0.51,0.66,NA,0.6,0.44,0.71,0.63,NA,1.87,1.79,0.57,0.51,0.68,0.57,NA,NA,NA,TRUE,NA,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA
1782,NA,1.26,NA,0.51,0.33,0.59,NA,0.38,0.26,0.53,0.62,NA,1.44,1.46,0.38,0.41,0.49,0.51,NA,NA,NA,FALSE,NA,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA
