age_CE,HLL069_raw,HLL026_raw,HLL450_raw,HLL397_raw,HLL523_raw,HLL142_raw,HLL979_raw,HLL668_raw,HLL069_raw_outlier_flag,HLL026_raw_outlier_flag,HLL450_raw_outlier_flag,HLL397_raw_outlier_flag,HLL523_raw_outlier_flag,HLL142_raw_outlier_flag,HLL979_raw_outlier_flag,HLL668_raw_outlier_flag
-697,0.7,0.6,0.84,1.15,0.95,0.9,1.39,0.34,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
-696,0.94,0.67,0.76,1.46,0.76,0.6,1.06,0.34,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
-695,0.84,0.69,1.08,1.76,0.78,0.76,1.06,0.29,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
-694,1.28,0.65,0.72,1.15,0.69,0.74,0.96,0.31,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
-693,1.13,0.84,0.48,1.17,0.72,0.75,1.91,0.32,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
-692,1.07,0.9,0.69,1.27,0.66,0.82,1.5,0.44,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
-691,0.96,0.88,0.74,1.18,0.75,0.11,1.44,0.4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
-690,0.9,0.61,0.48,0.76,0.65,0.34,0.71,0.24,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
-689,0.48,0.7,0.35,0.99,0.64,0.3,0.55,0.31,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
-688,0.5,0.71,0.41,0.64,0.44,0.33,0.53,0.3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
-687,0.52,0.56,0.34,0.94,0.61,0.31,0.83,0.31,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
-686,0.71,0.89,0.51,0.99,0.54,0.31,0.71,0.39,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
-685,0.44,0.55,0.7,0.83,0.54,0.52,0.45,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA
-684,0.31,0.7,0.57,1.12,0.75,0.52,0.52,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA
-683,0.33,0.79,0.66,1.1,0.76,0.68,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA
-682,0.45,0.83,0.7,1.44,0.7,0.73,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA
-681,0.44,0.65,0.66,1.33,0.74,0.56,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA
-680,0.49,0.77,0.69,1.13,0.73,0.65,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA
-679,0.29,0.49,0.65,1.24,0.69,0.5,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA
-678,0.33,0.66,0.51,1.31,1.05,0.73,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA
-677,0.56,0.61,0.57,0.86,1.02,0.89,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA
-676,0.49,0.56,0.81,0.89,1.02,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA
