"","years","Tag","Ring_width(mm)","Long","Lat","species","speciesfull"
"22151",1933,"b5r1_18",0.42,-105.55154,39.6179,"PIPO","Pinus ponderosa"
"22152",1934,"b5r1_18",0.25,-105.55154,39.6179,"PIPO","Pinus ponderosa"
"22153",1935,"b5r1_18",0.48,-105.55154,39.6179,"PIPO","Pinus ponderosa"
"22154",1936,"b5r1_18",0.43,-105.55154,39.6179,"PIPO","Pinus ponderosa"
"22155",1937,"b5r1_18",0.56,-105.55154,39.6179,"PIPO","Pinus ponderosa"
"22156",1938,"b5r1_18",0.44,-105.55154,39.6179,"PIPO","Pinus ponderosa"
"22157",1939,"b5r1_18",0.21,-105.55154,39.6179,"PIPO","Pinus ponderosa"
"22158",1940,"b5r1_18",0.59,-105.55154,39.6179,"PIPO","Pinus ponderosa"
"22159",1941,"b5r1_18",0.56,-105.55154,39.6179,"PIPO","Pinus ponderosa"
"22160",1942,"b5r1_18",0.61,-105.55154,39.6179,"PIPO","Pinus ponderosa"
"22161",1943,"b5r1_18",0.63,-105.55154,39.6179,"PIPO","Pinus ponderosa"
"22162",1944,"b5r1_18",0.6,-105.55154,39.6179,"PIPO","Pinus ponderosa"
"22163",1945,"b5r1_18",0.53,-105.55154,39.6179,"PIPO","Pinus ponderosa"
"22164",1946,"b5r1_18",0.47,-105.55154,39.6179,"PIPO","Pinus ponderosa"
"22165",1947,"b5r1_18",0.43,-105.55154,39.6179,"PIPO","Pinus ponderosa"
"22166",1948,"b5r1_18",0.34,-105.55154,39.6179,"PIPO","Pinus ponderosa"
"22167",1949,"b5r1_18",0.51,-105.55154,39.6179,"PIPO","Pinus ponderosa"
"22168",1950,"b5r1_18",0.42,-105.55154,39.6179,"PIPO","Pinus ponderosa"
"22169",1951,"b5r1_18",0.43,-105.55154,39.6179,"PIPO","Pinus ponderosa"
"22170",1952,"b5r1_18",0.31,-105.55154,39.6179,"PIPO","Pinus ponderosa"
"22171",1953,"b5r1_18",0.4,-105.55154,39.6179,"PIPO","Pinus ponderosa"
"22172",1954,"b5r1_18",0.39,-105.55154,39.6179,"PIPO","Pinus ponderosa"
"22173",1955,"b5r1_18",0.26,-105.55154,39.6179,"PIPO","Pinus ponderosa"
"22174",1956,"b5r1_18",0.26,-105.55154,39.6179,"PIPO","Pinus ponderosa"
"22175",1957,"b5r1_18",0.43,-105.55154,39.6179,"PIPO","Pinus ponderosa"
"22176",1958,"b5r1_18",0.36,-105.55154,39.6179,"PIPO","Pinus ponderosa"
"22177",1959,"b5r1_18",0.37,-105.55154,39.6179,"PIPO","Pinus ponderosa"
"22178",1960,"b5r1_18",0.18,-105.55154,39.6179,"PIPO","Pinus ponderosa"
"22179",1961,"b5r1_18",0.27,-105.55154,39.6179,"PIPO","Pinus ponderosa"
"22180",1962,"b5r1_18",0.37,-105.55154,39.6179,"PIPO","Pinus ponderosa"
"22181",1963,"b5r1_18",0.21,-105.55154,39.6179,"PIPO","Pinus ponderosa"
"22182",1964,"b5r1_18",0.4,-105.55154,39.6179,"PIPO","Pinus ponderosa"
"22183",1965,"b5r1_18",0.38,-105.55154,39.6179,"PIPO","Pinus ponderosa"
"22184",1966,"b5r1_18",0.37,-105.55154,39.6179,"PIPO","Pinus ponderosa"
"22185",1967,"b5r1_18",0.42,-105.55154,39.6179,"PIPO","Pinus ponderosa"
"22186",1968,"b5r1_18",0.31,-105.55154,39.6179,"PIPO","Pinus ponderosa"
"22187",1969,"b5r1_18",0.41,-105.55154,39.6179,"PIPO","Pinus ponderosa"
"22188",1970,"b5r1_18",0.3,-105.55154,39.6179,"PIPO","Pinus ponderosa"
"22189",1971,"b5r1_18",0.24,-105.55154,39.6179,"PIPO","Pinus ponderosa"
"22190",1972,"b5r1_18",0.24,-105.55154,39.6179,"PIPO","Pinus ponderosa"
"22191",1973,"b5r1_18",0.29,-105.55154,39.6179,"PIPO","Pinus ponderosa"
"22192",1974,"b5r1_18",0.36,-105.55154,39.6179,"PIPO","Pinus ponderosa"
"22193",1975,"b5r1_18",0.3,-105.55154,39.6179,"PIPO","Pinus ponderosa"
"22194",1976,"b5r1_18",0.29,-105.55154,39.6179,"PIPO","Pinus ponderosa"
"22195",1977,"b5r1_18",0.41,-105.55154,39.6179,"PIPO","Pinus ponderosa"
"22196",1978,"b5r1_18",0.23,-105.55154,39.6179,"PIPO","Pinus ponderosa"
"22197",1979,"b5r1_18",0.29,-105.55154,39.6179,"PIPO","Pinus ponderosa"
"22198",1980,"b5r1_18",0.37,-105.55154,39.6179,"PIPO","Pinus ponderosa"
"22199",1981,"b5r1_18",0.24,-105.55154,39.6179,"PIPO","Pinus ponderosa"
"22200",1982,"b5r1_18",0.34,-105.55154,39.6179,"PIPO","Pinus ponderosa"
"22201",1983,"b5r1_18",0.3,-105.55154,39.6179,"PIPO","Pinus ponderosa"
"22202",1984,"b5r1_18",0.38,-105.55154,39.6179,"PIPO","Pinus ponderosa"
"22203",1985,"b5r1_18",0.33,-105.55154,39.6179,"PIPO","Pinus ponderosa"
"22204",1986,"b5r1_18",0.32,-105.55154,39.6179,"PIPO","Pinus ponderosa"
"22205",1987,"b5r1_18",0.4,-105.55154,39.6179,"PIPO","Pinus ponderosa"
"22206",1988,"b5r1_18",0.47,-105.55154,39.6179,"PIPO","Pinus ponderosa"
"22207",1989,"b5r1_18",0.48,-105.55154,39.6179,"PIPO","Pinus ponderosa"
"22208",1990,"b5r1_18",0.3,-105.55154,39.6179,"PIPO","Pinus ponderosa"
"22209",1991,"b5r1_18",0.3,-105.55154,39.6179,"PIPO","Pinus ponderosa"
"22210",1992,"b5r1_18",0.26,-105.55154,39.6179,"PIPO","Pinus ponderosa"
"22211",1993,"b5r1_18",0.28,-105.55154,39.6179,"PIPO","Pinus ponderosa"
"22212",1994,"b5r1_18",0.37,-105.55154,39.6179,"PIPO","Pinus ponderosa"
"22213",1995,"b5r1_18",0.27,-105.55154,39.6179,"PIPO","Pinus ponderosa"
"22214",1996,"b5r1_18",0.25,-105.55154,39.6179,"PIPO","Pinus ponderosa"
"22215",1997,"b5r1_18",0.21,-105.55154,39.6179,"PIPO","Pinus ponderosa"
"22216",1998,"b5r1_18",0.27,-105.55154,39.6179,"PIPO","Pinus ponderosa"
"22217",1999,"b5r1_18",0.3,-105.55154,39.6179,"PIPO","Pinus ponderosa"
"22218",2000,"b5r1_18",0.31,-105.55154,39.6179,"PIPO","Pinus ponderosa"
"22219",2001,"b5r1_18",0.35,-105.55154,39.6179,"PIPO","Pinus ponderosa"
"22220",2002,"b5r1_18",0.34,-105.55154,39.6179,"PIPO","Pinus ponderosa"
"22221",2003,"b5r1_18",0.41,-105.55154,39.6179,"PIPO","Pinus ponderosa"
"22222",2004,"b5r1_18",0.32,-105.55154,39.6179,"PIPO","Pinus ponderosa"
"22223",2005,"b5r1_18",0.44,-105.55154,39.6179,"PIPO","Pinus ponderosa"
"22224",2006,"b5r1_18",0.26,-105.55154,39.6179,"PIPO","Pinus ponderosa"
"22225",2007,"b5r1_18",0.19,-105.55154,39.6179,"PIPO","Pinus ponderosa"
"22226",2008,"b5r1_18",0.86,-105.55154,39.6179,"PIPO","Pinus ponderosa"
"22227",2009,"b5r1_18",0.42,-105.55154,39.6179,"PIPO","Pinus ponderosa"
"22228",2010,"b5r1_18",0.5,-105.55154,39.6179,"PIPO","Pinus ponderosa"
"22229",2011,"b5r1_18",0.39,-105.55154,39.6179,"PIPO","Pinus ponderosa"
"22230",2012,"b5r1_18",0.33,-105.55154,39.6179,"PIPO","Pinus ponderosa"
"22231",2013,"b5r1_18",0.32,-105.55154,39.6179,"PIPO","Pinus ponderosa"
"22232",2014,"b5r1_18",0.17,-105.55154,39.6179,"PIPO","Pinus ponderosa"
"22233",2015,"b5r1_18",0.34,-105.55154,39.6179,"PIPO","Pinus ponderosa"
"22234",1896,"b5r1_19",0.48,-105.55154,39.6179,"PIPO","Pinus ponderosa"
"22235",1897,"b5r1_19",0.69,-105.55154,39.6179,"PIPO","Pinus ponderosa"
"22236",1898,"b5r1_19",0.39,-105.55154,39.6179,"PIPO","Pinus ponderosa"
"22237",1899,"b5r1_19",0.37,-105.55154,39.6179,"PIPO","Pinus ponderosa"
"22238",1900,"b5r1_19",0.38,-105.55154,39.6179,"PIPO","Pinus ponderosa"
"22239",1901,"b5r1_19",0.28,-105.55154,39.6179,"PIPO","Pinus ponderosa"
"22240",1902,"b5r1_19",0.29,-105.55154,39.6179,"PIPO","Pinus ponderosa"
"22241",1903,"b5r1_19",0.34,-105.55154,39.6179,"PIPO","Pinus ponderosa"
"22242",1904,"b5r1_19",0.38,-105.55154,39.6179,"PIPO","Pinus ponderosa"
"22243",1905,"b5r1_19",0.41,-105.55154,39.6179,"PIPO","Pinus ponderosa"
"22244",1906,"b5r1_19",0.47,-105.55154,39.6179,"PIPO","Pinus ponderosa"
"22245",1907,"b5r1_19",0.55,-105.55154,39.6179,"PIPO","Pinus ponderosa"
"22246",1908,"b5r1_19",0.62,-105.55154,39.6179,"PIPO","Pinus ponderosa"
"22247",1909,"b5r1_19",0.56,-105.55154,39.6179,"PIPO","Pinus ponderosa"
"22248",1910,"b5r1_19",0.55,-105.55154,39.6179,"PIPO","Pinus ponderosa"
"22249",1911,"b5r1_19",0.47,-105.55154,39.6179,"PIPO","Pinus ponderosa"
"22250",1912,"b5r1_19",0.45,-105.55154,39.6179,"PIPO","Pinus ponderosa"
"22251",1913,"b5r1_19",0.4,-105.55154,39.6179,"PIPO","Pinus ponderosa"
"22252",1914,"b5r1_19",0.57,-105.55154,39.6179,"PIPO","Pinus ponderosa"
"22253",1915,"b5r1_19",0.4,-105.55154,39.6179,"PIPO","Pinus ponderosa"
"22254",1916,"b5r1_19",0.52,-105.55154,39.6179,"PIPO","Pinus ponderosa"
"22255",1917,"b5r1_19",0.39,-105.55154,39.6179,"PIPO","Pinus ponderosa"
"22256",1918,"b5r1_19",0.33,-105.55154,39.6179,"PIPO","Pinus ponderosa"
"22257",1919,"b5r1_19",0.43,-105.55154,39.6179,"PIPO","Pinus ponderosa"
"22258",1920,"b5r1_19",0.19,-105.55154,39.6179,"PIPO","Pinus ponderosa"
"22259",1921,"b5r1_19",0.25,-105.55154,39.6179,"PIPO","Pinus ponderosa"
"22260",1922,"b5r1_19",0.24,-105.55154,39.6179,"PIPO","Pinus ponderosa"
"22261",1923,"b5r1_19",0.14,-105.55154,39.6179,"PIPO","Pinus ponderosa"
"22262",1924,"b5r1_19",0.03,-105.55154,39.6179,"PIPO","Pinus ponderosa"
"22263",1925,"b5r1_19",0.08,-105.55154,39.6179,"PIPO","Pinus ponderosa"
"22264",1926,"b5r1_19",0.2,-105.55154,39.6179,"PIPO","Pinus ponderosa"
"22265",1927,"b5r1_19",0.16,-105.55154,39.6179,"PIPO","Pinus ponderosa"
"22266",1928,"b5r1_19",0.36,-105.55154,39.6179,"PIPO","Pinus ponderosa"
"22267",1929,"b5r1_19",0.34,-105.55154,39.6179,"PIPO","Pinus ponderosa"
"22268",1930,"b5r1_19",0.16,-105.55154,39.6179,"PIPO","Pinus ponderosa"
"22269",1931,"b5r1_19",0.28,-105.55154,39.6179,"PIPO","Pinus ponderosa"
"22270",1932,"b5r1_19",0.22,-105.55154,39.6179,"PIPO","Pinus ponderosa"
"22271",1933,"b5r1_19",0.18,-105.55154,39.6179,"PIPO","Pinus ponderosa"
"22272",1934,"b5r1_19",0.16,-105.55154,39.6179,"PIPO","Pinus ponderosa"
"22273",1935,"b5r1_19",0.2,-105.55154,39.6179,"PIPO","Pinus ponderosa"
"22274",1936,"b5r1_19",0.24,-105.55154,39.6179,"PIPO","Pinus ponderosa"
"22275",1937,"b5r1_19",0.22,-105.55154,39.6179,"PIPO","Pinus ponderosa"
"22276",1938,"b5r1_19",0.3,-105.55154,39.6179,"PIPO","Pinus ponderosa"
"22277",1939,"b5r1_19",0.23,-105.55154,39.6179,"PIPO","Pinus ponderosa"
"22278",1940,"b5r1_19",0.24,-105.55154,39.6179,"PIPO","Pinus ponderosa"
"22279",1941,"b5r1_19",0.26,-105.55154,39.6179,"PIPO","Pinus ponderosa"
"22280",1942,"b5r1_19",0.28,-105.55154,39.6179,"PIPO","Pinus ponderosa"
"22281",1943,"b5r1_19",0.37,-105.55154,39.6179,"PIPO","Pinus ponderosa"
"22282",1944,"b5r1_19",0.3,-105.55154,39.6179,"PIPO","Pinus ponderosa"
"22283",1945,"b5r1_19",0.21,-105.55154,39.6179,"PIPO","Pinus ponderosa"
"22284",1946,"b5r1_19",0.31,-105.55154,39.6179,"PIPO","Pinus ponderosa"
"22285",1947,"b5r1_19",0.32,-105.55154,39.6179,"PIPO","Pinus ponderosa"
"22286",1948,"b5r1_19",0.23,-105.55154,39.6179,"PIPO","Pinus ponderosa"
"22287",1949,"b5r1_19",0.22,-105.55154,39.6179,"PIPO","Pinus ponderosa"
"22288",1950,"b5r1_19",0.18,-105.55154,39.6179,"PIPO","Pinus ponderosa"
"22289",1951,"b5r1_19",0.25,-105.55154,39.6179,"PIPO","Pinus ponderosa"
"22290",1952,"b5r1_19",0.2,-105.55154,39.6179,"PIPO","Pinus ponderosa"
"22291",1953,"b5r1_19",0.14,-105.55154,39.6179,"PIPO","Pinus ponderosa"
"22292",1954,"b5r1_19",0.21,-105.55154,39.6179,"PIPO","Pinus ponderosa"
"22293",1955,"b5r1_19",0.11,-105.55154,39.6179,"PIPO","Pinus ponderosa"
"22294",1956,"b5r1_19",0.18,-105.55154,39.6179,"PIPO","Pinus ponderosa"
"22295",1957,"b5r1_19",0.22,-105.55154,39.6179,"PIPO","Pinus ponderosa"
"22296",1958,"b5r1_19",0.25,-105.55154,39.6179,"PIPO","Pinus ponderosa"
"22297",1959,"b5r1_19",0.15,-105.55154,39.6179,"PIPO","Pinus ponderosa"
"22298",1960,"b5r1_19",0.19,-105.55154,39.6179,"PIPO","Pinus ponderosa"
"22299",1961,"b5r1_19",0.18,-105.55154,39.6179,"PIPO","Pinus ponderosa"
"22300",1962,"b5r1_19",0.39,-105.55154,39.6179,"PIPO","Pinus ponderosa"
"22301",1963,"b5r1_19",0.2,-105.55154,39.6179,"PIPO","Pinus ponderosa"
"22302",1964,"b5r1_19",0.29,-105.55154,39.6179,"PIPO","Pinus ponderosa"
"22303",1965,"b5r1_19",0.32,-105.55154,39.6179,"PIPO","Pinus ponderosa"
"22304",1966,"b5r1_19",0.37,-105.55154,39.6179,"PIPO","Pinus ponderosa"
"22305",1967,"b5r1_19",0.25,-105.55154,39.6179,"PIPO","Pinus ponderosa"
"22306",1968,"b5r1_19",0.19,-105.55154,39.6179,"PIPO","Pinus ponderosa"
"22307",1969,"b5r1_19",0.33,-105.55154,39.6179,"PIPO","Pinus ponderosa"
"22308",1970,"b5r1_19",0.3,-105.55154,39.6179,"PIPO","Pinus ponderosa"
"22309",1971,"b5r1_19",0.38,-105.55154,39.6179,"PIPO","Pinus ponderosa"
"22310",1972,"b5r1_19",0.39,-105.55154,39.6179,"PIPO","Pinus ponderosa"
"22311",1973,"b5r1_19",0.33,-105.55154,39.6179,"PIPO","Pinus ponderosa"
"22312",1974,"b5r1_19",0.47,-105.55154,39.6179,"PIPO","Pinus ponderosa"
"22313",1975,"b5r1_19",0.38,-105.55154,39.6179,"PIPO","Pinus ponderosa"
"22314",1976,"b5r1_19",0.4,-105.55154,39.6179,"PIPO","Pinus ponderosa"
"22315",1977,"b5r1_19",0.49,-105.55154,39.6179,"PIPO","Pinus ponderosa"
"22316",1978,"b5r1_19",0.25,-105.55154,39.6179,"PIPO","Pinus ponderosa"
"22317",1979,"b5r1_19",0.29,-105.55154,39.6179,"PIPO","Pinus ponderosa"
"22318",1980,"b5r1_19",0.31,-105.55154,39.6179,"PIPO","Pinus ponderosa"
"22319",1981,"b5r1_19",0.25,-105.55154,39.6179,"PIPO","Pinus ponderosa"
"22320",1982,"b5r1_19",0.25,-105.55154,39.6179,"PIPO","Pinus ponderosa"
"22321",1983,"b5r1_19",0.32,-105.55154,39.6179,"PIPO","Pinus ponderosa"
"22322",1984,"b5r1_19",0.21,-105.55154,39.6179,"PIPO","Pinus ponderosa"
"22323",1985,"b5r1_19",0.3,-105.55154,39.6179,"PIPO","Pinus ponderosa"
"22324",1986,"b5r1_19",0.32,-105.55154,39.6179,"PIPO","Pinus ponderosa"
"22325",1987,"b5r1_19",0.29,-105.55154,39.6179,"PIPO","Pinus ponderosa"
"22326",1988,"b5r1_19",0.3,-105.55154,39.6179,"PIPO","Pinus ponderosa"
"22327",1989,"b5r1_19",0.27,-105.55154,39.6179,"PIPO","Pinus ponderosa"
"22328",1990,"b5r1_19",0.19,-105.55154,39.6179,"PIPO","Pinus ponderosa"
"22329",1991,"b5r1_19",0.26,-105.55154,39.6179,"PIPO","Pinus ponderosa"
"22330",1992,"b5r1_19",0.35,-105.55154,39.6179,"PIPO","Pinus ponderosa"
"22331",1993,"b5r1_19",0.41,-105.55154,39.6179,"PIPO","Pinus ponderosa"
"22332",1994,"b5r1_19",0.33,-105.55154,39.6179,"PIPO","Pinus ponderosa"
"22333",1995,"b5r1_19",0.35,-105.55154,39.6179,"PIPO","Pinus ponderosa"
"22334",1996,"b5r1_19",0.21,-105.55154,39.6179,"PIPO","Pinus ponderosa"
"22335",1997,"b5r1_19",0.24,-105.55154,39.6179,"PIPO","Pinus ponderosa"
"22336",1998,"b5r1_19",0.35,-105.55154,39.6179,"PIPO","Pinus ponderosa"
"22337",1999,"b5r1_19",0.3,-105.55154,39.6179,"PIPO","Pinus ponderosa"
"22338",2000,"b5r1_19",0.2,-105.55154,39.6179,"PIPO","Pinus ponderosa"
"22339",2001,"b5r1_19",0.25,-105.55154,39.6179,"PIPO","Pinus ponderosa"
"22340",2002,"b5r1_19",0.29,-105.55154,39.6179,"PIPO","Pinus ponderosa"
"22341",2003,"b5r1_19",0.04,-105.55154,39.6179,"PIPO","Pinus ponderosa"
"22342",2004,"b5r1_19",0.16,-105.55154,39.6179,"PIPO","Pinus ponderosa"
"22343",2005,"b5r1_19",0.48,-105.55154,39.6179,"PIPO","Pinus ponderosa"
"22344",2006,"b5r1_19",0.29,-105.55154,39.6179,"PIPO","Pinus ponderosa"
"22345",2007,"b5r1_19",0.35,-105.55154,39.6179,"PIPO","Pinus ponderosa"
"22346",2008,"b5r1_19",0.18,-105.55154,39.6179,"PIPO","Pinus ponderosa"
"22347",2009,"b5r1_19",0.3,-105.55154,39.6179,"PIPO","Pinus ponderosa"
"22348",2010,"b5r1_19",0.21,-105.55154,39.6179,"PIPO","Pinus ponderosa"
"22349",2011,"b5r1_19",0.24,-105.55154,39.6179,"PIPO","Pinus ponderosa"
"22350",2012,"b5r1_19",0.26,-105.55154,39.6179,"PIPO","Pinus ponderosa"
"22351",2013,"b5r1_19",0.29,-105.55154,39.6179,"PIPO","Pinus ponderosa"
"22352",2014,"b5r1_19",0.22,-105.55154,39.6179,"PIPO","Pinus ponderosa"
"22353",2015,"b5r1_19",0.37,-105.55154,39.6179,"PIPO","Pinus ponderosa"
"22354",1896,"b5r1_20",1,-105.55154,39.6179,"PIPO","Pinus ponderosa"
"22355",1897,"b5r1_20",1.15,-105.55154,39.6179,"PIPO","Pinus ponderosa"
"22356",1898,"b5r1_20",1.21,-105.55154,39.6179,"PIPO","Pinus ponderosa"
"22357",1899,"b5r1_20",0.98,-105.55154,39.6179,"PIPO","Pinus ponderosa"
"22358",1900,"b5r1_20",1.22,-105.55154,39.6179,"PIPO","Pinus ponderosa"
"22359",1901,"b5r1_20",0.97,-105.55154,39.6179,"PIPO","Pinus ponderosa"
"22360",1902,"b5r1_20",1.01,-105.55154,39.6179,"PIPO","Pinus ponderosa"
"22361",1903,"b5r1_20",1.23,-105.55154,39.6179,"PIPO","Pinus ponderosa"
"22362",1904,"b5r1_20",1.14,-105.55154,39.6179,"PIPO","Pinus ponderosa"
"22363",1905,"b5r1_20",1.11,-105.55154,39.6179,"PIPO","Pinus ponderosa"
"22364",1906,"b5r1_20",1.07,-105.55154,39.6179,"PIPO","Pinus ponderosa"
"22365",1907,"b5r1_20",1.42,-105.55154,39.6179,"PIPO","Pinus ponderosa"
"22366",1908,"b5r1_20",1.35,-105.55154,39.6179,"PIPO","Pinus ponderosa"
"22367",1909,"b5r1_20",1.15,-105.55154,39.6179,"PIPO","Pinus ponderosa"
"22368",1910,"b5r1_20",0.76,-105.55154,39.6179,"PIPO","Pinus ponderosa"
"22369",1911,"b5r1_20",1.46,-105.55154,39.6179,"PIPO","Pinus ponderosa"
"22370",1912,"b5r1_20",1.32,-105.55154,39.6179,"PIPO","Pinus ponderosa"
"22371",1913,"b5r1_20",1.16,-105.55154,39.6179,"PIPO","Pinus ponderosa"
"22372",1914,"b5r1_20",1.15,-105.55154,39.6179,"PIPO","Pinus ponderosa"
"22373",1915,"b5r1_20",1.16,-105.55154,39.6179,"PIPO","Pinus ponderosa"
"22374",1916,"b5r1_20",1.06,-105.55154,39.6179,"PIPO","Pinus ponderosa"
"22375",1917,"b5r1_20",0.64,-105.55154,39.6179,"PIPO","Pinus ponderosa"
"22376",1918,"b5r1_20",0.84,-105.55154,39.6179,"PIPO","Pinus ponderosa"
"22377",1919,"b5r1_20",0.94,-105.55154,39.6179,"PIPO","Pinus ponderosa"
"22378",1920,"b5r1_20",0.61,-105.55154,39.6179,"PIPO","Pinus ponderosa"
"22379",1921,"b5r1_20",0.77,-105.55154,39.6179,"PIPO","Pinus ponderosa"
"22380",1922,"b5r1_20",0.63,-105.55154,39.6179,"PIPO","Pinus ponderosa"
"22381",1923,"b5r1_20",0.9,-105.55154,39.6179,"PIPO","Pinus ponderosa"
"22382",1924,"b5r1_20",0.62,-105.55154,39.6179,"PIPO","Pinus ponderosa"
"22383",1925,"b5r1_20",0.45,-105.55154,39.6179,"PIPO","Pinus ponderosa"
"22384",1926,"b5r1_20",0.75,-105.55154,39.6179,"PIPO","Pinus ponderosa"
"22385",1927,"b5r1_20",0.71,-105.55154,39.6179,"PIPO","Pinus ponderosa"
"22386",1928,"b5r1_20",0.78,-105.55154,39.6179,"PIPO","Pinus ponderosa"
"22387",1929,"b5r1_20",0.45,-105.55154,39.6179,"PIPO","Pinus ponderosa"
"22388",1930,"b5r1_20",0.25,-105.55154,39.6179,"PIPO","Pinus ponderosa"
"22389",1931,"b5r1_20",0.55,-105.55154,39.6179,"PIPO","Pinus ponderosa"
"22390",1932,"b5r1_20",0.57,-105.55154,39.6179,"PIPO","Pinus ponderosa"
"22391",1933,"b5r1_20",0.52,-105.55154,39.6179,"PIPO","Pinus ponderosa"
"22392",1934,"b5r1_20",0.52,-105.55154,39.6179,"PIPO","Pinus ponderosa"
"22393",1935,"b5r1_20",0.58,-105.55154,39.6179,"PIPO","Pinus ponderosa"
"22394",1936,"b5r1_20",0.58,-105.55154,39.6179,"PIPO","Pinus ponderosa"
"22395",1937,"b5r1_20",0.63,-105.55154,39.6179,"PIPO","Pinus ponderosa"
"22396",1938,"b5r1_20",0.67,-105.55154,39.6179,"PIPO","Pinus ponderosa"
"22397",1939,"b5r1_20",0.42,-105.55154,39.6179,"PIPO","Pinus ponderosa"
"22398",1940,"b5r1_20",0.5,-105.55154,39.6179,"PIPO","Pinus ponderosa"
"22399",1941,"b5r1_20",0.59,-105.55154,39.6179,"PIPO","Pinus ponderosa"
"22400",1942,"b5r1_20",0.6,-105.55154,39.6179,"PIPO","Pinus ponderosa"
"22401",1943,"b5r1_20",0.61,-105.55154,39.6179,"PIPO","Pinus ponderosa"
"22402",1944,"b5r1_20",0.6,-105.55154,39.6179,"PIPO","Pinus ponderosa"
"22403",1945,"b5r1_20",0.58,-105.55154,39.6179,"PIPO","Pinus ponderosa"
"22404",1946,"b5r1_20",0.65,-105.55154,39.6179,"PIPO","Pinus ponderosa"
"22405",1947,"b5r1_20",0.64,-105.55154,39.6179,"PIPO","Pinus ponderosa"
"22406",1948,"b5r1_20",0.51,-105.55154,39.6179,"PIPO","Pinus ponderosa"
"22407",1949,"b5r1_20",0.7,-105.55154,39.6179,"PIPO","Pinus ponderosa"
"22408",1950,"b5r1_20",0.66,-105.55154,39.6179,"PIPO","Pinus ponderosa"
"22409",1951,"b5r1_20",0.69,-105.55154,39.6179,"PIPO","Pinus ponderosa"
"22410",1952,"b5r1_20",0.45,-105.55154,39.6179,"PIPO","Pinus ponderosa"
"22411",1953,"b5r1_20",0.6,-105.55154,39.6179,"PIPO","Pinus ponderosa"
"22412",1954,"b5r1_20",0.57,-105.55154,39.6179,"PIPO","Pinus ponderosa"
"22413",1955,"b5r1_20",0.47,-105.55154,39.6179,"PIPO","Pinus ponderosa"
"22414",1956,"b5r1_20",0.42,-105.55154,39.6179,"PIPO","Pinus ponderosa"
"22415",1957,"b5r1_20",0.51,-105.55154,39.6179,"PIPO","Pinus ponderosa"
"22416",1958,"b5r1_20",0.48,-105.55154,39.6179,"PIPO","Pinus ponderosa"
"22417",1959,"b5r1_20",0.42,-105.55154,39.6179,"PIPO","Pinus ponderosa"
"22418",1960,"b5r1_20",0.34,-105.55154,39.6179,"PIPO","Pinus ponderosa"
"22419",1961,"b5r1_20",0.39,-105.55154,39.6179,"PIPO","Pinus ponderosa"
"22420",1962,"b5r1_20",0.64,-105.55154,39.6179,"PIPO","Pinus ponderosa"
"22421",1963,"b5r1_20",0.24,-105.55154,39.6179,"PIPO","Pinus ponderosa"
"22422",1964,"b5r1_20",0.41,-105.55154,39.6179,"PIPO","Pinus ponderosa"
"22423",1965,"b5r1_20",0.38,-105.55154,39.6179,"PIPO","Pinus ponderosa"
"22424",1966,"b5r1_20",0.35,-105.55154,39.6179,"PIPO","Pinus ponderosa"
"22425",1967,"b5r1_20",0.43,-105.55154,39.6179,"PIPO","Pinus ponderosa"
"22426",1968,"b5r1_20",0.39,-105.55154,39.6179,"PIPO","Pinus ponderosa"
"22427",1969,"b5r1_20",0.5,-105.55154,39.6179,"PIPO","Pinus ponderosa"
"22428",1970,"b5r1_20",0.49,-105.55154,39.6179,"PIPO","Pinus ponderosa"
"22429",1971,"b5r1_20",0.39,-105.55154,39.6179,"PIPO","Pinus ponderosa"
"22430",1972,"b5r1_20",0.59,-105.55154,39.6179,"PIPO","Pinus ponderosa"
"22431",1973,"b5r1_20",0.51,-105.55154,39.6179,"PIPO","Pinus ponderosa"
"22432",1974,"b5r1_20",0.39,-105.55154,39.6179,"PIPO","Pinus ponderosa"
"22433",1975,"b5r1_20",0.54,-105.55154,39.6179,"PIPO","Pinus ponderosa"
"22434",1976,"b5r1_20",0.55,-105.55154,39.6179,"PIPO","Pinus ponderosa"
"22435",1977,"b5r1_20",0.51,-105.55154,39.6179,"PIPO","Pinus ponderosa"
"22436",1978,"b5r1_20",0.35,-105.55154,39.6179,"PIPO","Pinus ponderosa"
"22437",1979,"b5r1_20",0.43,-105.55154,39.6179,"PIPO","Pinus ponderosa"
"22438",1980,"b5r1_20",0.43,-105.55154,39.6179,"PIPO","Pinus ponderosa"
"22439",1981,"b5r1_20",0.54,-105.55154,39.6179,"PIPO","Pinus ponderosa"
"22440",1982,"b5r1_20",0.56,-105.55154,39.6179,"PIPO","Pinus ponderosa"
"22441",1983,"b5r1_20",0.68,-105.55154,39.6179,"PIPO","Pinus ponderosa"
"22442",1984,"b5r1_20",0.61,-105.55154,39.6179,"PIPO","Pinus ponderosa"
"22443",1985,"b5r1_20",0.51,-105.55154,39.6179,"PIPO","Pinus ponderosa"
"22444",1986,"b5r1_20",0.62,-105.55154,39.6179,"PIPO","Pinus ponderosa"
"22445",1987,"b5r1_20",0.6,-105.55154,39.6179,"PIPO","Pinus ponderosa"
"22446",1988,"b5r1_20",0.61,-105.55154,39.6179,"PIPO","Pinus ponderosa"
"22447",1989,"b5r1_20",0.54,-105.55154,39.6179,"PIPO","Pinus ponderosa"
