,jc-141,jc-132,jc-133,jc-179b,jc-180,jc-161,jc-129,jc-160,jc-131,jc-159,jc-180b,jc-179,jc-166,jc-182,jc-137,pr-938,pr-922,pr-970,pr-945,pr-947,pr-927,pr-949,pm-918a,pm-918b,pm-956a,pm-956b,pr-931,pr-953,pr-961,pr-925,pr-946,pr-969,pr-932,pr-941,pr-935,pr-946b,pr-950,pr-942,pr-964,pr-955,pr-923,pr-958,pr-944,pr-960,pr-939,pr-916,pr-959,pr-939b,pr-917,pr-966,pm-852,pm-891,pm-881,pm-906,pm-880b,pm-897b,pm-858,pm-837,pm-830,pm-899,pm-898,pm-884a,pm-884b,pm-842,pm-838a,pm-838b,pm-868,pm-887,pm-880a,pm-897,pm-840a,pm-840b,pm-827,pm-843,pm-892,pm-913,pm-905,pm-850,pm-903,pm-902,pm-886,pm-867,pm-825,pm-3,pm-822,pm-858b,pm-847,pm-856,pm-829,pm-831,pm-853b,pm-850b,pm-820,pm-914,pm-860,pm-912,pm-851,pm-846,pm-896,pm-885,mg-503,mg-520,mg-536,mg-516,mg-504,mg-486,mg-502,mg-534,mg-515,mg-520b,mg-498a,mg-509,mg-537,mg-525,mg-535,mg-517,mg-496,mg-527,mg-493a,mg-530b,mg-531,mg-521,mg-489,mg-512,mg-487,mg-493b,mg-495a,mg-529,mg-526,mg-524,mg-498b,mg-495b,mg-538,mg-527b,mg-508,mg-499b,mg-500,mg-484,mg-499,mg-522,mg-507,mg-488,mg-519,mg-p8,mg-p9
1940,2110,3430,3310,.,1840,3130,900,3620,2000,2520,.,1050,2830,3000,1290,2130,2710,1580,2580,1450,1170,1660,2000,1730,1730,1110,1760,910,1300,1830,1480,1580,2200,1980,930,1480,1100,940,820,1950,1860,1480,1430,2370,3270,1510,1840,5530,2920,3810,2460,1690,1640,1320,4730,2100,1930,.,1690,1390,1060,920,940,3550,1730,2980,2720,2570,4200,2630,2390,2640,2010,1000,1790,1670,2970,5210,2930,1300,3110,3350,1810,1820,1250,2280,2510,1960,1070,1460,2350,3010,2080,1850,3670,2670,4340,3290,2080,3660,1000,1730,2120,1790,2370,810,770,1750,1560,2230,1030,1590,2160,1400,2220,780,510,1810,1150,1200,2330,2620,890,1620,610,3550,1540,1350,1450,510,1600,1490,1420,1510,1960,820,1300,1900,840,1630,1570,840,710,1230,1350
1939,2970,3420,3360,.,1870,3090,.,2780,3400,.,.,1420,2530,3080,1690,2260,3890,1580,2590,1510,1580,2010,2100,1950,2070,1220,1950,880,1540,2450,1490,1420,2680,2080,1080,1640,1260,1180,920,2080,2100,1370,1350,2150,3140,2000,1720,5980,3440,3630,2300,1940,2080,1600,4110,2550,1820,.,1390,1360,1360,790,520,3330,2320,2830,2450,2440,4230,3000,2870,2950,2310,1190,2530,1480,2270,4580,3460,1200,3440,2770,2230,1590,1100,1900,3100,1800,1100,1120,3130,2670,1930,1650,4320,2880,3970,3120,1670,4500,1040,2010,2230,1720,2660,780,780,2130,1720,1980,1100,1690,2590,1700,2390,850,570,1710,1300,1340,2310,2490,1010,1950,510,3810,1620,1580,1520,360,1570,1490,1150,1630,2070,780,1040,1990,920,1550,1680,690,720,1220,1140
1938,2970,3540,4200,.,2750,2950,.,2710,4120,.,.,1940,1990,3690,2700,2260,4590,1330,3260,2170,1610,2660,2670,2570,2390,1180,2860,1010,1920,3440,2090,1670,3390,2520,1140,1960,1230,1070,1460,2980,2780,1590,1420,3240,4110,3000,2410,7300,4100,4420,2610,1190,2600,1570,3870,3120,1950,.,1560,1880,2230,1010,730,3370,3890,3420,3000,3310,3960,3790,3420,4480,2470,1450,3480,1820,2120,5000,4790,1410,4410,3760,2760,2130,770,2220,3700,1910,1430,1460,4190,3260,2560,1910,5950,2760,4630,3500,1630,6180,1340,2250,3130,1960,3100,810,830,2150,2000,2650,1340,2110,2330,1450,3430,950,390,2040,1870,1590,2940,2790,980,2870,570,4520,1880,1840,1860,590,1830,1850,1350,2110,2420,1070,1420,3250,960,1720,2050,900,860,1230,1180
1937,2680,2990,3990,.,2950,2820,.,2330,4250,.,.,1410,1390,4570,1800,2180,5010,1400,2990,1990,1790,2250,2370,2590,2280,1450,2750,950,1690,2810,1490,1650,3430,2170,1150,1750,1080,1070,720,3640,2370,2120,1690,3490,3800,3900,2190,5930,4520,4290,2470,1250,3000,1690,3890,4230,2190,.,1570,2090,3090,780,620,2990,3130,2940,2590,4630,4750,3910,3170,3140,2990,1380,4270,2040,3170,5400,7760,1510,5280,6080,3260,1760,910,2270,3340,1870,1320,1740,3800,3400,2880,2150,6180,3530,4860,3920,2470,5880,1170,2140,3270,2020,2760,730,840,2190,1920,3790,1390,1770,2480,1380,3260,990,480,2850,2040,1650,2910,3300,820,3380,640,4540,1840,1860,2540,580,1900,1550,1330,2880,2250,990,1310,2460,1020,2250,2160,980,870,1280,1220
1936,2480,3220,3910,.,2840,2260,.,2270,3700,.,.,.,1430,4380,1390,1690,3580,940,2230,1670,1430,1930,1820,2000,1950,1100,1930,800,1250,2190,1340,1300,2190,1670,970,1350,920,690,520,2660,2020,1500,1210,2940,2920,3110,1770,5030,4150,2690,1710,1190,2570,1250,3120,2940,1860,.,1640,1240,2470,370,330,2130,1490,1630,2170,3000,2890,3050,2540,2360,2550,1350,3360,1800,3870,2760,7040,1410,3990,4640,1860,1310,980,2000,2140,1620,1380,1310,2390,2110,2530,1570,3700,2840,3270,3240,2180,3210,1040,2000,2220,1840,2070,720,760,1870,1980,2690,990,1970,1580,1260,1620,800,420,2250,1440,1330,2460,1780,690,2900,490,3960,1720,1480,2420,490,1430,.,1250,2220,1570,930,1250,1600,840,1720,1570,610,700,1120,990
1935,3720,3380,4100,.,.,2240,.,2780,3520,.,.,.,1540,5190,1730,1700,3070,920,2480,1340,1630,1920,2210,2480,1920,1020,1830,570,1290,2550,1240,1070,2120,1930,850,1330,1020,550,470,2190,2390,1490,1030,2400,2850,2520,1540,4850,3700,3110,1700,740,1380,1020,2400,1780,1210,.,1170,810,1600,410,340,1630,1160,1090,1880,1520,2320,1940,2120,1400,1830,720,3760,1280,3210,1900,5230,940,2980,3130,1490,1430,560,1270,1370,940,1550,1080,1970,1230,1760,1210,2310,1960,2280,2340,1260,2080,1290,2040,3060,2120,2260,950,810,2550,1810,2890,1040,2620,1270,920,2490,720,210,2030,3290,1390,2890,2030,750,2320,750,5730,1760,1590,2370,510,1410,.,1000,2090,1900,850,1400,2030,650,1560,1740,650,780,1140,1040
1934,4530,3630,5270,.,.,2280,.,2200,4510,.,.,.,1450,4110,1630,1770,3060,1170,2750,1500,1710,1940,2170,2680,1700,930,2130,830,1280,2290,1180,1130,2140,1900,1060,1040,1180,660,630,2140,1890,1580,1110,2530,2650,2450,1420,4490,3680,3620,1750,810,1860,1600,2410,2230,2260,.,1670,1130,1750,430,320,2140,910,1430,2240,2760,2740,2630,2160,1270,1740,1110,3520,1470,2920,1400,4250,1120,3830,5250,1700,1620,760,2690,1380,1550,1540,1020,2060,1230,1910,1290,3750,2450,2290,2640,1520,2530,1230,2060,2310,1910,2000,1860,800,1380,1370,2620,1210,1650,1090,990,1600,820,520,2180,2340,1170,2730,2110,690,1600,950,.,.,1370,1970,370,1720,.,1160,2250,1350,770,1290,1920,630,1720,1380,670,610,1310,940
1933,3700,4040,4140,.,.,1540,.,.,4070,.,.,.,950,3060,1360,1390,2100,880,1990,1150,640,1260,1980,2510,1130,800,1790,590,1030,1560,820,940,2130,1290,900,860,580,410,460,2170,1190,1250,960,1980,2600,2240,1250,3120,2710,2180,1550,770,1380,1020,1580,1380,1600,.,1570,960,1740,500,440,2730,660,660,1330,1790,1740,1520,860,580,1230,840,2340,1160,2140,1270,3000,1110,2350,4030,1270,940,620,2170,1050,1270,920,960,1490,1120,1280,1080,3160,2220,1890,1750,1180,2190,1070,1730,1770,1770,2020,850,760,890,960,2230,1160,1380,690,880,980,790,580,1970,1790,1030,2370,1670,540,1620,700,.,.,1340,1420,470,1660,.,1080,1960,1330,580,1240,1540,570,1350,1570,660,450,1320,860
1932,4120,3960,4720,.,.,1940,.,.,3770,.,.,.,740,3140,1370,1480,2210,880,2020,1170,1180,1340,1970,1800,1280,850,1630,570,870,2010,1020,1030,1900,1710,1170,970,760,590,400,2130,1570,1530,940,1960,2530,1750,1710,3410,2670,1950,900,790,960,950,1340,1220,1780,.,1360,1430,1910,360,330,1990,600,730,1680,1250,1240,1070,870,650,1410,860,2680,1390,3160,1370,2720,1180,3510,3400,1280,1260,740,2090,600,1350,1000,1450,970,1440,1820,1530,3010,2450,1880,2070,1730,2900,1070,2040,1250,1690,2370,930,980,.,1320,2020,1150,940,630,1760,920,870,570,2150,1570,910,2190,1870,660,2070,1100,.,.,1380,1150,620,1840,.,880,2130,1740,660,1400,1470,580,1400,1600,640,600,1420,780
1931,2970,2540,.,.,.,1410,.,.,3160,.,.,.,590,3920,1130,1000,1670,920,1790,1370,1000,1230,2090,1610,1000,720,1660,550,930,1500,840,.,2180,1320,810,810,500,500,380,1960,1500,1550,920,1710,2100,1790,1750,3270,3040,1610,900,680,670,760,1060,1370,1650,.,1350,1230,1780,330,270,1830,610,550,1160,900,930,1030,570,900,1520,750,2950,1410,2760,900,2990,1190,3600,3310,1170,1140,770,2020,620,1230,860,1470,580,1040,1900,1240,2570,2240,1860,2140,1980,2410,990,1780,1050,1720,2060,900,940,.,1020,1590,990,650,360,1550,310,870,450,2000,1320,630,1700,1680,680,1830,1100,.,.,1180,690,510,1500,.,980,1860,1430,670,1230,1390,680,1320,1570,720,540,1490,790
1930,2230,2230,.,.,.,1530,.,.,2420,.,.,.,890,3130,850,1130,2060,940,2200,1330,1140,1170,2220,2080,1190,820,1320,590,830,1250,980,.,1690,1540,910,860,340,710,350,1980,1420,1320,900,1600,2130,1720,1400,2810,2810,1920,1000,740,720,860,1120,1580,1620,.,1500,1130,1800,360,260,1480,730,620,1420,930,940,1250,610,1190,1890,620,.,1550,2820,1170,2510,1180,4260,2840,1390,1080,820,1680,630,1380,850,1260,500,1520,1620,1610,2890,2520,2140,1990,1770,2050,820,1950,1470,1560,2030,850,670,.,1370,1590,1070,910,640,1810,370,760,300,1700,1150,660,2090,1590,510,1840,930,.,.,1060,820,530,1400,.,800,1620,1580,590,1140,1560,570,1360,1550,650,520,1290,700
1929,2760,.,.,.,.,1990,.,.,3240,.,.,.,740,3390,1080,1190,3000,880,2330,1710,1240,1690,2270,2400,1420,870,1640,480,810,1460,1000,.,2260,1860,1130,900,570,670,450,2250,1640,1310,840,1880,2340,1900,1490,2890,3320,2610,1100,970,820,1110,1170,1560,1890,.,2030,1610,2850,360,280,1500,630,680,1580,1620,900,1410,550,1600,2260,710,.,1990,2750,1270,3290,1210,4490,3120,1630,1620,840,1800,790,1210,1070,1540,840,1770,1810,2860,2870,2700,2200,2420,1910,2500,770,2350,1690,1390,2040,1210,670,.,1480,2370,920,960,720,1810,.,830,310,1850,1630,650,2400,1860,530,2350,1070,.,.,1320,1640,420,1460,.,890,1850,1620,550,1190,2110,670,1410,1510,780,700,1100,780
1928,2840,.,.,.,.,2230,.,.,3990,.,.,.,840,3520,1550,1380,2620,840,2510,1640,1350,1810,2290,2240,1560,1060,2120,530,1040,1480,1540,.,2960,1870,1430,1520,670,770,540,2310,2090,1530,840,2200,2220,1950,1700,3020,3760,1940,1150,910,940,1280,1290,1630,2270,.,2770,1450,3100,430,380,2110,820,850,1120,2300,1000,1470,590,1300,2380,820,.,1990,2420,1770,3200,1330,4690,3090,1870,2240,800,2300,830,1310,1120,1410,990,1830,1830,2600,3510,2500,1760,2620,1980,3220,880,2380,1640,1720,2740,1380,860,.,1570,2300,1220,1150,820,2180,.,870,360,1680,1540,680,2260,2170,880,2350,1060,.,.,1550,1550,650,1680,.,1010,1730,1980,640,1210,2190,630,1510,1830,670,990,1090,990
1927,2640,.,.,.,.,1860,.,.,3790,.,.,.,830,2560,980,840,2130,630,2750,1100,1500,1790,1350,1650,1120,770,1860,450,930,1900,1240,.,2360,1570,1010,1210,720,540,680,1800,1770,1270,790,1520,1550,1650,1280,2650,2450,1800,1210,870,890,1270,970,1730,2160,.,2190,1040,2160,370,320,1650,490,820,1080,2280,830,1670,740,1080,1770,960,.,1960,1900,1140,3050,1280,4070,2690,1620,1620,680,1910,760,890,900,1210,720,1270,1980,1970,3570,2190,1570,2350,2190,2250,860,1920,1090,1400,2730,1310,710,.,1320,1960,1200,550,800,1890,.,670,310,1570,1650,630,2300,3030,880,1880,1010,.,.,1530,1180,470,1670,.,1050,2080,1660,630,1010,1970,610,1740,1330,940,810,990,590
1926,1720,.,.,.,.,1190,.,.,2410,.,.,.,470,1570,1060,840,1480,730,1640,760,1130,840,730,1160,1210,730,1310,470,790,1000,730,.,1650,1250,800,890,370,450,390,1490,1120,1270,760,1220,1110,1590,1000,2520,2170,1630,860,670,870,960,930,1330,1850,.,1770,880,1430,290,260,1040,350,540,1070,1590,950,1320,500,750,1870,990,.,1410,2110,1280,2040,1130,3400,2630,1130,800,560,2140,630,1060,850,1170,460,1210,1710,1120,3630,1820,1530,2560,1730,1840,810,1680,560,980,2210,810,600,.,900,1530,990,370,610,1310,.,650,190,1220,870,390,1700,2000,750,1480,650,.,.,990,780,470,1400,.,810,1510,1350,720,980,1410,710,1390,1360,510,510,1020,670
1925,2260,.,.,.,.,950,.,.,1600,.,.,.,500,1600,920,1020,990,750,1500,1080,.,790,780,990,1330,790,1470,490,670,550,830,.,1550,1140,860,810,670,560,400,1800,1150,1490,1090,1410,1690,1830,1060,3110,2330,1720,740,950,530,860,1410,1250,1960,.,1620,1150,1610,330,250,1070,470,450,1040,870,.,1120,780,420,2200,610,.,1310,3830,1810,3120,1150,2590,2380,1220,990,720,1990,710,1410,910,960,390,1180,2070,1320,3980,1940,2040,2290,2420,2570,840,2030,340,1510,2180,980,820,.,1190,1920,1020,370,810,1370,.,820,200,1460,970,450,1530,2000,870,1990,900,.,.,990,650,820,1800,.,740,1860,1520,620,1140,1750,650,1610,1960,770,580,1300,670
1924,2410,.,.,.,.,1450,.,.,2380,.,.,.,680,2710,1440,1330,1350,1090,2120,1560,.,1440,1100,1380,2200,1110,1820,900,870,560,1360,.,2360,.,1030,1360,950,950,620,2610,2130,1780,1330,2170,2170,2360,1470,.,3580,1810,1040,1150,1030,1300,1650,1740,2930,.,2610,1240,2620,420,300,1300,370,500,1410,1740,.,2320,1180,700,2590,820,.,1300,5130,2550,4380,1430,3480,3820,1630,1420,1090,2880,820,1540,1150,1350,510,1600,2560,1940,4460,2280,2250,2370,3470,4080,1030,2320,890,2000,3070,1730,1050,.,1490,2520,1210,580,1000,1890,.,1150,280,1620,2660,620,2300,3020,1230,2300,1250,.,.,1280,1220,1110,1960,.,940,1960,1970,680,1570,2180,690,2010,2210,1090,1100,1350,990
1923,2860,.,.,.,.,1690,.,.,2840,.,.,.,890,2330,1150,1900,1970,920,1870,1440,.,2200,1250,1290,2460,1070,1730,880,1090,1000,1500,.,1990,.,1080,1270,1240,1190,810,2470,2240,1530,1110,2180,2320,2110,1660,.,3670,1940,770,1090,1340,1650,1920,1840,2980,.,2710,1780,2650,390,260,1350,380,430,1310,1310,.,2150,1860,1170,1830,1030,.,1870,4270,2140,3400,1430,2710,3650,1300,1280,950,2620,570,1190,1290,1400,760,1360,1980,1860,4170,2030,2660,2250,2560,3960,1010,2800,600,2110,2960,2110,990,.,1590,2860,1160,680,1180,1900,.,910,220,1690,3110,870,2700,3050,1040,2710,1400,.,.,1620,1410,880,2030,.,960,1980,2200,760,1380,2410,780,1950,2030,1400,1130,1510,970
1922,3160,.,.,.,.,1970,.,.,2030,.,.,.,730,2100,1060,1420,1510,790,1860,1380,.,2050,1010,1250,2140,1590,1920,690,1110,460,1290,.,1970,.,900,1560,970,1010,640,2410,2590,1430,1110,2420,2050,2370,1710,.,3500,1830,640,1280,1650,970,2060,1070,3030,.,2970,1890,2380,380,250,1360,390,310,1250,1150,.,1330,2330,1290,1920,730,.,1380,3330,2100,3040,2140,3450,3910,1810,1250,1100,2660,360,1300,1090,2050,680,1510,2420,2070,4760,3880,2410,1890,2250,3550,960,2760,410,1960,2920,1270,950,.,1840,2470,1230,370,1220,1490,.,1010,240,2020,2640,400,2170,2660,850,2630,960,.,.,1270,940,910,2030,.,1050,1910,1820,620,1460,1930,630,2020,2030,1140,850,1360,840
1921,2060,.,.,.,.,1470,.,.,1500,.,.,.,610,2730,760,1220,1620,840,2040,1380,.,1550,1090,1270,1670,1240,1660,680,1100,720,1260,.,1880,.,900,1320,960,1230,700,2160,2360,1350,1150,2340,1820,2660,1540,.,3480,2050,720,1310,2180,870,1830,1050,3240,.,2940,1980,3620,410,260,1370,450,360,1540,1340,.,1530,1980,2180,1710,800,.,1350,2650,2000,3140,2160,5260,3950,2430,690,1080,2850,420,1470,970,1840,1020,1280,1920,2320,5070,3640,2000,1870,1980,3910,900,2460,510,1860,2520,980,990,.,1980,2980,890,340,1440,1430,.,920,200,1870,3440,370,1970,2070,730,2290,690,.,.,1050,650,840,1530,.,1090,1830,1630,740,1350,1670,660,2270,2210,1150,660,1410,760
1920,1770,.,.,.,.,1320,.,.,1280,.,.,.,620,2020,680,1080,1110,810,1480,1520,.,1050,830,1090,1300,1000,1490,650,1050,780,1130,.,1730,.,940,1130,1060,1500,640,1740,1420,1340,1170,1670,1260,1780,1410,.,2750,1640,720,1460,1980,600,2140,1060,2240,.,2160,1850,2830,490,270,1090,390,390,910,1440,.,1560,1220,1460,1260,610,.,1390,1640,1950,2730,1430,4700,3040,1580,810,890,2470,470,1070,800,1310,1180,1430,1650,1770,4170,3140,1540,1860,1460,2260,1000,2070,500,1500,2130,930,810,.,1670,1790,1020,360,1020,1310,.,910,200,1190,3150,440,1610,1860,940,1730,870,.,.,740,480,770,1610,.,1050,1270,1630,870,1570,1990,760,1530,1720,1080,490,1230,700
1919,2510,.,.,.,.,1510,.,.,1120,.,.,.,770,3340,710,1590,1110,790,2060,2120,.,1470,900,1020,1590,1200,1770,710,1220,720,1240,.,2200,.,1210,1040,1060,1950,550,1810,1830,1610,1000,1980,1720,2020,1840,.,3710,1390,860,1600,2190,910,2090,1430,2010,.,2210,2750,2750,340,240,1060,.,430,1100,2030,.,1430,2500,740,1660,560,.,1110,1760,1970,2690,1540,3920,2020,2240,1350,900,2350,740,1030,780,1600,1200,1360,1870,2310,4260,3550,1810,2230,1800,2830,1190,2290,.,1670,2240,740,840,.,1850,1480,950,330,1390,1520,.,850,210,1000,3470,520,880,1620,880,2400,830,.,.,550,330,720,1720,.,1100,900,1770,650,1090,2360,690,1710,1880,1380,850,1350,760
1918,1610,.,.,.,.,1280,.,.,1210,.,.,.,550,3450,740,1450,900,960,1350,1840,.,1410,640,830,1630,1490,1630,710,1290,630,1320,.,1980,.,1190,1040,910,1330,510,1850,1560,1590,1180,1860,1860,2210,1530,.,3010,910,710,1400,2150,900,1770,1240,1970,.,2370,1600,2470,410,420,910,.,400,830,1580,.,1220,4750,540,1610,340,.,1110,1850,1610,2600,1560,3890,2650,2690,1310,960,1940,810,1240,950,1910,1010,1280,1980,2040,4040,4050,1340,2100,1660,2130,1350,1870,.,1660,2610,850,790,.,1930,1360,860,410,1050,1350,.,860,300,1020,2860,450,1360,1370,870,1870,710,.,.,860,500,790,1440,.,850,1020,1630,720,1280,2140,660,1300,1740,1050,790,1070,670
1917,1890,.,.,.,.,1960,.,.,1470,.,.,.,770,3780,950,1520,1000,880,1140,1470,.,1220,650,890,1750,1580,1690,610,1350,480,1200,.,2100,.,1250,1120,1100,990,400,1860,1220,1530,1250,1830,1910,1920,1700,.,3230,740,640,1070,1770,840,.,1160,1700,.,2200,1280,2200,380,320,750,.,300,.,1930,.,1060,610,440,1700,360,.,1340,1670,1640,2420,1580,2690,1950,2600,1420,910,1890,740,1270,770,1410,840,1430,2090,1560,3250,3060,1220,2220,1170,2390,1550,2140,.,1590,2280,900,790,.,1700,1960,850,590,1230,1110,.,1010,290,1250,2330,680,1950,1790,820,1450,560,.,.,1190,1070,620,1490,.,1070,1360,1560,660,1100,1740,630,1240,2020,860,820,950,700
1916,2540,.,.,.,.,1200,.,.,1740,.,.,.,890,4630,900,1290,610,860,890,1540,.,990,690,740,1670,1750,1470,560,1350,540,1170,.,1750,.,970,930,1170,670,350,1800,1290,1490,1130,2010,1890,1830,1980,.,3280,520,650,920,1990,710,.,820,1830,.,2150,1080,1040,420,300,420,.,380,.,1190,.,890,760,450,1810,.,.,1690,2050,1570,1790,1740,2730,2210,2910,1520,1040,1660,740,1120,570,1300,800,1310,1770,1980,1770,3570,1660,1890,1230,2890,1200,1720,.,1820,2350,700,790,.,2220,1900,1160,560,1040,1350,.,1030,300,980,2410,640,1940,1860,910,1740,730,.,.,1240,1120,750,1780,.,740,1160,1720,590,1240,1980,630,1490,2150,1030,1070,730,630
1915,1930,.,.,.,.,1600,.,.,2070,.,.,.,1090,3930,1070,1650,570,980,1030,1390,.,860,690,1130,1720,1580,1350,560,1110,400,1250,.,1670,.,1030,960,1130,380,390,2090,1120,1500,1530,2430,.,1860,1780,.,2780,820,560,1080,1610,500,.,790,1940,.,2480,1510,740,440,380,440,.,360,.,680,.,730,1960,1390,2150,.,.,1600,2710,1850,1620,1870,2510,3590,3100,1440,1140,1590,1100,1300,740,1480,510,1860,1720,1540,940,4060,1680,2020,1490,3450,1200,1920,.,2030,2500,990,870,.,3200,1670,1060,460,1360,1470,.,1060,320,1110,1620,590,1870,1860,970,2200,820,.,.,1440,670,930,1730,.,830,1180,1900,620,1420,2230,680,1780,2380,1330,980,1110,810
1914,1880,.,.,.,.,910,.,.,1560,.,.,.,940,2300,800,990,410,740,650,650,.,410,470,490,1210,810,990,600,940,300,820,.,1670,.,850,770,520,230,310,1370,860,1210,990,1700,.,1470,1160,.,1620,530,480,800,1520,460,.,530,1520,.,1820,1210,420,400,320,410,.,370,.,590,.,490,.,350,1560,.,.,1280,2500,1610,1520,1420,1990,1960,2350,1180,980,1400,900,910,630,1230,490,1400,1460,1140,760,3540,1230,1780,1100,2000,1030,1610,.,1300,1650,690,820,.,2160,1090,840,420,650,1130,.,790,310,840,1860,480,1500,1550,810,1420,710,.,.,1040,490,620,1380,.,730,1030,1440,650,1050,1560,620,1550,1380,720,820,770,550
1913,.,.,.,.,.,910,.,.,1740,.,.,.,650,3870,1130,1160,330,830,850,750,.,440,440,580,1240,790,930,580,1130,320,1050,.,2300,.,980,870,490,310,380,1520,1190,1320,1000,1700,.,1450,1380,.,1370,500,390,770,1830,460,.,570,1680,.,2640,1600,420,380,290,380,.,420,.,820,.,530,.,260,1890,.,.,1030,3160,1940,2530,1630,2970,2490,2430,1160,1190,1580,1080,890,690,1540,580,1420,1770,1380,920,4030,1880,1870,1330,3360,820,1660,.,1460,1860,740,570,.,1970,1190,780,440,840,1210,.,740,270,1020,2360,490,1760,2210,850,1180,710,.,.,1220,720,560,1400,.,800,1070,1420,530,1020,1700,530,1600,1170,830,1210,860,480
1912,.,.,.,.,.,1140,.,.,1930,.,.,.,1140,5080,1360,1640,290,1100,970,940,.,600,650,630,1370,1130,1160,830,1510,530,1260,.,1520,.,1080,1040,670,290,380,1550,1730,1600,1310,2390,.,1750,1690,.,1790,640,440,1020,2340,410,.,780,1810,.,3010,2450,600,450,440,400,.,470,.,1300,.,690,.,250,2150,.,.,1740,3860,1700,2510,2030,3820,2840,3840,1980,1200,1530,1750,990,870,1890,620,1760,1690,1610,1110,4840,2220,1690,1440,4440,1020,2250,.,1620,2510,990,910,.,2620,1650,930,510,870,1190,.,890,300,1410,2540,510,2090,2520,1070,1790,1070,.,.,1730,860,910,1670,.,710,1340,1770,470,1310,2070,630,2130,1630,1470,1940,1030,760
1911,.,.,.,.,.,780,.,.,1530,.,.,.,940,2720,1140,870,190,770,680,550,.,270,440,460,1190,850,940,470,710,270,750,.,1420,.,760,740,370,230,300,1230,950,1020,850,1250,.,1470,1140,.,1130,310,380,740,1110,430,.,510,1380,.,1890,1290,480,400,320,390,.,380,.,680,.,550,.,240,1490,.,.,1760,2920,1090,1260,1850,2890,2040,1980,1220,960,1290,1300,950,590,1240,400,1390,1490,1000,680,3540,1360,1110,1500,3690,1200,1910,.,1460,1830,680,950,.,1680,1460,780,640,650,1080,.,840,280,1100,1640,520,1500,2330,750,1650,1000,.,.,1490,500,720,1390,.,840,1010,1620,740,1330,1340,490,1980,1420,890,1740,1030,570
1910,.,.,.,.,.,910,.,.,1860,.,.,.,1290,4290,1520,1510,330,890,830,830,.,380,580,670,1530,1130,940,500,1180,390,1280,.,1460,.,1060,1120,560,360,350,1990,1710,1320,1370,1750,.,1560,1360,.,1680,350,400,1030,2160,420,.,760,1880,.,2220,1690,620,410,420,560,.,450,.,850,.,670,.,290,2370,.,.,1610,3660,1440,1400,2180,3590,3160,2870,1850,1040,1410,2140,870,680,1710,380,1920,1720,1860,940,3170,1520,1520,1280,4710,1120,2680,.,1890,1870,1050,870,.,2170,2590,690,1070,1350,1160,.,770,290,1290,1720,870,2260,2540,1020,2300,1140,.,.,1620,690,810,1380,.,820,1430,1830,550,1360,2190,480,2080,1590,1010,2120,910,620
1909,.,.,.,.,.,1000,.,.,1620,.,.,.,1420,4810,1220,1800,320,880,920,950,.,700,700,720,1260,1420,1050,760,1220,340,1250,.,1570,.,1080,980,800,510,380,1640,2140,1220,1550,2280,.,2170,1280,.,1610,450,360,1050,2540,430,.,890,1710,.,2450,1670,670,450,400,530,.,520,.,790,.,690,.,370,2020,.,.,1170,3330,2030,1810,2220,4020,2710,2790,1620,1070,1670,2330,840,810,2070,360,1880,1750,1880,920,3310,1200,1400,1790,5130,1250,1980,.,1770,1920,1090,810,.,2030,3030,860,1240,1110,1060,.,930,360,1590,.,830,1850,2720,1000,1590,1010,.,.,1920,870,910,1830,.,1060,1670,1780,500,1630,1820,690,2840,1620,1160,2610,1140,550
1908,.,.,.,.,.,790,.,.,1340,.,.,.,1510,4560,970,1560,390,830,1000,1040,.,980,560,780,1190,1590,1160,700,1350,380,1040,.,1530,.,890,870,820,690,480,1660,1960,1060,1590,1890,.,1730,1260,.,1210,610,510,1230,2380,540,.,910,1830,.,2600,1700,920,450,390,710,.,790,.,1380,.,640,.,570,2380,.,.,1040,3010,1920,2160,2380,4210,3740,2340,1540,1260,1830,2380,810,690,2950,450,1940,1900,2170,1210,3380,1220,1110,1750,6090,830,1810,.,1360,1540,940,870,.,1910,2520,730,1260,1030,870,.,760,390,1210,.,1030,2060,2530,760,1490,920,.,.,1520,580,820,1340,.,990,1160,1420,590,1460,1500,620,2430,1340,1530,2440,1190,420
1907,.,.,.,.,.,1130,.,.,1100,.,.,.,1860,4820,1020,1420,400,750,1180,1220,.,990,540,740,1460,1330,1150,880,1490,430,1420,.,1800,.,950,920,950,610,410,1780,1660,1150,1660,1580,.,1710,1400,.,1390,550,640,1060,2360,470,.,990,1640,.,2690,1830,1180,520,460,1110,.,860,.,1200,.,820,.,840,1840,.,.,960,2590,1340,2170,2710,3710,4260,1690,1610,1570,1880,1840,1080,840,3020,370,1490,1600,1890,1150,2690,1140,1130,2140,4630,990,2030,.,1450,1760,1120,780,.,2280,2180,640,1010,1020,1150,.,1000,390,960,.,820,1800,2500,700,1860,850,.,.,1490,1100,1200,1350,.,1080,930,1350,620,1680,1510,630,2310,1410,1240,1990,1090,490
