,dc-239,dc-313,dc-312a,dc-226,dc-293,dc-290,dc-310,dc-316,dc-239a,dc-268,dc-267,dc-233,dc-204,dc-234,dc-230,dc-240,dc-258,dc-232,dc-196b,dc-265,dc-321,dc-311,dc-259b,dc-203,dc-322,ds-547,ds-466,ds-553,ds-376,ds-375,ds-554a,ds-464,ds-472,ds-554,ds-5,ds-585,ds-4,rk-080a,rk-026,rk-031b,rk-099b,rk-099a,rk-035b,rk-004,rk-031,rk-025,rk-098b,NN-4,NN-10,NN-12,HCL-6,HCL-7,CC-10,CC-18,CB-2,CC-9
1808,.,.,.,890,.,.,.,.,.,.,660,.,.,720,.,.,.,.,.,.,.,.,.,.,1330,.,1070,.,1040,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,560,.,.,.,.,.,.,.,.,.
1807,.,.,.,1030,.,.,.,.,.,.,650,.,.,930,.,.,.,.,.,.,.,.,.,.,1260,.,870,.,1120,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,630,.,.,.,.,.,.,.,.,.
1806,.,.,.,750,.,.,.,.,.,.,740,.,.,850,.,.,.,.,.,.,.,.,.,.,1280,.,1080,.,1410,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,640,.,.,.,.,.,.,.,.,.
1805,.,.,.,1040,.,.,.,.,.,.,1240,.,.,780,.,.,.,.,.,.,.,.,.,.,1350,.,1250,.,1500,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,590,.,.,.,.,.,.,.,.,.
1804,.,.,.,1080,.,.,.,.,.,.,1340,.,.,890,.,.,.,.,.,.,.,.,.,.,1430,.,1120,.,1350,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,870,.,.,.,.,.,.,.,.,.
1803,.,.,.,1040,.,.,.,.,.,.,1150,.,.,930,.,.,.,.,.,.,.,.,.,.,1290,.,1060,.,1450,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,690,.,.,.,.,.,.,.,.,.
1802,.,.,.,880,.,.,.,.,.,.,1050,.,.,750,.,.,.,.,.,.,.,.,.,.,1180,.,1130,.,1410,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,660,.,.,.,.,.,.,.,.,.
1801,.,.,.,520,.,.,.,.,.,.,810,.,.,690,.,.,.,.,.,.,.,.,.,.,1120,.,900,.,1040,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,500,.,.,.,.,.,.,.,.,.
1800,.,.,.,570,.,.,.,.,.,.,950,.,.,770,.,.,.,.,.,.,.,.,.,.,1140,.,850,.,860,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,570,.,.,.,.,.,.,.,.,.
1799,.,.,.,550,.,.,.,.,.,.,850,.,.,860,.,.,.,.,.,.,.,.,.,.,1140,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1798,.,.,.,650,.,.,.,.,.,.,960,.,.,780,.,.,.,.,.,.,.,.,.,.,1230,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1797,.,.,.,650,.,.,.,.,.,.,1070,.,.,820,.,.,.,.,.,.,.,.,.,.,1200,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1796,.,.,.,690,.,.,.,.,.,.,1420,.,.,790,.,.,.,.,.,.,.,.,.,.,1290,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1795,.,.,.,600,.,.,.,.,.,.,1570,.,.,810,.,.,.,.,.,.,.,.,.,.,1270,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1794,.,.,.,770,.,.,.,.,.,.,1350,.,.,910,.,.,.,.,.,.,.,.,.,.,1390,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1793,.,.,.,810,.,.,.,.,.,.,1660,.,.,930,.,.,.,.,.,.,.,.,.,.,1480,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1792,.,.,.,530,.,.,.,.,.,.,980,.,.,850,.,.,.,.,.,.,.,.,.,.,1110,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1791,.,.,.,540,.,.,.,.,.,.,910,.,.,1180,.,.,.,.,.,.,.,.,.,.,1290,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1790,.,.,.,650,.,.,.,.,.,.,970,.,.,1180,.,.,.,.,.,.,.,.,.,.,1320,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1789,.,.,.,490,.,.,.,.,.,.,740,.,.,1250,.,.,.,.,.,.,.,.,.,.,1150,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1788,.,.,.,780,.,.,.,.,.,.,770,.,.,980,.,.,.,.,.,.,.,.,.,.,1050,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1787,.,.,.,590,.,.,.,.,.,.,820,.,.,980,.,.,.,.,.,.,.,.,.,.,1250,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1786,.,.,.,650,.,.,.,.,.,.,910,.,.,950,.,.,.,.,.,.,.,.,.,.,1490,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1785,.,.,.,610,.,.,.,.,.,.,870,.,.,850,.,.,.,.,.,.,.,.,.,.,1420,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1784,.,.,.,800,.,.,.,.,.,.,740,.,.,790,.,.,.,.,.,.,.,.,.,.,1420,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1783,.,.,.,1100,.,.,.,.,.,.,1270,.,.,1380,.,.,.,.,.,.,.,.,.,.,1720,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1782,.,.,.,1090,.,.,.,.,.,.,1130,.,.,1080,.,.,.,.,.,.,.,.,.,.,1920,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1781,.,.,.,1100,.,.,.,.,.,.,1150,.,.,1110,.,.,.,.,.,.,.,.,.,.,1790,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1780,.,.,.,920,.,.,.,.,.,.,1190,.,.,1060,.,.,.,.,.,.,.,.,.,.,1980,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1779,.,.,.,950,.,.,.,.,.,.,1490,.,.,1080,.,.,.,.,.,.,.,.,.,.,2010,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1778,.,.,.,810,.,.,.,.,.,.,1070,.,.,1140,.,.,.,.,.,.,.,.,.,.,1660,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1777,.,.,.,1030,.,.,.,.,.,.,1470,.,.,1120,.,.,.,.,.,.,.,.,.,.,2020,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1776,.,.,.,1160,.,.,.,.,.,.,1650,.,.,1530,.,.,.,.,.,.,.,.,.,.,2190,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1775,.,.,.,1030,.,.,.,.,.,.,1030,.,.,1010,.,.,.,.,.,.,.,.,.,.,1730,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1774,.,.,.,820,.,.,.,.,.,.,1010,.,.,720,.,.,.,.,.,.,.,.,.,.,1140,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1773,.,.,.,1050,.,.,.,.,.,.,1410,.,.,850,.,.,.,.,.,.,.,.,.,.,1700,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1772,.,.,.,820,.,.,.,.,.,.,1410,.,.,870,.,.,.,.,.,.,.,.,.,.,1670,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1771,.,.,.,920,.,.,.,.,.,.,1230,.,.,780,.,.,.,.,.,.,.,.,.,.,1510,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1770,.,.,.,860,.,.,.,.,.,.,1190,.,.,810,.,.,.,.,.,.,.,.,.,.,1550,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1769,.,.,.,1310,.,.,.,.,.,.,1460,.,.,920,.,.,.,.,.,.,.,.,.,.,2610,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1768,.,.,.,1310,.,.,.,.,.,.,1570,.,.,1110,.,.,.,.,.,.,.,.,.,.,1970,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1767,.,.,.,1020,.,.,.,.,.,.,1820,.,.,730,.,.,.,.,.,.,.,.,.,.,2420,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1766,.,.,.,1130,.,.,.,.,.,.,1380,.,.,810,.,.,.,.,.,.,.,.,.,.,2420,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1765,.,.,.,1000,.,.,.,.,.,.,.,.,.,750,.,.,.,.,.,.,.,.,.,.,2700,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1764,.,.,.,820,.,.,.,.,.,.,.,.,.,830,.,.,.,.,.,.,.,.,.,.,2670,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1763,.,.,.,750,.,.,.,.,.,.,.,.,.,710,.,.,.,.,.,.,.,.,.,.,2180,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1762,.,.,.,850,.,.,.,.,.,.,.,.,.,660,.,.,.,.,.,.,.,.,.,.,2580,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1761,.,.,.,980,.,.,.,.,.,.,.,.,.,790,.,.,.,.,.,.,.,.,.,.,3190,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1760,.,.,.,1000,.,.,.,.,.,.,.,.,.,740,.,.,.,.,.,.,.,.,.,.,2600,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1759,.,.,.,750,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2190,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1758,.,.,.,970,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2660,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1757,.,.,.,720,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2350,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1756,.,.,.,780,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2930,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1755,.,.,.,560,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2230,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1754,.,.,.,780,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2860,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1753,.,.,.,620,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2560,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1752,.,.,.,610,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2310,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1751,.,.,.,690,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2260,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1750,.,.,.,790,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2700,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1749,.,.,.,510,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2300,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1748,.,.,.,930,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2690,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1747,.,.,.,960,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2590,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1746,.,.,.,840,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2740,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1745,.,.,.,830,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2750,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1744,.,.,.,970,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2700,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1743,.,.,.,580,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2030,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1742,.,.,.,850,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2600,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1741,.,.,.,730,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2650,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1740,.,.,.,850,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2560,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1739,.,.,.,940,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,3110,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1738,.,.,.,700,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2200,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1737,.,.,.,820,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2770,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1736,.,.,.,1000,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,3160,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1735,.,.,.,1080,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2500,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1734,.,.,.,1400,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2850,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1733,.,.,.,2000,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,3130,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1732,.,.,.,1470,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2680,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1731,.,.,.,1020,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1960,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1730,.,.,.,1080,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1940,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1729,.,.,.,1360,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2420,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1728,.,.,.,2020,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,3650,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1727,.,.,.,1630,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,3240,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1726,.,.,.,1790,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2670,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1725,.,.,.,1930,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2510,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1724,.,.,.,2100,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2380,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1723,.,.,.,2060,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2090,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1722,.,.,.,1500,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2660,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1721,.,.,.,1580,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2450,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1720,.,.,.,1050,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1780,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1719,.,.,.,1130,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2400,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1718,.,.,.,1070,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2160,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1717,.,.,.,1400,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2520,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1716,.,.,.,1360,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2320,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1715,.,.,.,860,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1780,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1714,.,.,.,1110,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2350,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1713,.,.,.,1390,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2620,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1712,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,3500,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1711,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,3500,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1710,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,3230,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1709,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,3660,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1708,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2650,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1707,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2060,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1706,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1780,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1705,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1910,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1704,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1720,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1703,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1140,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1702,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1640,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1701,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1800,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1700,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1560,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1699,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1470,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1698,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1400,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1697,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1300,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1696,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1130,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1695,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1010,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1694,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1920,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
