"","years","Tag","Ring_width(mm)"
"661",1872,"MC302807",NA
"662",1872,"MC302810",NA
"663",1872,"MC302813",NA
"664",1872,"MC302819",NA
"665",1872,"MC302820",NA
"666",1872,"MC302825",NA
"667",1872,"MC302827",NA
"668",1872,"MC302829",NA
"669",1872,"MC302831",NA
"670",1872,"MC302833",NA
"671",1872,"MC302834",NA
"672",1872,"MC302835",NA
"673",1873,"JB118309",NA
"674",1873,"JB118312",NA
"675",1873,"JB118313",NA
"676",1873,"JB118316",NA
"677",1873,"JB118317",NA
"678",1873,"JB118318",NA
"679",1873,"JB118320",NA
"680",1873,"JB118322",NA
"681",1873,"JB118323",0.475
"682",1873,"JB118324",NA
"683",1873,"JB118326",NA
"684",1873,"JB118327",NA
"685",1873,"JB118332",NA
"686",1873,"JB118336",NA
"687",1873,"JB130804",NA
"688",1873,"JB130807",NA
"689",1873,"JB130808",NA
"690",1873,"JB130810",NA
"691",1873,"JB130813",NA
"692",1873,"JB130814",NA
"693",1873,"JB130815",NA
"694",1873,"JB130816",NA
"695",1873,"JB130817",NA
"696",1873,"JB130819",NA
"697",1873,"JB130821",NA
"698",1873,"JB130827",NA
"699",1873,"MC195302",NA
"700",1873,"MC195303",NA
"701",1873,"MC195304",NA
"702",1873,"MC195306",NA
"703",1873,"MC195307",NA
"704",1873,"MC195313",NA
"705",1873,"MC195314",NA
"706",1873,"MC195318",NA
"707",1873,"MC195319",NA
"708",1873,"MC195325",NA
"709",1873,"MC195329",NA
"710",1873,"MC216001",NA
"711",1873,"MC216002",NA
"712",1873,"MC216003",NA
"713",1873,"MC216004",NA
"714",1873,"MC216005",NA
"715",1873,"MC216010",NA
"716",1873,"MC216012",NA
"717",1873,"MC216014",NA
"718",1873,"MC216018",NA
"719",1873,"MC216020",NA
"720",1873,"MC216022",NA
"721",1873,"MC216026",NA
"722",1873,"MC216027",NA
"723",1873,"MC216029",NA
"724",1873,"MC216030",NA
"725",1873,"MC216039",NA
"726",1873,"MC231201",NA
"727",1873,"MC231203",NA
"728",1873,"MC231204",NA
"729",1873,"MC231205",NA
"730",1873,"MC231206",NA
"731",1873,"MC231207",NA
"732",1873,"MC231209",NA
"733",1873,"MC231211",NA
"734",1873,"MC231212",NA
"735",1873,"MC231213",NA
"736",1873,"MC231216",NA
"737",1873,"MC231217",NA
"738",1873,"MC231219",NA
"739",1873,"MC231221",NA
"740",1873,"MC231225",NA
"741",1873,"MC231226",NA
"742",1873,"MC231227",NA
"743",1873,"MC231232",NA
"744",1873,"MC231234",NA
"745",1873,"MC255807",NA
"746",1873,"MC255808",NA
"747",1873,"MC255809",NA
"748",1873,"MC255811",NA
"749",1873,"MC255814",NA
"750",1873,"MC255815",NA
"751",1873,"MC255817",NA
"752",1873,"MC255824",NA
"753",1873,"MC255825",NA
"754",1873,"MC255826",NA
"755",1873,"MC255827",NA
"756",1873,"MC255828",NA
"757",1873,"MC255830",NA
"758",1873,"MC255831",1.189
"759",1873,"MC255833",NA
"760",1873,"MC300001",NA
"761",1873,"MC300017",NA
"762",1873,"MC300018",NA
"763",1873,"MC300022",NA
"764",1873,"MC300023",NA
"765",1873,"MC300024",NA
"766",1873,"MC300026",NA
"767",1873,"MC300027",NA
"768",1873,"MC300028",NA
"769",1873,"MC300032",NA
"770",1873,"MC300033",NA
"771",1873,"MC302801",NA
"772",1873,"MC302803",NA
"773",1873,"MC302807",NA
"774",1873,"MC302810",NA
"775",1873,"MC302813",NA
"776",1873,"MC302819",NA
"777",1873,"MC302820",NA
"778",1873,"MC302825",NA
"779",1873,"MC302827",NA
"780",1873,"MC302829",NA
"781",1873,"MC302831",NA
"782",1873,"MC302833",NA
"783",1873,"MC302834",NA
"784",1873,"MC302835",NA
"785",1874,"JB118309",NA
"786",1874,"JB118312",NA
"787",1874,"JB118313",NA
"788",1874,"JB118316",NA
"789",1874,"JB118317",NA
"790",1874,"JB118318",NA
"791",1874,"JB118320",NA
"792",1874,"JB118322",NA
"793",1874,"JB118323",0.42
"794",1874,"JB118324",NA
"795",1874,"JB118326",NA
"796",1874,"JB118327",NA
"797",1874,"JB118332",NA
"798",1874,"JB118336",NA
"799",1874,"JB130804",NA
"800",1874,"JB130807",NA
"801",1874,"JB130808",NA
"802",1874,"JB130810",NA
"803",1874,"JB130813",NA
"804",1874,"JB130814",NA
"805",1874,"JB130815",NA
"806",1874,"JB130816",NA
"807",1874,"JB130817",NA
"808",1874,"JB130819",NA
"809",1874,"JB130821",NA
"810",1874,"JB130827",NA
"811",1874,"MC195302",NA
"812",1874,"MC195303",NA
"813",1874,"MC195304",NA
"814",1874,"MC195306",NA
"815",1874,"MC195307",NA
"816",1874,"MC195313",NA
"817",1874,"MC195314",NA
"818",1874,"MC195318",NA
"819",1874,"MC195319",NA
"820",1874,"MC195325",NA
"821",1874,"MC195329",NA
"822",1874,"MC216001",NA
"823",1874,"MC216002",NA
"824",1874,"MC216003",NA
"825",1874,"MC216004",NA
"826",1874,"MC216005",NA
"827",1874,"MC216010",NA
"828",1874,"MC216012",NA
"829",1874,"MC216014",NA
"830",1874,"MC216018",NA
"831",1874,"MC216020",NA
"832",1874,"MC216022",NA
"833",1874,"MC216026",NA
"834",1874,"MC216027",NA
"835",1874,"MC216029",NA
"836",1874,"MC216030",NA
"837",1874,"MC216039",NA
"838",1874,"MC231201",NA
"839",1874,"MC231203",NA
"840",1874,"MC231204",NA
"841",1874,"MC231205",NA
"842",1874,"MC231206",NA
"843",1874,"MC231207",NA
"844",1874,"MC231209",NA
"845",1874,"MC231211",NA
"846",1874,"MC231212",NA
"847",1874,"MC231213",NA
"848",1874,"MC231216",NA
"849",1874,"MC231217",NA
"850",1874,"MC231219",NA
"851",1874,"MC231221",NA
"852",1874,"MC231225",NA
"853",1874,"MC231226",NA
"854",1874,"MC231227",NA
"855",1874,"MC231232",NA
"856",1874,"MC231234",NA
"857",1874,"MC255807",NA
"858",1874,"MC255808",NA
"859",1874,"MC255809",NA
"860",1874,"MC255811",NA
"861",1874,"MC255814",NA
"862",1874,"MC255815",NA
"863",1874,"MC255817",NA
"864",1874,"MC255824",NA
"865",1874,"MC255825",NA
"866",1874,"MC255826",NA
"867",1874,"MC255827",NA
"868",1874,"MC255828",NA
"869",1874,"MC255830",NA
"870",1874,"MC255831",1.112
"871",1874,"MC255833",NA
"872",1874,"MC300001",NA
"873",1874,"MC300017",NA
"874",1874,"MC300018",NA
"875",1874,"MC300022",NA
"876",1874,"MC300023",NA
"877",1874,"MC300024",NA
"878",1874,"MC300026",NA
"879",1874,"MC300027",NA
"880",1874,"MC300028",NA
"881",1874,"MC300032",NA
"882",1874,"MC300033",NA
"883",1874,"MC302801",NA
"884",1874,"MC302803",NA
"885",1874,"MC302807",NA
"886",1874,"MC302810",NA
"887",1874,"MC302813",NA
"888",1874,"MC302819",NA
"889",1874,"MC302820",NA
"890",1874,"MC302825",NA
"891",1874,"MC302827",NA
"892",1874,"MC302829",NA
"893",1874,"MC302831",NA
"894",1874,"MC302833",NA
"895",1874,"MC302834",NA
"896",1874,"MC302835",NA
"897",1875,"JB118309",NA
"898",1875,"JB118312",NA
"899",1875,"JB118313",NA
