"","Transect","Species","Elev","Tree","Tag","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004","2003","2002","2001","2000","1999","1998","1997","1996","1995","1994","1993","1992","1991","1990","1989","1988","1987","1986","1985","1984","1983","1982","1981","1980","1979","1978","1977","1976","1975","1974","1973","1972","1971","1970","1969","1968","1967","1966","1965","1964","1963","1962","1961","1960","1959","1958","1957","1956","1955","1954","1953","1952","1951","1950","1949","1948","1947","1946","1945","1944","1943","1942","1941","1940","1939","1938","1937","1936","1935","1934","1933","1932","1931","1930","1929","1928","1927","1926","1925","1924","1923","1922","1921","1920","1919","1918","1917","1916","1915","1914","1913","1912","1911","1910","1909","1908","1907","1906","1905","1904","1903","1902","1901","1900","1899","1898","1897","1896","1895","1894","1893","1892","1891","1890","1889","1888","1887","1886","1885"
"25","MT","ABLA","L","9C","ABLA-L-9C",0.385,0.374,0.7665,1.155,1.4255,1.163,1.3805,1.6025,1.728,1.508,1.6705,1.195,1.142,1.312,1.021,1.349,1.1055,1.512,1.714,2.417,1.591,1.5135,0.905,1.0105,0.497,0.756,0.5975,0.6295,0.6655,0.729,0.6125,0.6225,0.6805,0.469,0.602,0.57,0.385,0.364,0.5165,0.5265,0.725,0.713,0.799,0.8975,1.023,0.9125,0.82,0.9875,1.218,1.0575,1.5395,0.926,0.978,1.291,1.249,1.1095,1.075,1.175,1.1385,1.213,1.0475,1.0415,1.486,1.2545,1.4255,1.402,1.328,1.3505,1.0935,1.2315,1.489,1.4055,1.4325,1.024,1.021,1.377,1.197,1.089,1.442,1.2065,1.2295,0.7555,0.7415,1.1005,0.848,0.7655,0.6875,0.419,1.1335,0.809,0.7985,0.787,0.919,0.919,0.946,0.683,0.9045,1.155,0.8175,1.1695,1.487,1.378,0.6825,1.4215,1.5815,1.4995,0.8445,0.7785,1.2655,1.4795,1.5355,1.4195,1.032,1.071,0.767,1.261,0.932,0.883,1.323,0.214,0.445,0.366,0.498,0.391,0.996,0.907,NA,NA,NA
"26","MT","ABLA","L","9N","ABLA-L-9N",0.556,0.982,0.922,1.216,1.379,1.409,1.86,1.809,2.524,2.3935,2.1155,1.4355,1.458,1.5635,1.415,1.2455,1.3395,1.304,1.0795,1.104,1.01,0.951,0.8415,1.038,0.5655,0.58,0.5475,0.495,0.7815,0.8685,0.9245,0.7955,0.988,0.813,1.1365,1.0745,0.892,0.922,1.014,1.0165,1.154,1.2065,1.185,1.0455,1.212,1.1305,1.0925,1.332,1.673,1.4405,1.641,1.586,1.1965,1.3575,1.391,1.1575,1.4275,1.166,1.609,1.32,1.4875,1.1615,2.315,1.481,2.1015,1.571,1.7745,1.537,1.5315,1.3555,2.343,2.1015,2.2465,1.549,2.329,1.777,1.604,1.589,1.116,1.201,1.133,1.055,1.031,1.142,1.037,1.455,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","MT","ABLA","M","10C","ABLA-M-10C",0.4745,0.6125,0.582,0.529,0.5925,0.4445,0.4755,0.497,0.497,0.4435,0.5165,0.5065,0.5495,0.645,0.486,0.528,0.517,0.6745,0.591,0.852,0.6005,0.6535,0.5805,0.5905,0.432,0.559,0.653,0.5455,0.4915,0.5545,0.627,0.576,0.6185,0.546,0.5785,0.569,0.5385,0.656,0.5075,0.4655,0.5705,0.529,0.603,0.6025,0.7295,0.602,0.7185,1.127,1.266,1.064,1.0845,0.7485,0.717,0.9495,0.982,0.98,0.9985,0.9035,1.207,1.0415,1.029,1.2545,1.585,1.3565,1.1845,1.1395,1.02,1.0195,0.9795,1.0205,1.3545,1.1705,1.085,0.972,0.9875,1.005,0.8145,0.905,0.793,0.78,0.709,0.6105,0.6985,0.7085,0.731,0.815,0.5725,0.6055,0.902,0.6625,0.6205,0.6,0.737,0.654,0.633,0.528,0.685,0.7265,0.6415,0.809,0.8525,0.746,0.515,0.7045,0.778,0.798,0.536,0.619,0.649,0.7195,0.649,0.671,0.773,0.936,0.5895,0.575,0.5545,0.4405,0.419,0.3185,0.3365,0.559,0.6235,0.447,0.6035,0.6025,0.368,0.4885,0.6555
"28","MT","ABLA","M","10N","ABLA-M-10N",0.787,1.0485,1.1015,1.055,1.3085,0.9815,1.001,0.9915,0.799,0.7475,0.7455,0.736,0.87,0.617,0.6155,0.749,0.553,0.8615,0.8875,1.194,0.8985,1.1285,0.949,1.0275,1.14,0.8525,0.955,0.9935,0.8015,0.854,0.6545,0.76,0.914,1.068,0.9415,1.057,0.7675,0.9115,0.786,0.535,0.756,0.673,0.79,0.8075,0.942,0.6385,0.6395,0.975,1.1175,0.901,1.1265,0.799,0.7705,0.8995,0.9225,1.0145,1.0065,0.7935,1.1195,0.998,0.7485,1.1395,1.486,1.136,0.725,0.811,0.6545,0.613,0.682,0.658,1.0335,0.938,1.036,0.7715,0.6005,0.995,0.83,0.807,0.523,0.6625,0.568,0.6795,0.9095,0.9215,0.9315,0.799,0.7455,0.8065,0.4715,1.0135,0.768,0.9175,0.787,0.9905,1.0315,0.49,1.0315,1.06,0.5255,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","MT","ABLA","M","11C","ABLA-M-11C",0.6955,1.0475,1.2975,1.1575,1.3095,0.9075,0.9615,1.025,0.94,0.8235,1.014,0.771,1.0555,1.289,0.9285,1.37,1.0225,1.5715,1.2005,1.8705,1.4125,1.5175,1.197,1.626,1.516,1.4605,1.626,1.0875,0.9735,1.0685,1.204,1.091,1.659,1.5,1.3975,1.3795,1.173,1.4595,0.941,1.0345,1.494,1.2285,1.483,1.3875,1.6495,1.1555,1.188,1.81,1.7325,1.3555,1.64,1.178,1.1485,1.1775,1.2865,1.188,1.341,1.1195,1.3465,0.992,0.8765,1.233,1.4345,1.1055,1.251,1.2085,1.082,1.013,0.9495,1.1955,1.528,1.365,1.1015,1.112,1.0215,0.746,1.011,1.029,0.84,1.051,0.779,0.903,1.009,1.2,1.179,1.305,0.462,0.945,0.735,1.155,0.925,1.095,0.732,0.896,1.063,0.878,0.497,0.591,0.957,0.978,0.628,0.887,0.62,0.831,0.537,0.679,0.728,1.401,0.909,0.313,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","MT","ABLA","M","11N","ABLA-M-11N",0.9095,1.078,1.4215,1.3065,1.1495,1.012,1.18,1.3365,1.3055,0.851,1.278,0.891,1.0085,1.249,1.133,1.08,1.015,1.457,1.2135,1.556,1.242,1.409,1.242,1.4465,0.471,1.745,1.5695,1.166,1.043,1.2815,1.0945,0.8545,0.9615,0.9505,1.0445,1.0135,0.844,0.9605,0.7185,0.75,0.9295,0.6335,0.6325,0.8725,1.0285,0.7895,0.9075,1.076,1.055,0.833,0.757,0.631,0.6525,0.769,0.8445,0.833,0.7465,0.666,0.8955,0.7935,0.6105,0.8475,0.95,0.7385,0.7915,0.9495,0.5915,0.5705,0.6345,0.74,0.9735,0.7085,0.717,0.633,0.601,0.6635,0.6315,0.6055,0.5505,0.5065,0.4545,0.465,0.4545,0.537,0.6795,0.8685,0.6285,0.6375,0.6395,0.669,0.493,0.511,0.5185,0.511,0.8235,0.8605,0.8505,0.897,0.844,0.998,1.054,0.649,0.362,0.5005,0.48,0.562,0.451,0.425,0.424,0.422,0.333,0.428,0.447,0.485,0.194,0.233,0.27,0.214,0.446,0.31,0.514,0.495,0.754,0.519,0.47,0.701,0.564,0.857,0.549
"31","MT","ABLA","M","12C","ABLA-M-12C",0.75,1.0655,1.205,1.003,1.057,0.7825,0.889,1.005,1.0365,0.984,1.0785,0.867,0.9735,1.1845,1.0885,1.1405,1.0025,1.309,1.089,1.141,0.8675,0.9205,0.8145,1.14,0.707,1.0335,0.843,0.9035,0.894,0.9895,1.007,0.884,1.277,1.034,0.946,1.187,1.0275,1.2375,0.8055,1.036,1.166,1.1125,1.1305,1.1975,1.435,1.188,1.2505,1.6405,1.432,1.1305,1.467,0.9895,1.096,1.382,1.5195,1.678,1.754,1.59,2.0035,1.526,1.7355,2.384,2.4395,2.657,2.911,3.231,2.44,2.317,2.467,2.335,2.894,3.393,2.748,2.269,3.157,3.564,3.449,3.147,3.078,3.134,2.417,3.067,2.945,2.852,2.892,3.643,3.261,2.239,3.718,2.807,2.931,2.44,2.629,2.44,2.048,2.222,1.735,2.55,3.671,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","MT","ABLA","M","12N","ABLA-M-12N",0.8435,1.6375,1.61,1.18,1.1945,0.6645,1.037,1.462,1.3795,1.017,1.276,1.1895,1.343,1.418,1.561,1.7705,1.6225,2.255,1.9495,1.804,1.15,1.3995,1.143,1.243,0.7115,1.1075,1.1795,0.8755,0.7795,1.0065,1.129,1.1335,1.217,1.1625,1.126,1.186,0.931,1.3025,0.878,0.9575,0.9985,0.8655,0.8725,1.0715,1.088,0.9015,0.915,1.4625,1.477,1.2695,1.2625,0.9395,1.073,1.2015,1.4085,1.574,1.575,1.5355,1.9545,1.4065,1.481,2.01,2.235,1.987,2.309,2.4865,2.1735,2.024,2.058,2.324,2.718,2.5915,2.451,1.978,2.475,2.8465,2.0705,2.7435,3.0875,3.2775,2.414,2.2645,2.5255,2.521,2.6095,2.8395,2.1735,2.421,1.899,2.735,3.5755,2.392,3.525,2.484,3.729,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","MT","ABLA","M","1C","ABLA-M-1C",0.59,0.6925,0.9295,0.8825,0.8365,0.666,0.7925,0.7865,0.7815,0.7145,0.8495,0.7175,0.809,0.8545,0.842,0.7875,0.779,1.185,0.9005,1.0695,0.9965,1.1125,0.9295,1.1875,0.908,1.0885,0.92,0.866,0.79,0.9055,0.895,0.917,1.17,0.876,1.076,0.9865,0.9335,1.008,0.8725,0.882,0.944,0.839,0.7365,1.055,0.9115,0.7615,0.97,1.3975,1.1805,1.0925,1.351,0.974,0.9425,1.1425,1.435,1.2665,1.2965,1.3605,1.6535,1.343,1.4435,1.521,2.007,1.837,1.4465,1.721,1.5355,1.5795,1.496,1.5525,1.923,1.8335,1.448,1.287,1.5655,1.548,1.534,1.8895,1.692,1.6645,1.305,1.365,1.5775,1.305,1.4985,1.4625,1.677,2.5925,0.812,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","MT","ABLA","M","1N","ABLA-M-1N",1.074,1.281,1.257,1.107,1.261,0.8455,1.079,1.0895,1.1735,0.9315,1.2775,0.941,1.131,1.2795,1.005,1.301,0.92,1.3145,1.221,1.3425,1.1615,1.311,1.0975,1.468,1.3885,1.32,1.246,0.6865,0.5705,0.9185,0.9405,0.7645,1.117,0.9305,0.7725,0.751,0.5825,0.698,0.4505,0.392,0.3855,0.412,0.5555,0.785,0.772,0.717,0.7615,1.194,1.1415,1.193,1.181,0.782,0.9195,1.035,1.0105,1.233,1.1135,0.997,1.3965,1.204,1.113,1.459,1.721,1.3335,1.0435,1.196,1.1925,1.2325,1.467,1.4105,1.5505,1.239,1.5725,1.443,1.4065,1.498,1.1105,1.413,1.2335,1.4835,1.4055,1.0585,1.0715,0.674,1.0965,1.697,1.13,1.182,1.094,1.445,2.2005,1.2565,0.86,0.608,0.726,0.334,0.589,0.752,1.241,1.265,1.468,0.843,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","MT","ABLA","M","2C","ABLA-M-2C",0.411,0.398,0.5645,0.5065,0.6485,0.541,0.5645,0.505,0.4945,0.367,0.537,0.531,0.542,0.5025,0.522,0.579,0.605,0.814,0.6085,0.5925,0.567,0.6115,0.6275,0.8625,0.8185,0.689,0.8455,0.702,0.654,0.7505,0.7695,0.849,0.719,0.736,0.809,0.8255,0.6665,0.7705,0.5265,0.546,0.692,0.6205,0.592,0.717,0.774,0.581,0.7,0.98,1.0735,0.942,0.9195,0.6605,0.6215,0.682,1.171,1.22,0.9445,1.13,1.392,1.1565,1.0335,1.361,1.728,1.4445,1.479,1.452,1.512,1.459,1.4975,1.3975,1.8555,2.225,2.08,1.645,1.984,2.0425,1.4075,1.9925,1.8055,1.051,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","MT","ABLA","M","2N","ABLA-M-2N",0.4385,0.5065,0.539,0.618,0.733,0.5415,0.607,0.7655,0.63,0.5805,0.6465,0.5735,0.651,0.645,0.6685,0.8735,0.661,0.861,0.724,0.9335,0.837,0.804,0.8125,0.8795,0.878,0.7295,0.8005,0.5365,0.5345,0.564,0.6485,0.721,0.691,0.805,0.864,0.941,0.772,0.8055,0.532,0.5925,0.8045,0.677,0.822,0.946,1.0675,0.914,0.8855,1.4275,1.3785,1.1675,1.513,0.8285,0.8735,1.116,1.168,1.2535,0.9395,1.195,1.252,1.267,1.078,1.57,2.0995,1.758,1.52,1.5035,1.4035,1.6435,1.6575,1.591,1.7115,2.52,1.978,2.394,1.386,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","MT","ABLA","M","3C","ABLA-M-3C",0.111,0.1495,0.219,0.1765,0.211,0.194,0.244,0.2645,0.2465,0.231,0.2565,0.2505,0.236,0.299,0.26,0.265,0.237,0.315,0.2555,0.267,0.246,0.2285,0.2095,0.2215,0.0845,0.1885,0.234,0.206,0.156,0.204,0.203,0.246,0.314,0.3075,0.3435,0.3065,0.2555,0.2975,0.287,0.2555,0.323,0.313,0.2915,0.4325,0.4035,0.3935,0.3315,0.4585,0.463,0.416,0.3385,0.2965,0.3805,0.471,0.5645,0.507,0.5015,0.4075,0.611,0.455,0.583,0.7495,0.8235,0.3765,0.3955,0.5395,0.4645,0.544,0.487,0.5175,0.5535,0.3555,0.379,0.4165,0.3385,0.405,0.3735,0.3945,0.384,0.3165,0.353,0.2965,0.3065,0.391,0.3715,0.397,0.5045,0.575,0.389,0.5545,0.5595,0.6225,0.797,0.6025,0.7235,0.6505,0.604,0.6435,0.484,0.5625,0.589,0.549,0.588,0.647,0.5255,0.625,0.401,0.362,0.4115,0.545,0.523,0.6295,0.813,0.7875,0.3125,0.5475,0.4535,0.4535,0.4635,0.328,0.392,0.353,0.4965,0.417,0.4455,0.443,0.444,0.5205,0.6555
"38","MT","ABLA","M","3N","ABLA-M-3N",0.483,0.388,0.659,0.824,0.635,0.4755,0.745,0.9795,1.008,0.849,0.9105,0.8495,0.9605,0.9885,0.947,1.0555,0.9385,1.0405,0.9985,1.0075,1.0795,1.078,0.939,0.9865,1.3705,1.0205,1.13,0.8875,0.792,0.9385,1.1305,1.089,1.174,1.111,1.1,1.289,0.8745,1.0395,0.7625,0.732,1.0355,1.136,1.223,1.177,1.1365,0.9665,0.9505,1.592,1.597,1.222,1.5655,1.131,1.1715,1.3565,1.5785,1.804,1.54,1.4555,1.544,1.291,1.187,1.4975,1.7875,1.643,1.8425,1.8425,1.176,1.209,1.8185,1.572,1.6365,2.348,1.874,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","MT","ABLA","M","4C","ABLA-M-4C",0.4595,0.6485,0.755,0.6875,0.946,0.677,0.7845,0.9,1.011,0.7835,0.9045,0.8035,1.124,1.2555,1.275,1.7015,1.3285,1.5975,1.314,1.9795,1.4525,1.3665,1.105,1.518,0.8795,1.34,1.484,1.054,0.882,1.066,1.4775,1.244,1.7555,1.633,1.52,1.614,1.369,1.4425,1.049,1.052,1.238,1.1195,1.1395,1.248,1.4785,1.2295,1.3255,2.18,2.3085,1.497,1.8155,1.208,1.3095,1.571,1.774,1.7205,1.8185,1.8665,1.9915,1.6965,1.7355,1.828,2.247,2.0705,1.855,1.749,1.8805,1.8105,1.8585,1.972,2.1335,2.1335,1.6535,1.639,2.5525,2.291,1.975,2.169,1.887,2.113,1.481,1.89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","MT","ABLA","M","4N","ABLA-M-4N",0.2335,0.2325,0.3405,0.2875,0.4195,0.3175,0.3795,0.3675,0.315,0.2835,0.2835,0.283,0.294,0.3265,0.3185,0.386,0.379,0.4555,0.59,0.57,0.475,0.5115,0.4545,0.5035,0.378,0.4985,0.503,0.457,0.395,0.426,0.5205,0.549,0.6505,0.699,0.6825,0.6205,0.564,0.606,0.47,0.418,0.561,0.5185,0.601,0.6135,0.651,0.5545,0.348,0.803,0.8745,0.782,1.046,0.8855,0.9625,1.006,1.102,1.0985,1.1295,1.192,1.402,1.2085,1.161,1.382,1.708,1.449,1.3015,1.371,1.5015,1.6665,1.675,1.8715,2.1445,2.6385,2.413,2.162,2.3945,2.4545,2.4295,2.1135,2.5385,2.3425,1.8415,1.6525,1.858,1.9475,2.0615,2.922,1.3785,2.175,1.46,2.56,2.517,1.968,1.926,1.472,1.77,2.561,1.531,1.249,1.574,2.102,3.242,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","MT","ABLA","M","5C","ABLA-M-5C",0.866,1.4875,1.3965,1.26,1.556,1.0125,1.2075,1.545,1.567,1.0145,1.328,1.1565,1.337,1.317,1.286,1.745,1.29,1.609,1.7955,2.001,1.565,1.82,1.5745,2.317,1.9345,1.4405,1.862,1.346,0.9345,1.1965,1.5505,1.3465,2.033,1.9935,1.923,2.258,2.212,1.697,1.0215,0.958,1.185,0.9205,1.0385,1.2565,1.1685,0.729,0.813,2.4075,0.734,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","MT","ABLA","M","5N","ABLA-M-5N",1.1595,1.5505,1.6815,1.822,1.9325,1.3635,1.428,1.583,1.6135,1.1205,1.132,0.8985,1.63,2.136,2.0955,2.025,1.4745,1.6745,1.7745,2.517,2.126,2.414,2.038,2.337,2.378,2.235,2.4665,1.743,1.364,1.763,2.317,1.598,2.3315,1.8735,1.3695,1.4025,2.191,1.986,1.1085,0.5615,1.47,1.5405,0.826,0.686,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","MT","ABLA","M","6C","ABLA-M-6C",0.6105,0.9855,1.157,1.344,1.3785,0.944,1.048,1.0835,1.2455,0.822,1.134,0.9005,1.0535,1.242,1.0445,1.338,1.0545,1.286,1.11,1.252,0.987,1.0385,1.0335,1.383,1.3595,1.032,1.1675,1.0985,0.8605,0.9125,1.0055,0.8895,1.5215,1.2005,1.03,1.244,1.0065,1.239,0.767,0.7585,1.0125,1.011,1.042,1.2015,1.211,0.919,0.944,1.346,1.361,0.987,1.5325,1.0655,0.939,1.1315,1.0965,1.494,1.2465,1.0885,1.2555,0.881,0.9625,1.2425,1.2865,0.8615,1.028,0.99,0.9405,1.0675,1.335,1.1875,1.235,1.8195,1.3795,0.9505,0.713,0.717,0.825,1.2385,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","MT","ABLA","M","6N","ABLA-M-6N",0.331,0.564,0.814,0.532,0.532,0.351,0.444,0.866,0.893,0.758,0.773,0.696,0.863,1.091,0.694,0.452,0.349,0.468,0.439,0.823,0.598,0.374,0.477,0.565,0.557,0.66,0.701,0.495,0.638,0.826,0.794,0.994,0.939,0.698,0.784,1.159,0.618,0.744,0.714,0.777,1.068,1.05,1.181,1.078,0.88,0.727,0.822,1.4015,1.61,1.2385,1.522,1.114,0.888,1.489,1.2795,1.3295,1.4885,1.378,1.4705,1.275,1.161,1.6105,1.7075,1.5035,1.5355,1.726,1.3435,1.361,1.5075,1.2305,1.889,1.6565,1.4475,1.2585,1.2015,1.56,1.1825,1.4015,1.145,0.8085,0.755,1.0775,0.8765,1.061,1.1345,0.796,0.3795,0.989,0.3235,1.232,1.139,0.608,0.755,0.8155,1.067,0.497,0.7,0.385,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","MT","ABLA","M","7C","ABLA-M-7C",0.3385,0.37,0.495,0.447,0.633,0.393,0.4865,0.645,0.5715,0.358,0.518,0.4775,0.5395,0.656,0.5925,0.656,0.6345,0.887,0.728,0.866,0.6115,0.58,0.602,0.7595,0.632,0.7905,0.832,0.779,0.589,0.763,0.8585,0.7595,1.067,0.7825,1.121,0.9615,0.7715,0.769,0.6005,0.6,0.6735,0.7055,0.7695,0.8835,0.8635,0.7115,0.7425,1.083,1.253,1,1.053,0.706,0.844,1.097,1.108,1.1265,1.215,0.9945,1.308,1.051,1.1785,0.955,1.255,1.2145,1.187,1.4025,1.3325,1.425,1.69,1.472,1.8525,1.941,1.5915,1.5605,1.416,1.604,1.295,1.813,1.3905,1.3495,1.2465,1.0865,1.2935,1.2405,1.0585,0.913,0.7935,0.4945,0.907,0.56,0.832,0.843,0.756,0.9625,1.051,0.9095,0.673,0.5325,0.941,0.9,0.4695,0.507,0.614,0.698,0.676,0.695,0.336,0.504,0.57,0.634,0.571,0.507,0.444,0.677,0.381,0.487,0.529,0.571,0.465,0.4,0.378,0.336,0.356,0.334,0.351,0.537,0.493,0.49,0.593
"46","MT","ABLA","M","7N","ABLA-M-7N",0.7495,1.1635,1.1295,1.0855,1.411,1.083,1.2625,1.3075,1.2755,1.1655,1.271,1.279,1.5425,1.6015,1.283,1.3415,1.1315,1.4535,1.281,1.355,1.1215,1.3955,1.294,1.2915,1.1855,1.0815,1.237,1.439,1.1085,1.222,1.436,1.1965,1.118,1.1005,1.1735,1.4475,1.025,1.077,0.8175,0.722,0.826,0.8475,0.8595,1.0185,1.171,0.928,0.8965,1.64,1.661,1.127,1.443,1.1695,0.967,1.145,1.1785,1.3175,1.346,1.4005,1.6525,1.2255,1.1955,1.389,1.7715,1.414,1.4205,1.463,1.1565,1.098,1.0725,0.997,1.1495,1.0885,1.089,0.977,0.666,0.7955,0.6835,0.716,0.674,0.6,0.526,0.5255,0.41,0.524,0.44,0.4795,0.4275,0.4065,0.446,0.3205,0.2475,0.2375,0.1955,0.2065,0.248,0.249,0.2565,0.1845,0.225,0.3365,0.369,0.2325,0.214,0.2735,0.2965,0.262,0.15,0.163,0.172,0.254,0.2065,0.1215,0.1225,0.1545,0.1325,0.1585,0.075,0.1115,0.062,0.0565,0.159,0.164,0.191,0.2685,0.1205,0.2315,0.21,0.244,0.3165
"47","MT","ABLA","M","8C","ABLA-M-8C",0.5845,0.616,0.6955,0.706,0.7795,0.6115,0.685,0.715,0.6415,0.6225,0.7065,0.6225,0.6725,0.7445,0.5655,0.564,0.5225,0.7505,0.6995,0.8395,0.798,0.989,0.929,1.0165,0.9185,0.885,0.9065,0.9165,0.8725,0.8565,0.892,0.8135,1.009,0.9325,0.781,0.7805,0.786,0.959,0.6365,0.5865,0.7585,0.6605,0.722,0.6925,0.7835,0.647,0.5555,0.9175,1.0245,0.808,1.008,0.894,0.5875,0.903,0.9225,0.715,0.676,0.719,1.1425,0.7545,0.6785,0.8145,1.105,0.6575,0.6265,0.572,0.5015,0.5295,0.639,0.6155,0.6575,0.555,0.549,0.443,0.307,0.354,0.351,0.3415,0.343,0.294,0.2575,0.339,0.3295,0.398,0.3445,0.227,0.271,0.347,0.363,0.383,0.339,0.4805,0.3125,0.294,0.426,0.3015,0.4125,0.368,0.2865,0.389,0.474,0.395,0.3955,0.539,0.632,0.605,0.3035,0.3985,0.4395,0.5015,0.407,0.533,0.569,0.673,0.3,0.645,0.6455,0.5645,0.687,0.5635,0.555,0.657,0.612,0.5045,0.627,0.715,0.48,0.549,0.683
"48","MT","ABLA","M","8N","ABLA-M-8N",0.4645,0.636,0.718,0.6025,0.74,0.687,0.539,0.4965,0.4755,0.5065,0.5485,0.391,0.5605,0.5815,0.6425,0.709,0.6855,0.8525,0.913,0.9245,0.849,0.9195,0.708,0.9525,0.855,0.774,0.7305,0.8035,0.658,0.774,0.7915,0.7715,0.9095,0.897,0.78,0.7705,0.6875,0.659,0.418,0.561,0.592,0.5305,0.5715,0.663,0.7175,0.6265,0.6185,1.008,1.1555,0.8615,1.079,0.7695,0.5395,0.7065,0.654,0.8405,0.7805,0.679,0.966,0.8015,0.827,1.0625,1.244,1.1125,1.043,1.0075,0.9615,0.833,1.1395,1.111,0.619,1.1815,1.0995,0.9575,0.594,0.765,0.8855,0.867,0.7535,1,0.421,0.4625,0.6395,0.6575,0.6605,0.575,0.4475,0.4385,0.2635,0.639,0.501,0.56,0.498,0.3195,0.418,0.2555,0.226,0.2395,0.225,0.2065,0.2625,0.1865,0.276,0.3875,0.322,0.577,0.398,0.5055,0.239,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
