age_CE,085011_raw,085012_raw,085021_raw,085022_raw,085031_raw,085032_raw,085041_raw,085042_raw,085051_raw,085052_raw,085011_raw_outlier_flag,085012_raw_outlier_flag,085021_raw_outlier_flag,085022_raw_outlier_flag,085031_raw_outlier_flag,085032_raw_outlier_flag,085041_raw_outlier_flag,085042_raw_outlier_flag,085051_raw_outlier_flag,085052_raw_outlier_flag
1707,NA,NA,0.36,0.51,0.92,1.07,NA,0.75,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,FALSE,NA,NA
1708,NA,NA,0.47,0.6,1.12,1.13,NA,1.06,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,FALSE,NA,NA
1709,NA,NA,0.81,0.7,1.66,1.81,NA,1.5,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,FALSE,NA,NA
1710,NA,NA,0.98,1.04,1.93,2.64,NA,1.59,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,FALSE,NA,NA
1711,NA,NA,1.07,0.91,1.55,2.35,NA,1.79,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,FALSE,NA,NA
1712,NA,NA,0.83,0.93,1.96,1.76,NA,1.69,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,FALSE,NA,NA
1713,NA,NA,0.88,0.87,1.84,1.81,NA,1.76,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,FALSE,NA,NA
1714,NA,NA,0.64,0.73,1.58,1.51,NA,1.66,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,FALSE,NA,NA
1715,NA,NA,0.6,0.72,1.63,1.55,NA,1.55,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,FALSE,NA,NA
1716,NA,NA,0.31,0.36,0.55,0.52,NA,0.51,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,FALSE,NA,NA
1717,NA,NA,0.75,0.76,2.34,2.06,NA,1.41,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,FALSE,NA,NA
1718,NA,NA,1.14,1.08,2.77,3.22,NA,2.5,NA,NA,NA,NA,FALSE,FALSE,TRUE,TRUE,NA,TRUE,NA,NA
1719,NA,NA,1.33,1.37,2.54,2.59,NA,2.54,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,TRUE,NA,NA
1720,NA,NA,1.25,1.05,2.15,2.08,NA,2.05,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,FALSE,NA,NA
1721,NA,NA,0.42,0.43,0.89,0.73,NA,0.59,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,FALSE,NA,NA
1722,NA,NA,0.14,0.15,0.22,0.21,NA,0.11,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,FALSE,NA,NA
1723,NA,NA,0.8,0.72,2,1.65,NA,0.77,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,FALSE,NA,NA
1724,NA,NA,0.71,0.71,1.67,1.29,NA,0.64,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,FALSE,NA,NA
1725,NA,NA,0.68,0.68,1.2,1.11,NA,0.58,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,FALSE,NA,NA
1726,NA,NA,0.92,1.15,1.73,1.64,NA,1.15,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,FALSE,NA,NA
1727,NA,NA,1.18,1.07,1.73,1.55,0.88,0.99,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA
1728,NA,NA,0.63,0.66,1.21,0.91,0.49,0.67,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA
1729,NA,NA,0.32,0.42,0.75,0.63,0.4,0.51,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA
1730,NA,NA,0.58,0.73,1.38,1.13,0.87,1.78,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA
1731,NA,NA,0.79,0.85,1.52,1.2,1.2,1.43,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,NA
1732,1.27,NA,0.8,0.94,1.45,1.29,1.27,1.59,NA,NA,FALSE,NA,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,NA
1733,0.57,NA,0.45,0.47,0.74,0.84,0.68,0.78,NA,NA,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA
1734,0.75,NA,0.76,0.84,1.81,1.19,0.94,0.99,NA,NA,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA
1735,0.4,NA,0.41,0.53,0.65,0.46,0.48,0.28,NA,NA,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA
