Year,Mountain Range,SR335201,SR335202,SR335204,SR335208,SR335210,SR335211,SR335213,SR335214,SR335215,SR335216,SR335219,SR335223,SR335225,SR335236,SR335237,SR342601,SR342602,SR342604,SR342605,SR342606,SR342609,SR342610,SR342616,SR342619,SR342620,SR342622,SR434323,SR342624,SR342627,SR342628,SR342632,SR358702,SR358711,SR358723,SR358724,SR358726,SR358728,SR358730,SR358739,SR358742,SR358746,SR358748,SR358750,SR358751,SR404701,SR404702,SR404704,SR404707,SR404709,SR404710,SR404713,SR404715,SR404716,SR404717,SR404718,SR404724,SR404729,SR404730,SR404731,SR434307,SR434308,SR434309,SR434312,SR434315,SR434316,SR434318,SR434323,SR434326,SR434328,SR434329,SR434330,SR434334,SR434343,SR434345
1967,Santa Rosa,1.277,0.863,0.49,0.402,0.543,0.334,0.733,0.593,0.375,0.896,0.707,1.437,0.345,0.886,0.385,0.925,0.85,0.648,1.536,1.591,1.209,0.99,1.396,1.492,2.018,1.765,1.021,0.882,0.939,1.234,1.21,0.356,0.563,NA,NA,NA,NA,1.201,1.384,1.015,1.424,1.128,2.379,0.55,2.328,0.289,1.239,0.814,1.145,0.921,1.919,0.792,1.634,1.035,0.576,1.402,1.012,1.174,1.507,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.651,NA,1.142,0.531,0.796
1968,Santa Rosa,0.872,0.757,0.763,0.402,0.561,0.159,0.491,0.476,0.261,0.728,0.503,1.279,0.258,0.912,0.604,0.424,0.555,0.236,0.339,0.597,0.37,0.745,0.409,0.579,0.423,0.3,0.835,0.16,0.327,0.461,0.941,0.264,0.337,NA,NA,2.366,NA,1.994,1.344,1.131,1.3,0.877,2.119,1.064,1.988,0.869,0.902,0.716,1.142,0.713,1.189,0.86,1.214,0.531,0.466,1.408,0.728,0.55,1.086,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.606,NA,0.662,0.573,0.62
1969,Santa Rosa,2.385,1.6,0.917,0.567,0.583,0.492,1.084,1.372,0.534,1.412,1.824,2.108,0.777,1.392,1.599,0.85,1.008,0.445,1.122,1.077,0.697,0.937,0.909,1.433,0.845,0.738,1.037,0.7,1.171,1.197,1.056,0.258,0.564,1.373,NA,1.812,NA,2.181,1.589,0.508,1.48,1.099,2.352,1.333,1.586,0.723,0.945,0.824,1.924,1.323,1.697,1.001,2.28,0.986,0.607,2.028,1.337,1.115,1.538,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.326,NA,1.821,1.107,1.392
1970,Santa Rosa,2.171,1.911,0.506,0.882,1.085,0.689,1.173,1.557,0.627,1.724,1.683,2.919,1.201,1.928,2.327,0.312,0.296,0.269,0.584,0.433,0.441,0.409,0.247,0.793,0.389,0.157,0.385,0.214,0.319,0.385,0.465,0.386,1.575,0.799,NA,2.279,NA,2.057,1.961,1.033,1.658,1.306,3.475,0.491,2.373,0.687,1.069,1.156,1.812,1.919,1.533,1.33,2.424,1.1,0.83,2.207,1.342,1.518,1.657,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.035,NA,1.735,1.372,1.552
1971,Santa Rosa,1.323,1.365,0.487,0.534,0.438,0.333,1.053,0.945,0.406,1.357,1.087,1.998,0.714,1.668,1.065,0.061,0.052,0.036,0.096,0.102,0.084,0.043,0.043,0.132,0.121,0.059,0.144,0.066,0.206,0.13,0.159,0.27,1.66,0.644,1.179,1.854,NA,1.699,1.613,1.039,2.134,1.069,2.77,0.972,2.607,0.543,0.731,1.304,1.228,0.976,1.625,1.101,1.935,0.919,0.605,1.722,1.76,1.527,1.698,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.406,NA,0.923,0.909,0.545
1972,Santa Rosa,0.45,0.805,0.724,0.354,0.662,0.336,0.57,0.52,0.268,0.688,0.384,1.087,0.433,0.774,0.726,0.079,0.053,0.032,0.079,0.147,0.133,0.055,0.08,0.158,0.118,0.134,0.198,0.058,0.137,0.141,0.186,0.319,0.428,0.838,1.35,1.652,NA,1.736,1.28,1.424,1.729,0.961,2.474,0.821,2.052,0.518,0.627,0.968,0.93,1.162,0.847,1.05,1.789,0.452,0.228,1.144,1.607,1.171,1.898,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.639,NA,0.79,1.076,0.714
1973,Santa Rosa,0.158,0.265,0.481,0.167,0.454,0.211,0.354,0.301,0.238,0.386,0.155,0.905,0.259,0.373,0.349,0.066,0.037,0.062,0.045,0.155,0.156,0.064,0.078,0.133,0.178,0.156,0.145,0.072,0.103,0.187,0.142,0.277,0.504,0.574,1.003,2.408,0.764,1.82,1.273,0.803,1.801,1.096,2.345,0.945,2.015,0.668,1.105,1.213,1.957,1.94,1.408,1.374,2.257,0.997,0.74,2.11,1.983,1.419,2.058,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.827,NA,1.82,1.526,1.579
1974,Santa Rosa,0.291,0.506,0.448,0.268,0.491,0.261,0.526,0.364,0.215,0.537,0.363,1.124,0.219,0.459,0.139,0.128,0.158,0.198,0.488,0.558,0.376,0.437,0.21,0.314,0.492,0.274,0.705,0.236,0.84,0.839,0.534,0.384,0.784,1.125,1.853,2.652,2.615,2.585,1.447,1.875,2.646,1.154,2.208,1.541,1.817,0.558,1.03,1.293,1.679,1.926,1.109,1.485,2.376,1.174,0.519,2.081,1.732,1.279,1.734,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.931,NA,1.324,1.466,1.209
1975,Santa Rosa,1.11,1.365,0.731,0.503,1.059,0.524,1.048,1.162,0.412,1.465,0.805,1.535,0.651,0.922,0.782,0.189,0.299,0.232,0.682,0.51,0.491,0.513,0.172,0.356,0.54,0.286,0.577,0.254,0.677,0.752,0.447,0.438,0.834,1.268,1.992,2.317,2.279,1.872,2.204,1.715,1.765,1.196,2.644,1.371,2.063,0.547,1.228,1.204,1.885,1.85,1.217,2.047,2.487,1.064,0.562,2.303,1.715,1.474,1.707,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.306,NA,2.056,1.29,1.133
1976,Santa Rosa,1.132,1.815,0.929,1.236,1.152,1.276,1.295,1.74,0.474,2.1,1.017,1.814,0.455,1.479,1.056,0.627,0.654,0.466,1.606,0.477,0.504,0.793,0.323,0.301,0.712,0.522,1.08,0.401,0.893,0.756,0.489,0.603,0.991,1.116,2.276,2.351,2.298,2.349,0.871,1.663,2.036,1.231,3.202,1.322,2.519,1.281,1.663,1.826,2.858,2.387,1.879,2.072,2.986,1.317,0.455,2.287,2.377,1.688,2.263,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.241,NA,1.489,1.606,1.427
1977,Santa Rosa,0.605,1.363,0.626,1.101,0.768,0.919,1.285,1.793,0.493,1.944,0.797,1.44,0.473,1.199,0.96,0.619,1.01,0.544,1.917,1.041,0.776,1.055,0.555,0.991,1.443,0.832,1.473,0.89,1.724,1.182,0.522,0.302,0.595,1.491,2.987,2.58,2.103,1.865,1.508,1.163,1.76,1.427,2.611,1.254,2.187,0.694,1.228,1.377,2.138,1.608,1.028,1.474,2.055,0.862,0.266,1.378,1.815,1.005,1.708,NA,NA,NA,NA,4.5,NA,NA,NA,NA,NA,2.202,NA,1.353,1.219,1.092
1978,Santa Rosa,0.132,0.291,0.215,0.174,0.253,0.267,0.232,0.432,0.17,0.467,0.195,0.584,0.202,0.457,0.294,0.41,0.847,0.244,1.423,0.818,0.413,0.58,0.343,0.75,1.231,0.306,1.094,0.676,1.42,1.109,0.375,0.23,0.363,0.713,1.794,0.923,0.709,0.756,0.471,0.714,1.026,0.528,0.939,0.512,1.499,0.696,0.802,1.1,1.511,1.272,1.047,1.064,1.503,0.843,0.219,0.98,1.519,1.341,1.242,NA,NA,NA,NA,3.114,3.133,NA,NA,NA,NA,2.211,NA,1.487,0.723,0.804
1979,Santa Rosa,0.271,0.537,0.395,0.21,0.289,0.27,0.49,0.495,0.22,0.628,0.361,1.075,0.378,0.804,0.428,0.676,1.276,0.523,1.505,1.016,0.508,1.109,1.098,1.254,1.232,0.434,1.209,0.779,1.986,1.351,0.639,0.311,0.527,1.764,3.339,1.888,1.943,1.386,1.413,1.119,1.592,0.924,1.821,1.024,1.872,1.03,0.961,1.099,1.593,1.321,1.748,1.514,1.903,0.987,0.703,1.493,1.646,1.2,1.437,NA,NA,NA,NA,4.18,3.519,NA,NA,NA,2.787,2.859,0.869,1.628,0.834,1.092
1980,Santa Rosa,0.478,0.627,0.462,0.13,0.255,0.278,0.398,0.539,0.205,0.631,0.322,0.846,0.263,0.692,0.309,0.735,0.913,0.58,1.34,0.707,0.945,1.141,1.038,1.277,1.714,0.847,1.281,0.875,1.576,1.371,0.71,0.234,0.54,1.389,2.555,1.592,1.554,1.14,0.904,1.053,1.552,0.843,0.901,1.116,1.758,0.647,0.993,1.223,1.274,1.174,1.327,1.061,1.732,0.769,0.441,1.218,1.614,1.684,1.458,NA,0.732,1.859,2.102,1.393,1.527,NA,NA,2.226,1.796,1.088,0.084,1.033,0.13,0.292
1981,Santa Rosa,0.2,0.51,0.485,0.06,0.149,0.099,0.32,0.464,0.103,0.522,0.215,0.817,0.208,0.412,0.359,0.594,0.634,0.482,0.681,0.421,0.789,0.883,1.146,1.001,1.205,0.786,1.694,0.763,1.354,1.013,0.597,0.366,0.583,1.834,2.883,1.607,1.651,0.921,1.085,0.983,1.333,0.519,1.277,0.976,2.244,1.239,0.728,1.319,1.088,0.926,1.415,1.423,1.701,0.842,0.242,1.189,1.649,1.144,1.487,NA,0.967,1.119,2.509,2.853,2.175,NA,NA,2.01,2.234,1.887,0.493,1.531,1.188,0.866
1982,Santa Rosa,0.204,0.357,0.39,0.167,0.264,0.171,0.296,0.451,0.136,0.514,0.267,1.035,0.188,0.285,0.323,0.564,1.051,0.526,1.44,0.958,1.031,0.755,0.882,1.219,1.79,0.889,1.928,1.047,1.66,1.481,0.551,0.269,0.541,0.962,1.688,1.966,1.19,1.131,1.163,1.326,1.471,1.069,1.395,0.701,2.836,0.785,0.562,0.981,1.424,1.435,0.771,1.826,1.942,0.568,0.14,1.008,1.527,1.622,1.745,NA,0.481,1.4,1.478,3.704,1.803,NA,NA,1.068,2.208,2.496,0.786,1.653,1.31,1.114
1983,Santa Rosa,0.737,0.847,0.41,0.315,0.443,0.245,0.326,0.612,0.109,0.663,0.718,1.416,0.23,0.734,0.432,0.294,0.671,0.308,0.911,0.369,0.583,0.369,0.657,0.933,0.94,0.468,1.108,0.721,0.843,1.525,0.329,0.522,1.101,1.862,2.33,1.794,1.322,0.865,2.259,1.45,2.209,1.301,2.273,0.969,3.118,1.326,0.896,1.503,2.127,1.842,1.357,2.917,2.162,1.178,0.224,1.359,1.669,1.36,2.219,NA,0.986,0.77,0.548,1.55,0.979,NA,NA,0.697,2.095,2.812,0.584,1.241,1.845,1.289
1984,Santa Rosa,0.594,1.398,0.348,0.488,0.571,0.252,0.769,0.709,0.11,0.497,0.54,1.257,0.272,0.565,0.766,0.281,0.29,0.342,0.333,0.177,0.477,0.557,0.503,0.314,0.43,0.328,0.322,0.623,0.441,0.423,0.211,0.374,0.94,2.259,3.23,2.15,2.662,2.914,0.926,1.495,1.727,1.319,1.807,0.827,2.859,1.361,0.982,1.534,2.06,1.986,1.38,2.766,1.882,1.266,0.331,1.672,1.607,1.798,1.724,NA,1.442,0.536,0.916,1.131,0.862,2.114,NA,0.875,3.852,3.257,0.468,1.683,1.859,1.537
1985,Santa Rosa,0.28,1.099,0.271,0.574,0.742,0.237,0.59,0.858,0.185,0.507,0.838,1.689,0.168,0.262,0.44,0.379,0.269,0.461,0.776,0.28,0.747,0.745,0.806,0.837,0.908,0.786,0.87,1.115,1.109,1.135,0.655,0.465,0.573,2.422,2.707,2.259,2.648,3.367,0.924,2.076,1.825,1.014,1.591,1.261,2.763,0.963,0.491,0.924,1.253,0.945,1.102,2.288,1.727,0.831,0.332,1.332,1.14,1.014,1.35,NA,1.699,1.303,1.954,2.401,1.548,2.66,2.196,0.861,1.901,3.265,0.769,1.421,1.678,1.642
1986,Santa Rosa,0.458,1.233,0.252,0.759,0.484,0.3,0.657,0.708,0.312,0.862,0.853,1.263,0.22,0.412,0.62,0.679,1.294,1.88,1.891,0.964,1.067,1.09,2.024,1.798,2.071,1.518,1.302,1.642,2.936,1.867,0.74,0.372,0.512,2.641,1.882,2.799,2.329,1.461,1.314,1.622,1.976,1.345,1.734,1.425,1.536,0.314,0.411,0.64,0.946,0.663,0.609,2.094,1.126,0.911,0.19,1.136,1.012,0.612,0.822,NA,1.893,1.181,2.11,1.876,1.856,2.826,2.631,1.153,1.726,2.846,0.907,1.414,1.412,1.057
1987,Santa Rosa,0.866,1.223,0.324,0.516,0.411,0.221,0.607,0.786,0.495,0.816,0.831,2.125,0.304,1.11,0.894,0.47,0.401,0.558,0.603,0.282,0.462,0.13,0.547,0.557,0.592,0.423,1.139,0.465,1.131,0.916,0.366,0.45,0.749,1.6,2.064,1.776,1.114,1.776,0.82,1.364,1.689,1.217,1.742,1.079,2.42,0.682,0.751,1.459,2.294,2.003,1.173,1.46,1.606,0.776,0.136,1.283,1.8,1.414,1.315,3.017,1.988,1.734,3.423,2.738,2.046,3.022,1.142,1.561,2.683,2.892,1.31,1.278,1.737,1.416
1988,Santa Rosa,0.158,0.547,0.249,0.314,0.361,0.237,0.551,0.48,0.389,0.627,0.477,0.898,0.36,0.505,0.447,0.276,0.173,0.589,0.611,0.27,0.424,0.263,0.515,0.474,0.327,0.258,0.176,0.332,0.462,0.585,0.388,0.364,0.83,1.892,1.602,1.875,1.609,2.217,0.957,0.577,0.771,0.542,1.623,0.639,1.761,0.892,0.802,1.475,1.517,1.377,1.086,1.908,1.482,1.137,0.279,1.309,1.181,1.211,1.296,1.279,0.358,0.291,0.89,1.333,0.779,1.633,1.133,0.944,0.559,0.894,0.322,0.608,0.848,0.486
1989,Santa Rosa,0.299,0.696,0.288,0.142,0.302,0.163,0.424,0.597,0.275,0.284,0.468,1.078,0.221,0.76,0.331,0.651,0.559,1.292,0.694,0.588,1.265,0.717,1.513,0.804,0.875,0.532,0.343,0.806,0.946,1.066,0.381,0.099,0.304,0.2,0.162,1.345,0.232,0.361,0.116,0.114,0.42,0.483,0.08,0.354,1.599,0.611,0.85,1.142,1.36,1.248,0.901,1.918,1.161,1.264,0.329,1.382,1.12,1.383,0.822,1.711,1.268,0.795,1.268,3.61,1.796,1.675,2.121,1.007,2.127,2.605,0.921,0.922,1.359,1.164
1990,Santa Rosa,0.135,0.358,0.229,0.206,0.449,0.254,0.503,0.533,0.206,0.41,0.379,1.316,0.267,0.99,0.543,0.338,0.483,0.776,0.577,0.781,0.727,0.31,0.697,0.777,1.003,1.174,0.329,0.97,1.409,1.501,0.354,0.111,0.316,0.422,0.225,0.992,0.12,0.283,0.171,0.337,1.072,0.818,0.247,0.643,1.329,0.416,0.595,1.12,1.183,1.055,0.547,0.992,1.091,0.597,0.128,1.053,1.103,0.847,1.115,1.132,0.886,0.242,0.482,1.859,0.797,1.268,1.118,0.848,0.769,1.337,0.277,0.158,0.92,0.228
1991,Santa Rosa,0.45,0.517,0.316,0.234,0.356,0.197,0.775,0.624,0.223,0.633,0.376,1.313,0.476,1.171,0.846,0.098,0.672,0.718,0.711,0.807,0.876,0.22,0.486,0.811,1.032,0.967,0.646,1.067,1.18,0.989,0.305,0.269,0.558,1.394,0.958,2.047,1.167,0.834,0.676,0.924,2.106,1.391,0.341,1.42,1.27,0.303,0.419,0.863,1.055,0.957,0.284,0.82,0.978,0.414,0.07,0.512,0.842,0.935,0.596,1.965,1.311,1.2,1.76,3.041,1.231,1.11,2.078,1.009,2.142,2.488,0.96,0.968,1.449,1.198
1992,Santa Rosa,0.695,0.77,0.45,0.36,0.852,0.489,0.906,0.598,0.387,0.729,0.538,1.103,0.476,0.684,0.95,0.136,0.924,0.482,0.496,0.53,0.546,0.163,0.276,0.566,0.536,1.089,0.989,0.576,1.472,1.175,0.346,0.216,0.389,0.758,0.9,1.078,0.522,0.864,0.616,0.777,1.379,0.865,0.373,1.339,1.924,0.62,0.993,1.379,2.37,2.011,1.025,1.219,1.732,1.171,0.134,1.169,1.417,1.309,1.144,1.613,1.004,1.134,1.631,2.204,1.291,0.736,1.376,1.047,1.912,2.06,0.819,0.681,0.905,0.72
1993,Santa Rosa,1.097,1.048,0.472,0.561,0.924,0.647,0.931,1.067,0.522,0.784,0.539,1.427,0.657,1.077,1.024,0.418,1.058,0.959,1.199,1.167,1.244,0.659,1.002,1.279,1.58,1.638,1.694,1.332,2.015,1.74,0.663,0.133,0.203,1.894,0.87,1.087,1.202,0.882,0.343,1.332,2.123,0.853,0.162,1.302,2.428,0.704,1.138,1.758,2.007,2.018,1.197,1.093,1.679,1.371,0.327,1.1,1.308,1.231,1.02,1.641,1.409,1.31,1.362,3.055,1.535,1.06,1.464,1.92,1.98,2.187,1.196,0.799,1.552,0.457
1994,Santa Rosa,1.214,1.369,0.31,0.97,1.168,0.774,1.35,1.426,0.695,1.325,0.386,1.673,1.152,1.32,1.746,0.561,1.396,0.994,1.451,1.445,1.257,0.778,1.447,1.232,2.288,1.733,1.451,1.875,2.369,1.697,0.98,0.2,0.387,1.836,1.814,2.573,1.831,1.849,0.815,2.134,2.822,1.535,0.21,1.974,2.16,0.698,0.979,1.299,1.658,1.414,1.113,0.899,1.624,1.06,0.266,1.076,1.737,0.876,0.975,2.225,1.439,0.97,1.061,2.305,1.036,0.978,1.682,1.026,2.062,2.12,1.007,0.925,1.766,1.221
1995,Santa Rosa,0.705,0.837,0.329,0.403,0.587,0.311,0.698,0.803,0.376,1.037,0.309,0.946,0.617,1.085,1.022,0.481,0.529,0.998,0.554,0.64,0.767,0.334,0.286,0.643,1.543,0.443,0.541,0.603,0.522,1.303,0.545,0.223,0.25,0.62,0.982,1.277,0.597,1.144,0.492,0.73,1.687,0.761,0.186,0.569,2.339,0.439,0.631,1.385,1.536,1.41,1.005,0.85,1.413,1.501,0.168,1.404,1.507,1.352,0.702,1.769,1.758,1.075,1.434,1.896,1.272,1.171,2.047,1.724,2.11,1.666,1.584,0.731,1.254,1.053
1996,Santa Rosa,0.617,1.429,0.316,0.407,0.598,0.391,0.586,0.452,0.224,1.46,0.448,1.422,0.746,1.752,1.135,0.521,0.958,0.931,1.52,0.455,1.503,0.646,1.043,1.288,1.753,1.162,1.14,1.119,1.365,1.818,1.046,0.238,0.232,0.886,0.846,1.288,0.755,1.356,0.683,1.464,2.437,1.329,0.344,1.384,2.223,0.567,1.13,1.487,1.518,1.619,0.87,1.124,1.491,1.207,0.197,1.528,1.422,1.359,1.367,1.794,1.575,1.167,1.24,1.971,1.155,1.115,1.446,1.097,1.756,1.853,0.856,1.1,1.327,1.242
1997,Santa Rosa,0.577,0.889,0.269,0.365,0.541,0.321,1.053,1.114,0.221,1.537,0.61,2.134,0.608,2.104,1.097,0.305,0.682,0.935,1.745,0.808,1.293,0.385,1.05,1.29,0.884,1.279,1.122,1,1.78,1.75,1.045,0.279,0.304,0.609,1.54,1.167,0.459,1.067,0.45,1.109,2.074,0.66,0.564,0.973,2.567,0.571,0.879,1.864,1.583,1.663,0.837,0.974,1.735,1.532,0.156,1.305,1.378,1.449,1.453,2.545,1.595,1.153,2.182,2.472,1.472,2.312,0.872,1.325,2.293,2.664,1.439,1.359,1.5,1.639
1998,Santa Rosa,0.244,0.661,0.203,0.074,0.251,0.198,0.446,0.479,0.203,0.616,0.218,0.689,0.397,0.785,0.852,0.231,0.545,0.557,1.269,0.414,0.802,0.178,0.926,1.497,0.731,1.299,0.789,0.76,1.244,1.407,0.857,0.117,0.226,0.411,0.645,0.533,0.539,0.505,0.361,0.328,1.352,0.402,0.441,0.468,1.997,0.565,0.803,1.069,1.395,1.045,0.509,0.921,1.397,1.189,0.141,1.179,0.914,1.013,1.143,1.795,1.056,0.882,1.726,1.182,1.081,1.794,1.074,1.19,2.235,2.461,1.18,1.353,1.5,1.613
1999,Santa Rosa,0.152,0.337,0.154,0.134,0.163,0.103,0.258,0.383,0.08,0.417,0.098,0.659,0.269,0.912,0.438,0.198,0.682,0.703,1.123,0.526,1.125,0.319,1.192,2.069,2.038,1.144,0.861,1.486,1.767,1.601,1.418,0.318,0.422,1.195,1.758,1.936,1.354,1.374,0.492,1.815,2.695,1.034,0.368,1.239,2.208,0.367,0.52,1.06,0.93,1.039,0.174,0.593,0.996,0.904,0.204,0.696,0.831,0.324,0.899,1.626,1.377,0.828,1.657,1.887,1.242,1.402,1.326,0.796,1.807,2.266,0.672,1.573,1.557,1.485
2000,Santa Rosa,0.458,0.544,0.204,0.138,0.242,0.144,0.367,0.234,0.062,0.268,0.127,1.294,0.492,0.78,0.388,0.263,1.105,0.711,1.387,0.763,1.515,0.486,2.163,2.306,0.898,1.643,1.208,1.893,1.569,2.069,1.4,0.401,0.356,0.942,1.598,2.093,1.818,2.335,0.401,2.091,2.598,1.297,0.824,1.187,2.458,0.338,0.944,1.336,1.559,1.565,1.055,1.209,2.026,1.619,0.283,1.16,0.951,0.518,0.743,1.784,1.364,0.652,1.206,1.106,0.931,1.54,0.602,0.727,0.727,1.971,0.782,1.456,1.538,1.4
2001,Santa Rosa,0.391,0.644,0.36,0.125,0.273,0.161,0.404,0.312,0.15,0.269,0.126,0.932,0.4,0.772,0.608,0.286,0.869,1.096,1.168,0.429,1.294,0.504,1.912,1.935,0.433,1.3,0.829,2.109,2.063,1.754,2.604,0.264,0.148,0.376,0.417,0.686,0.357,0.833,0.191,0.38,0.788,0.402,0.408,0.387,2.493,0.315,0.985,1.401,1.583,1.793,1.331,1.108,2.312,1.582,0.202,1.066,1.297,1.517,1.637,1.981,1.9,0.92,1.284,1.355,0.916,1.594,0.453,1.063,0.892,1.909,1.098,1.314,1.24,1.679
2002,Santa Rosa,0.211,0.573,0.216,0.193,0.335,0.183,0.357,0.502,0.145,0.301,0.197,0.693,0.265,0.758,0.341,0.28,0.906,0.366,0.828,0.304,0.75,0.355,1.426,1.466,0.505,1.327,0.572,0.987,0.931,1.49,0.571,0.218,0.142,0.199,0.16,0.384,0.332,0.209,0.147,0.427,0.94,0.083,0.256,0.401,2.219,0.456,1.462,1.415,1.769,1.586,0.827,0.915,2.017,1.545,0.282,1.005,1.062,1.4,1.239,1.32,1.286,0.76,2.694,1.557,1.466,1.621,0.876,1.334,1.255,1.91,0.938,1.299,1.277,1.341
2003,Santa Rosa,0.345,0.811,0.278,0.375,0.413,0.294,0.503,0.641,0.249,0.611,0.2,0.782,0.294,0.881,0.493,0.615,1.655,1.123,1.566,1.253,1.4,1.072,2.208,2.604,1.999,1.588,1.608,1.552,1.777,2.127,1.754,0.239,0.169,0.206,0.404,0.446,0.269,0.683,0.205,1.153,1.893,0.505,0.308,1.041,2.638,0.344,1.271,1.284,1.691,1.615,0.959,1.056,2.15,1.461,0.276,1.067,1.104,1.772,1.402,0.333,0.925,0.163,0.811,1.206,0.622,1.617,0.303,0.863,0.938,1.582,0.617,1.112,1.152,1.02
2004,Santa Rosa,0.46,1.162,0.264,0.368,0.559,0.227,0.493,1.057,0.352,0.768,0.145,0.972,0.347,1.351,0.571,0.558,1.097,0.878,1.965,0.884,1.505,0.672,1.521,1.695,1.858,1.623,1.266,1.546,1.692,2.381,0.842,0.25,0.311,0.415,0.798,1.638,0.585,0.732,0.285,0.825,2.282,0.56,0.156,1.109,3.109,0.456,1.646,1.367,2.705,1.829,1.1,0.886,1.932,1.497,0.229,0.609,1.629,1.448,1.666,1.616,1.84,0.735,1.842,1.424,1.009,1.51,0.493,1.239,1.402,1.815,1.151,0.952,1.068,1.14
2005,Santa Rosa,0.617,1.485,0.327,0.721,0.757,0.322,0.755,1.194,0.509,0.828,0.333,0.587,0.452,1.021,0.944,0.497,1.203,1.215,1.491,0.781,1.183,0.652,2.391,2.025,1.231,1.21,0.782,1.675,1.542,1.951,1.345,0.311,0.289,0.841,1.233,1.845,1.097,1.369,0.762,2.152,3.281,1.256,0.333,1.536,2.735,0.483,1.26,1.289,1.88,1.653,0.932,1.387,1.745,1.726,0.261,0.753,1.776,1.724,1.318,1.721,1.792,0.874,1.746,1.482,0.956,2.217,0.477,1.332,1.069,1.568,1.277,0.839,1.286,1.131
2006,Santa Rosa,0.913,1.853,0.383,0.699,0.638,0.287,0.84,1.433,0.613,1.04,0.502,1.277,0.891,1.909,1.676,0.242,1.001,0.612,0.928,0.394,0.742,0.318,1.632,1.837,0.883,1.118,0.647,1.235,1.064,1.418,1.332,0.603,0.576,0.721,1.209,1.403,1.285,1.746,0.957,2.129,2.77,0.551,0.672,1.57,3.092,0.491,1.103,1.121,1.777,1.647,1.206,1.668,1.986,2.024,0.307,0.764,1.959,1.707,1.509,1.767,1.809,0.992,1.59,1.586,1.247,2.235,0.437,1.372,1.881,1.843,1.705,1.05,1.87,1.343
2007,Santa Rosa,1.069,2.383,0.534,0.335,0.279,0.324,0.782,0.935,0.458,1.263,0.565,1.44,0.876,1.514,1.165,0.237,0.949,0.714,0.885,0.257,0.637,0.216,2.047,1.935,1.144,0.941,0.55,0.992,0.886,1.398,1.739,0.352,0.387,0.43,0.858,0.976,1.524,1.401,0.946,1.665,2.064,NA,0.158,0.94,2.671,0.371,0.746,0.68,1.475,1.312,0.925,1.538,1.811,1.488,0.256,0.417,1.171,1.469,1.094,1.448,1.528,1.817,1.534,1.335,0.944,1.613,0.388,1.115,2.434,1.46,1.061,0.676,0.946,0.862
2008,Santa Rosa,0.83,1.527,0.463,0.778,0.313,0.387,0.956,0.608,0.335,1.3,0.654,1.546,0.879,1.523,0.799,0.724,1.563,1.704,1.525,1.221,1.251,1.013,2.148,1.803,1.986,0.858,0.533,0.76,1.375,1.592,1.483,0.261,0.237,NA,0.323,0.345,0.323,0.582,0.268,1.083,2.719,NA,0.229,0.975,2.91,0.427,1.183,0.829,1.462,1.773,1.062,2.253,1.902,1.591,0.245,0.25,1.093,1.805,1.128,1.159,1.359,1.588,1.289,1.585,1.253,1.298,0.604,0.949,1.823,1.636,0.766,0.899,1.422,1.318
2009,Santa Rosa,1.191,2.179,0.309,0.576,0.394,0.371,1.05,0.974,0.34,1.056,0.395,1.665,1.156,1.992,1.501,0.451,1.393,1.038,1.62,1.128,1.02,0.434,1.454,1.188,2.238,1.677,0.896,1.909,2.08,1.992,1.689,0.234,0.125,NA,0.569,0.607,0.311,0.548,0.203,1.135,2.444,NA,0.307,1.096,3.421,0.362,0.969,0.946,1.589,1.422,1.072,1.899,1.76,1.289,0.265,0.242,1.812,1.652,1.261,1.496,1.209,1.701,1.409,1.323,1.13,1.382,0.411,1.43,2.772,1.521,0.946,0.879,1.276,1.483
2010,Santa Rosa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.215,0.51,0.572,0.751,0.546,0.57,0.149,0.479,0.753,0.95,0.68,0.575,0.851,0.897,1.168,0.702,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.18,0.322,0.488,0.638,0.767,0.966,0.97,1.429,1.396,1.129,NA,NA,0.672,0.995,0.873,1.225,1.774,1.281,1.455,1.199,0.939,1.147,0.435,0.931,1.536,1.459,0.776,0.802,1.567,1.297
