Year,Mountain Range,JB118309,JB118312,JB118313,JB118316,JB118317,JB118318,JB118320,JB118322,JB118323,JB118324,JB118326,JB118327,JB118332,JB118336,JB130804,JB130807,JB130808,JB130810,JB130813,JB130814,JB130815,JB130816,JB130817,JB130819,JB130821,JB130827,MC195302,MC195303,MC195304,MC195306,MC195307,MC195313,MC195314,MC195318,MC195319,MC195325,MC195329,MC216001,MC216002,MC216003,MC216004,MC216005,MC216010,MC216012,MC216014,MC216018,MC216020,MC216022,MC216026,MC216027,MC216029,MC216030,MC216039,MC231201,MC231203,MC231204,MC231205,MC231206,MC231207,MC231209,MC231211,MC231212,MC231213,MC231216,MC231217,MC231219,MC231221,MC231225,MC231226,MC231227,MC231232,MC231234,MC255807,MC255808,MC255809,MC255811,MC255814,MC255815,MC255817,MC255824,MC255825,MC255826,MC255827,MC255828,MC255830,MC255831,MC255833,MC300001,MC300017,MC300018,MC300022,MC300023,MC300024,MC300026,MC300027,MC300028,MC300032,MC300033,MC302801,MC302803,MC302807,MC302810,MC302813,MC302819,MC302820,MC302825,MC302827,MC302829,MC302831,MC302833,MC302834,MC302835
1939,Jarbidge,NA,2.216,1.258,0.565,NA,1.349,2.157,0.852,0.271,0.428,0.279,0.826,1.026,0.429,NA,NA,NA,1.065,NA,NA,NA,NA,NA,NA,NA,0.335,NA,0.649,NA,0.611,NA,NA,NA,NA,0.748,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.431,1.043,1.947,1.523,0.984,1.048,0.947,2.079,1.109,1.217,NA,2.085,NA,NA,NA,2.148,NA,NA,2.457,0.443,1.71,0.498,NA,0.886,0.39,0.398,0.623,1.086,0.874,1.022,NA,NA,0.597,1.854,NA,NA,NA,NA,NA,NA,5.406,NA,NA,NA,NA,NA,NA,NA,2.208,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1940,Jarbidge,NA,1.633,1.555,0.63,1.316,1.635,1.851,0.609,0.696,0.985,0.642,1.155,1.34,0.771,NA,NA,NA,1.944,NA,NA,NA,NA,NA,NA,NA,0.758,NA,0.185,NA,0.607,NA,NA,NA,NA,1.436,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.276,0.668,1.694,1.01,1.377,0.54,0.743,1.147,0.938,1.681,NA,1.016,NA,NA,NA,1.469,NA,NA,1.493,0.852,1.321,0.821,NA,1.163,0.968,0.641,0.868,1.073,1.132,1.194,NA,NA,0.611,1.687,NA,NA,NA,NA,NA,NA,4.149,NA,NA,NA,NA,NA,NA,NA,2.519,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1941,Jarbidge,NA,2.163,1.678,1.114,1.612,1.158,1.692,0.775,0.521,0.661,0.404,1.164,1.574,0.827,NA,NA,NA,2.269,NA,NA,NA,NA,NA,NA,NA,0.873,NA,0.267,NA,0.395,NA,NA,NA,NA,0.882,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.595,0.484,1.651,0.498,0.885,0.648,0.666,0.684,0.696,0.803,NA,1.16,NA,NA,NA,1.335,NA,NA,0.992,0.809,1.384,0.733,NA,0.947,0.282,0.571,0.729,0.743,1.005,0.786,NA,NA,0.356,1.938,NA,NA,NA,NA,NA,NA,2.375,NA,NA,NA,NA,NA,NA,NA,1.391,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1942,Jarbidge,NA,1.929,1.497,1.675,2.581,1.348,0.785,0.831,0.65,0.626,0.433,1.287,1.053,1.158,NA,NA,NA,2.14,NA,NA,NA,NA,NA,NA,NA,0.969,NA,0.685,NA,0.531,NA,NA,NA,NA,2.842,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.641,0.502,1.054,0.599,0.85,0.208,0.453,0.564,0.683,0.774,NA,1.631,NA,NA,NA,1.037,NA,NA,1.611,0.353,1.071,0.382,NA,0.701,0.39,0.365,0.423,0.535,0.492,0.614,NA,NA,0.303,1.054,NA,NA,NA,NA,NA,NA,2.911,NA,NA,NA,NA,NA,NA,NA,1.257,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1943,Jarbidge,NA,1.876,1.359,2.364,3.256,1.399,0.853,1.012,0.818,0.556,0.623,0.984,1.219,1.28,NA,NA,NA,0.802,NA,NA,NA,NA,NA,NA,NA,0.434,NA,0.72,0.753,0.627,NA,NA,NA,NA,3.374,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.316,0.346,0.618,0.375,0.674,0.465,0.387,0.199,0.38,0.492,NA,1.019,NA,NA,NA,1.402,NA,NA,0.803,0.376,0.751,0.245,NA,0.382,0.243,0.367,0.562,0.493,0.303,0.492,NA,NA,0.225,1.747,NA,NA,NA,NA,NA,NA,0.987,NA,NA,NA,NA,NA,NA,NA,2.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1944,Jarbidge,NA,1.425,1.233,1.679,1.924,1.272,0.744,0.801,0.39,0.392,0.352,0.556,0.566,0.436,NA,NA,NA,0.656,NA,NA,NA,NA,NA,NA,NA,0.339,NA,0.555,0.563,0.163,NA,NA,NA,NA,0.956,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.514,0.478,1.073,0.537,0.809,0.383,0.485,0.379,0.88,0.859,NA,0.75,NA,NA,NA,1.025,NA,NA,0.953,0.107,0.07,0.252,NA,0.136,0.075,0.079,0.138,0.151,0.391,0.373,NA,NA,0.285,0.303,NA,NA,NA,NA,NA,NA,0.754,NA,NA,NA,NA,NA,NA,NA,3.802,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1945,Jarbidge,NA,1.573,1.396,1.17,1.708,1.193,0.75,0.676,0.611,0.587,0.379,1.146,0.316,0.687,NA,NA,NA,1.575,NA,NA,NA,NA,NA,NA,NA,0.806,NA,1.598,0.967,0.562,NA,NA,NA,NA,0.844,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.133,0.656,1.79,0.741,1.041,0.682,0.826,0.937,1.042,1.263,NA,1.954,NA,NA,NA,0.975,NA,NA,1.271,0.133,0.204,0.406,NA,0.331,0.248,0.207,0.263,0.262,0.36,0.34,NA,NA,0.341,0.453,NA,NA,NA,NA,NA,NA,0.207,NA,NA,NA,NA,NA,NA,NA,1.503,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1946,Jarbidge,NA,2.03,1.494,1.684,2.408,1.099,0.949,1.092,0.559,0.573,0.728,1.151,0.518,0.667,NA,NA,NA,1.838,NA,NA,NA,NA,NA,NA,NA,0.835,NA,1.354,1.042,0.496,NA,NA,NA,NA,0.878,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.181,0.653,1.891,1.177,0.938,0.73,1.151,1.534,1.227,1.554,NA,2.097,NA,NA,NA,1.873,NA,NA,1.114,0.129,1.046,0.396,NA,0.199,0.207,0.239,0.278,0.203,0.213,0.408,NA,NA,0.208,0.403,NA,NA,NA,NA,NA,NA,0.074,NA,NA,NA,NA,NA,NA,NA,0.982,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1947,Jarbidge,NA,1.864,1.819,1.688,2.363,1.25,0.917,0.997,0.831,0.618,0.683,1.01,0.673,0.675,NA,NA,NA,0.871,NA,NA,NA,NA,NA,NA,NA,0.575,NA,0.268,0.137,0.17,NA,0.187,1.41,NA,0.361,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.722,0.474,1.503,0.344,0.28,0.601,0.321,1.194,0.626,0.808,NA,1.401,NA,NA,NA,1.305,NA,NA,1.127,0.102,0.831,0.411,NA,0.168,0.172,0.094,0.204,0.192,0.055,0.342,NA,NA,0.253,0.268,NA,NA,NA,NA,NA,NA,1.571,NA,NA,NA,NA,NA,NA,NA,2.347,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1948,Jarbidge,NA,1.486,1.59,1.286,2.045,1.29,1.393,0.781,1.094,0.788,1.043,1.19,1.101,1.1,NA,NA,NA,1.739,NA,NA,NA,NA,NA,NA,NA,1.094,NA,0.747,0.404,0.16,NA,0.052,0.425,NA,0.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.66,0.376,0.964,0.597,0.472,0.667,0.405,1.28,0.591,0.764,1.058,1.222,NA,NA,NA,1.309,NA,NA,1.754,0.133,1.016,0.974,NA,0.135,0.06,0.12,0.282,0.213,0.08,0.518,NA,NA,0.199,0.426,NA,NA,NA,NA,NA,NA,1.544,NA,NA,NA,NA,NA,NA,NA,1.482,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1949,Jarbidge,NA,0.973,0.601,1.047,1.421,0.622,0.569,0.414,0.462,0.214,0.174,0.455,0.287,0.392,NA,NA,NA,1.4,NA,NA,NA,NA,NA,NA,NA,1.305,NA,0.674,0.632,0.073,NA,0.211,0.321,NA,0.129,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.544,0.418,1.248,0.294,0.29,0.321,0.345,1.152,0.783,0.783,1.35,0.891,NA,NA,NA,1.116,NA,NA,0.734,0.058,0.771,0.369,NA,0.105,0.064,0.045,0.27,0.276,0.055,0.264,NA,NA,0.152,0.115,NA,NA,NA,NA,NA,NA,0.765,NA,NA,NA,NA,NA,NA,NA,1.507,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1950,Jarbidge,NA,0.648,0.736,1.514,1.489,0.44,0.93,0.502,0.62,0.44,0.455,0.646,0.302,0.619,NA,NA,NA,1.304,NA,NA,NA,NA,NA,NA,NA,1.262,NA,1.301,0.412,0.329,NA,0.682,0.525,NA,0.674,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.463,0.493,1.482,0.573,0.518,0.511,0.361,0.581,0.626,1.012,1.442,0.866,NA,NA,NA,1.644,NA,NA,0.68,0.15,0.802,0.711,NA,0.156,0.068,0.088,0.355,0.269,0.053,0.677,NA,NA,0.179,0.622,NA,NA,NA,NA,NA,NA,1.026,NA,NA,NA,NA,NA,NA,NA,1.53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1951,Jarbidge,NA,0.749,0.822,1.033,1.445,0.79,0.685,0.453,0.418,0.454,0.358,0.38,0.357,0.489,NA,NA,NA,0.932,NA,NA,NA,NA,NA,NA,NA,0.687,1.37,2.187,0.726,0.44,NA,1.475,1.298,NA,0.604,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.804,1.165,1.715,0.644,0.653,0.652,0.895,0.784,1.028,1.185,1.823,1.271,NA,NA,NA,1.717,NA,NA,0.844,0.059,0.129,0.123,NA,0.121,0.02,0.045,0.081,0.16,0.056,0.153,NA,NA,0.101,0.243,NA,NA,NA,NA,NA,NA,1.845,NA,NA,NA,NA,NA,NA,NA,1.999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1952,Jarbidge,NA,0.998,1.034,1.514,1.599,0.909,0.835,0.859,0.509,0.519,0.436,0.528,0.322,0.508,NA,NA,NA,0.624,NA,NA,NA,NA,NA,NA,NA,0.188,2.776,2.653,0.484,0.651,0.924,1.842,1.365,NA,1.157,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.023,1.452,2.077,0.905,0.998,0.97,0.927,0.889,1.099,1.467,1.918,1.345,NA,NA,NA,1.304,NA,NA,1.565,0.223,1.155,1.264,NA,1.089,0.392,0.236,0.644,0.371,0.696,0.709,NA,NA,0.462,2.082,NA,NA,NA,NA,NA,NA,3.623,NA,NA,NA,NA,NA,NA,NA,2.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1953,Jarbidge,NA,0.426,0.447,0.929,0.736,0.428,0.252,0.348,0.227,0.227,0.281,0.171,0.346,0.199,NA,NA,NA,1.595,NA,NA,NA,NA,NA,NA,NA,0.278,1.012,1.963,0.635,0.41,1.125,1.928,1.145,NA,1.123,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.463,0.409,0.686,0.455,0.592,0.774,0.747,0.545,0.615,1.079,0.901,0.803,NA,NA,NA,1.005,NA,NA,1.049,0.483,0.569,0.749,NA,1.298,0.572,0.396,0.735,0.501,0.269,0.835,NA,NA,0.508,1.017,NA,NA,NA,NA,NA,NA,4.12,NA,NA,NA,NA,NA,NA,NA,2.83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1954,Jarbidge,NA,0.095,0.373,0.92,0.662,0.504,0.463,0.442,0.371,0.091,0.194,0.205,0.154,0.475,NA,NA,NA,1.517,NA,NA,NA,NA,NA,NA,NA,0.353,1.083,1.462,0.899,0.237,1.374,2.224,1.613,NA,0.963,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.364,0.304,0.718,0.437,0.381,0.263,0.526,0.556,0.597,0.551,0.848,0.901,NA,NA,NA,0.684,NA,NA,1.017,0.227,0.653,0.753,NA,0.467,0.492,0.297,0.235,0.622,0.497,0.448,NA,NA,0.267,0.843,NA,NA,NA,NA,NA,NA,3.332,NA,NA,NA,NA,NA,NA,NA,1.247,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1955,Jarbidge,NA,0.643,1.253,1.095,1.326,1.019,0.784,0.662,0.9,0.618,0.61,0.758,0.441,0.809,NA,NA,NA,1.417,NA,NA,NA,NA,NA,NA,NA,0.491,1.273,1.778,0.813,0.897,1.064,3.63,0.99,NA,1.804,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.684,0.56,1.44,0.69,0.389,0.655,1.23,1.083,1.032,1.342,1.611,1.048,NA,NA,NA,1.558,NA,NA,1.676,0.759,0.912,1.417,NA,1.017,0.776,0.456,0.417,1.047,0.792,1.348,NA,NA,0.313,2.171,NA,NA,NA,NA,NA,NA,4.115,NA,NA,NA,NA,NA,NA,NA,1.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1956,Jarbidge,0.568,0.67,1.626,0.864,0.803,1.204,0.8,0.892,0.738,0.48,0.377,0.351,0.358,0.677,NA,NA,NA,1.941,NA,NA,NA,NA,NA,NA,NA,0.594,1.095,1.503,0.845,0.551,0.839,2.763,1.052,0.873,1.385,NA,NA,0.503,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.853,0.573,1.727,1.087,0.394,0.541,0.465,1.155,0.78,1.49,0.945,0.744,NA,2.84,NA,1.101,NA,NA,1.291,0.47,1.118,0.787,NA,1.045,0.661,0.696,0.625,1.216,0.297,0.882,NA,NA,0.376,1.582,NA,NA,NA,NA,NA,NA,2.335,NA,NA,NA,NA,NA,NA,NA,1.048,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1957,Jarbidge,0.365,0.285,0.62,0.325,0.844,0.699,0.555,0.634,0.54,0.296,0.371,0.304,0.24,0.565,NA,NA,NA,0.941,NA,NA,NA,NA,NA,NA,NA,0.738,1.28,1.228,0.892,0.51,1.002,1.503,1.311,0.949,1.206,2.186,NA,1.282,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.688,0.681,1.702,0.447,0.849,0.342,0.788,0.826,0.719,1.306,1.275,0.637,NA,1.533,NA,1.317,NA,NA,0.956,0.416,1.042,1.227,NA,1.312,1.321,1.066,1.228,1.071,0.448,1.208,2.572,1.285,0.943,1.696,NA,NA,NA,NA,NA,NA,3.41,NA,NA,NA,NA,NA,NA,NA,1.221,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1958,Jarbidge,0.445,0.732,0.934,0.755,1.076,0.898,0.747,0.693,0.884,0.466,1.001,0.646,0.277,0.77,NA,NA,NA,1.527,NA,NA,NA,NA,NA,NA,NA,0.765,1.708,1.554,1.459,0.777,1.257,2.116,1.171,1.326,1.889,2.203,NA,0.527,NA,NA,NA,NA,NA,NA,NA,NA,0.373,NA,NA,NA,NA,NA,NA,0.966,0.941,1.94,1.235,0.548,0.414,0.961,1.131,0.773,1.935,1.787,0.969,NA,0.685,NA,1.671,NA,NA,1.731,0.69,1.185,1.25,NA,1.47,1.128,1.048,1.315,2.258,0.514,1.67,3.661,1.352,1.337,2.131,NA,NA,NA,NA,NA,NA,4.563,NA,NA,NA,NA,NA,NA,NA,1.127,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1959,Jarbidge,0.895,0.634,0.807,0.763,1.575,0.772,0.795,0.939,1.12,0.523,1.063,0.61,0.422,0.914,NA,NA,NA,2.26,NA,NA,NA,NA,NA,NA,NA,1.122,1.276,1.516,1.253,0.481,1.311,1.358,1.485,1.547,1.358,2.282,NA,0.97,NA,NA,NA,NA,NA,NA,NA,NA,0.856,NA,NA,NA,NA,NA,1.912,0.852,0.78,1.634,0.936,0.953,0.89,0.713,1.398,0.801,1.828,1.422,0.888,2.391,1.568,NA,1.564,NA,NA,1.253,0.327,0.978,1.124,NA,0.83,0.737,0.759,0.686,2.303,0.54,1.343,1.714,1.65,1.478,1.736,NA,NA,NA,NA,NA,NA,3.047,NA,NA,NA,NA,NA,NA,NA,0.841,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1960,Jarbidge,0.911,0.472,0.706,0.721,1.22,0.765,0.935,0.737,0.9,0.477,0.353,0.358,0.613,0.564,NA,NA,NA,1.687,NA,NA,NA,NA,NA,NA,NA,0.955,2.347,2.396,1.399,0.643,1.214,1.897,1.298,1.792,1.528,2.09,NA,1.858,NA,NA,NA,NA,NA,NA,NA,NA,1.018,NA,NA,NA,NA,NA,1.47,0.753,0.762,1.511,1.589,0.883,1.243,0.755,1.701,1.22,2.102,1.466,0.844,3.151,2.717,NA,1.586,2.239,NA,1.288,0.513,1.051,1.005,NA,1.274,0.779,0.675,1.057,1.779,0.628,0.858,1.65,1.572,0.859,2.287,NA,NA,NA,NA,NA,NA,2.145,NA,NA,NA,NA,NA,NA,NA,0.776,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1961,Jarbidge,1.227,0.534,0.651,1.101,1.147,0.753,0.657,0.989,1.024,0.557,0.82,0.734,0.657,0.896,NA,NA,NA,1.711,NA,NA,NA,NA,NA,NA,NA,0.978,2.335,2.296,1.905,0.94,1.081,1.846,1.36,1.678,1.417,1.906,1.538,1.905,NA,NA,NA,NA,NA,NA,NA,NA,2.175,NA,NA,NA,NA,NA,2.147,0.98,0.555,1.852,1.105,0.781,0.998,0.84,1.449,0.921,1.618,1.32,0.773,3.065,3.232,NA,1.566,1.534,NA,1.208,0.74,0.837,0.932,NA,1.673,0.776,0.799,1.616,1.802,1.164,0.905,1.8,1.539,1.775,2.653,NA,NA,NA,NA,NA,NA,3.87,NA,NA,4.158,NA,NA,NA,NA,0.257,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1962,Jarbidge,1.419,0.764,1.136,1.082,1.269,1.067,0.956,0.986,0.921,0.636,0.632,0.699,0.752,0.636,NA,NA,NA,2.077,NA,NA,3.623,NA,NA,NA,NA,0.842,1.33,1.174,1.01,0.647,1.536,1.681,1.142,1.921,1.523,1.869,1.798,1.051,NA,NA,NA,NA,NA,NA,NA,1.362,1.725,NA,NA,NA,NA,NA,1.433,0.741,0.359,1.237,0.974,0.61,1.156,0.676,1.103,1.079,2.091,1.425,0.551,3.177,2.486,NA,1.734,1.546,NA,1.113,0.738,1.082,1.36,3.346,1.707,1.351,0.498,1.184,2.772,0.912,0.571,1.698,1.853,1.201,3.435,NA,NA,NA,NA,NA,NA,1.357,NA,NA,1.698,NA,NA,NA,NA,0.521,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1963,Jarbidge,1.416,0.561,0.697,0.889,0.765,0.669,0.527,0.686,0.598,0.431,0.524,0.301,0.514,0.593,NA,NA,NA,2.442,NA,NA,3.444,NA,NA,NA,NA,0.936,0.588,0.371,0.536,0.348,0.124,0.95,1.086,0.986,0.989,0.783,0.73,0.852,NA,NA,NA,NA,NA,NA,NA,0.597,1.754,NA,NA,1.328,NA,NA,0.66,0.484,0.221,0.548,0.245,0.285,0.739,0.331,0.43,0.484,1.065,0.445,0.191,0.724,0.839,NA,0.909,0.362,NA,0.478,0.58,0.876,0.712,1.684,1.526,0.865,0.481,0.812,1.122,0.591,0.737,1.147,1.234,1.079,2.388,NA,NA,NA,NA,NA,NA,2.08,NA,NA,0.342,NA,NA,NA,NA,0.536,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1964,Jarbidge,1.555,0.65,0.614,0.998,1.253,0.714,0.753,0.886,0.895,0.542,0.658,0.641,0.73,0.748,NA,NA,NA,1.645,NA,NA,3.265,NA,NA,NA,NA,1.059,1.121,0.663,0.923,0.707,0.402,0.645,0.971,1.186,0.964,0.636,1.054,0.609,NA,NA,NA,NA,NA,NA,NA,0.72,1.185,NA,NA,1.505,NA,NA,0.826,0.171,0.108,0.123,0.273,0.182,0.614,0.366,0.304,0.175,0.616,0.304,0.058,0.293,0.56,NA,0.312,0.383,NA,0.216,0.358,0.585,0.456,2.004,0.961,0.557,0.243,0.354,0.876,0.576,0.524,0.72,1.318,0.588,0.949,NA,NA,NA,NA,NA,NA,0.496,NA,NA,1.093,NA,NA,NA,NA,0.568,0.595,NA,NA,NA,NA,NA,NA,NA,NA,NA
1965,Jarbidge,1.501,0.674,0.827,1.049,1.152,0.874,0.885,0.546,0.278,0.354,0.372,0.242,0.506,0.524,NA,NA,NA,1.028,NA,NA,2.648,NA,NA,NA,NA,0.93,2.062,2.842,1.683,1.566,1.11,1.55,0.801,2.906,2.201,1.969,2.081,0.641,0.306,NA,NA,NA,NA,NA,0.902,0.667,1.158,NA,NA,1.362,NA,NA,1.115,0.419,0.13,0.417,0.512,0.356,0.762,0.656,0.805,0.558,0.952,0.879,0.132,0.732,1.339,NA,0.695,0.293,NA,0.503,0.555,1.637,1.19,2.673,1.745,0.844,0.506,0.51,1.191,1.187,0.397,2.059,3.047,0.406,1.872,NA,NA,NA,NA,NA,NA,0.334,NA,NA,0.289,NA,NA,NA,NA,0.166,0.172,NA,NA,NA,NA,NA,NA,NA,NA,NA
1966,Jarbidge,0.792,0.48,0.402,1.305,0.259,0.56,0.545,0.449,0.19,0.094,0.226,0.07,0.477,0.313,NA,NA,NA,0.482,NA,NA,1.562,NA,NA,NA,NA,0.519,1.696,2.538,2.016,1.066,1.082,0.851,0.431,2.359,1.507,1.166,1.499,0.297,0.242,NA,NA,NA,NA,NA,0.752,0.175,0.64,NA,NA,0.709,NA,NA,0.748,0.321,0.133,0.218,0.186,0.285,0.974,0.565,0.572,0.471,0.674,0.542,0.203,1.32,1.087,NA,0.428,0.546,NA,0.514,0.492,1.2,0.799,2.702,1.456,0.736,0.313,0.416,0.868,1.024,0.529,1.674,1.393,0.548,1.292,NA,NA,NA,NA,NA,NA,0.094,NA,NA,0.368,NA,NA,NA,NA,0.297,0.161,NA,NA,NA,NA,NA,NA,NA,NA,NA
1967,Jarbidge,1.16,0.611,0.644,0.692,1.397,0.872,0.862,0.677,0.736,0.7,0.678,0.609,0.958,0.664,NA,NA,NA,1.478,NA,NA,2.312,NA,NA,NA,NA,1.201,1.931,2.92,1.477,1.022,0.936,1.021,0.339,3.088,2.245,3.004,2.081,0.645,0.777,NA,NA,NA,NA,NA,1.983,0.743,1.081,NA,NA,1.109,NA,NA,0.949,0.376,0.261,0.706,0.746,0.778,1.125,0.797,0.516,0.571,0.755,0.801,0.113,2.262,1.257,NA,0.539,1.478,NA,0.532,1.144,1.937,1.648,3.201,2.576,1.349,0.742,1.064,1.399,1.602,1.06,2.159,2.643,0.686,2.059,NA,NA,NA,NA,NA,NA,0.823,NA,NA,2.359,NA,NA,NA,NA,0.556,0.502,NA,NA,NA,NA,NA,NA,NA,NA,NA
1968,Jarbidge,0.861,0.261,0.529,1.055,1.229,0.531,0.726,0.563,0.392,0.236,0.371,0.343,0.984,0.573,NA,NA,NA,1.712,NA,NA,2.313,NA,NA,NA,NA,1.048,1.797,2.48,1.062,0.888,0.476,0.939,0.339,1.985,1.367,1.453,1.291,0.662,0.461,NA,NA,0.792,NA,1.714,0.869,0.502,0.702,NA,NA,1.103,NA,NA,0.423,0.536,0.323,1.608,0.831,0.66,1.36,0.694,1.001,0.895,0.884,1.427,0.3,2.903,1.091,NA,0.97,1.834,NA,0.829,0.826,1.283,1.041,1.395,1.439,0.419,0.39,0.932,1.501,0.894,1.15,1.69,1.834,0.828,2.578,NA,NA,NA,NA,NA,NA,0.913,NA,NA,2.169,NA,NA,NA,NA,1.294,1.151,NA,NA,NA,NA,NA,NA,NA,NA,NA
1969,Jarbidge,1.595,0.557,0.848,1.111,1.302,0.861,0.871,0.704,0.288,0.448,0.681,0.658,1.122,0.736,NA,NA,NA,1.739,NA,NA,2.791,NA,NA,NA,NA,0.886,2.588,2.742,1.438,1.213,1.039,1.53,0.673,2.446,2.161,1.904,1.698,1.717,1.08,NA,NA,1.083,NA,1.99,1.897,0.952,1.291,NA,NA,2.142,NA,NA,0.643,0.903,0.332,1.283,1.337,0.994,1.673,1.518,0.903,1.207,0.79,2.01,0.522,2.634,1.909,NA,1.482,1.34,NA,1.529,1.762,1.944,2.334,2.772,2.813,0.969,0.55,1.675,4.974,2.263,1.873,3.621,3.387,1.97,5.219,NA,NA,NA,NA,NA,NA,1.28,NA,NA,4.003,NA,NA,NA,NA,0.733,0.73,NA,NA,NA,NA,NA,NA,NA,NA,NA
1970,Jarbidge,0.818,0.586,0.466,0.688,0.411,0.683,1.05,0.454,0.495,0.439,0.308,0.395,0.823,0.55,NA,NA,NA,2.321,NA,NA,3.401,NA,NA,NA,NA,1.621,2.368,2.35,1.382,0.935,1.005,1.271,0.809,2.371,2.379,1.44,1.652,0.821,0.72,NA,NA,0.79,NA,0.527,0.869,0.421,0.613,NA,NA,0.95,NA,NA,0.171,0.37,0.141,0.811,0.636,0.372,0.408,0.546,0.19,0.412,0.367,0.47,0.247,0.604,0.394,NA,0.43,0.344,NA,0.79,2.121,1.383,2.309,3.138,2.676,1.05,1.436,1.601,5.409,1.63,2.28,2.837,2.201,2.928,3.71,NA,NA,NA,NA,NA,NA,2.102,NA,NA,2.768,NA,NA,NA,NA,0.962,0.936,NA,NA,NA,NA,NA,NA,NA,NA,NA
1971,Jarbidge,1.778,0.519,0.377,0.757,0.222,0.771,0.886,0.581,0.436,0.429,0.598,0.578,0.834,0.565,NA,NA,NA,2.063,NA,NA,3.132,NA,NA,NA,NA,0.943,2.127,2.309,1.105,1.254,0.658,1.177,0.832,2.236,2.077,1.13,1.537,0.486,0.664,NA,NA,1.536,NA,1.051,0.771,0.498,0.477,NA,NA,0.568,NA,NA,0.24,0.442,0.254,0.933,1.288,0.592,1.038,0.87,0.667,0.819,0.492,1.571,0.378,2.254,1.566,NA,0.193,0.998,NA,0.396,0.738,0.897,1.462,3.1,2.355,1.137,0.953,1.073,3.247,1.479,1.424,2.179,2.574,1.841,2.623,NA,NA,NA,NA,NA,NA,0.646,NA,NA,2.124,NA,NA,NA,NA,1.024,1.946,NA,NA,NA,NA,NA,NA,NA,NA,NA
